doc_num,doc_type,po_number,doc_date,due_date,batch_entry,amount,balance
42046,IN,,07/04/2025,31/05/2025,15482-28,2539.22,0.0
42092,IN,,07/04/2025,31/05/2025,15482-66,3808.83,0.0
42279,IN,,07/04/2025,31/05/2025,15482-27,3808.83,0.0
42318,IN,,07/04/2025,31/05/2025,15482-152,10156.89,0.0
42676,IN,,07/04/2025,31/05/2025,15482-116,3808.83,0.0
41409O,IN,,07/05/2025,30/06/2025,15988-53,563.5,0.0
41409P,IN,,07/05/2025,30/06/2025,15988-54,563.5,0.0
41409Q,IN,,07/05/2025,30/06/2025,15988-55,563.5,0.0
41422O,IN,,07/05/2025,30/06/2025,15988-49,470.41,0.0
41422P,IN,,07/05/2025,30/06/2025,15988-50,470.41,0.0
41422Q,IN,,07/05/2025,30/06/2025,15988-51,470.41,0.0
41422R,IN,,07/05/2025,30/06/2025,15988-52,470.41,0.0
43062,IN,,07/05/2025,30/06/2025,15988-180,3808.83,0.0
43377,IN,,07/05/2025,30/06/2025,15988-48,3866.45,0.0
43387,IN,,07/05/2025,30/06/2025,15988-168,2577.63,0.0
44136,IN,,29/06/2025,31/07/2025,16907-35,3755.57,3755.57
44439,IN,,07/07/2025,31/08/2025,16993-90,3755.57,3755.57
44634,IN,,07/07/2025,31/08/2025,16993-130,2456.12,2456.12
44937,IN,,17/07/2025,31/08/2025,16993-370,3684.19,3684.19
