allocation_id,payment_doc,payment_date,batch_ref,payment_amount,target_doc,target_date,target_lane,target_amount,allocated_amount,residual_after_allocation,allocation_type,evidence_source,confidence,commercially_confirmed,review_required,notes
AL-0016,37817,2025-03-31,STAT:114,15633.2,41010,2025-02-25,LPG,4689.96,4689.96,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0017,37817,2025-03-31,STAT:114,15633.2,40661,2025-02-11,LPG,4689.96,4689.96,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0018,38372,2025-05-01,STAT:115,4689.96,41324,2025-03-07,LPG,4689.96,4689.96,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0019,39145,2025-06-01,STAT:116,24122.6,42676,2025-04-29,LPG,3808.83,3808.83,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0020,39145,2025-06-01,STAT:116,24122.6,42046,2025-04-06,LPG,2539.22,2539.22,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0021,39145,2025-06-01,STAT:116,24122.6,42092,2025-04-03,LPG,3808.83,3808.83,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0022,39145,2025-06-01,STAT:116,24122.6,42279,2025-04-14,LPG,3808.83,3808.83,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0023,39145,2025-06-01,STAT:116,24122.6,42318,2025-04-15,LPG,10156.89,10156.89,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0024,39816,2025-06-30,STAT:117,10252.91,43062,2025-05-13,LPG,3808.83,3808.83,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0025,39816,2025-06-30,STAT:117,10252.91,43387,2025-05-26,LPG,2577.63,2577.63,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0026,39816,2025-06-30,STAT:117,10252.91,43377,2025-05-26,LPG,3866.45,3866.45,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0027,40430,2025-07-31,STAT:118,3755.57,44136,2025-06-22,LPG,3755.57,3755.57,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0028,41044,2025-08-31,STAT:119,9895.88,44634,2025-07-07,LPG,2456.12,2456.12,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0029,41044,2025-08-31,STAT:119,9895.88,44937,2025-07-17,LPG,3684.19,3684.19,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0030,41044,2025-08-31,STAT:119,9895.88,44439,2025-07-01,LPG,3755.57,3755.57,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0031,41501,2025-09-30,STAT:120,6232.93,45787,2025-08-19,LPG,150.02,150.02,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0032,41501,2025-09-30,STAT:120,6232.93,45778,2025-08-19,LPG,2398.72,2398.72,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0033,41501,2025-09-30,STAT:120,6232.93,45435,2025-08-05,LPG,3684.19,3684.19,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0034,42051,2025-10-31,STAT:121,35770.31,46445,2025-09-16,LPG,0,0,57.5,REVIEW_CYL_REF,ERP_LEDGER,Exception,false,true,"CYL-only ref — no LPG settlement"
AL-0035,42051,2025-10-31,STAT:121,35770.31,45437,2025-08-05,LPG,4912.25,4912.25,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0036,42051,2025-10-31,STAT:121,35770.31,46055,2025-08-31,LPG,4797.43,4797.43,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0037,42051,2025-10-31,STAT:121,35770.31,45895,2025-08-25,LPG,3598.07,3598.07,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0038,42051,2025-10-31,STAT:121,35770.31,43721,2025-06-08,LPG,3866.45,3866.45,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0039,42051,2025-10-31,STAT:121,35770.31,46760,2025-09-29,LPG,2288.04,2288.04,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0040,42051,2025-10-31,STAT:121,35770.31,46724,2025-09-28,LPG,3432.06,3432.06,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0041,42051,2025-10-31,STAT:121,35770.31,46444,2025-09-16,LPG,2740.88,2740.88,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0042,42051,2025-10-31,STAT:121,35770.31,46334,2025-09-11,LPG,3432.06,3432.06,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0043,42051,2025-10-31,STAT:121,35770.31,46075,2025-09-01,LPG,3598.07,3598.07,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0044,42051,2025-10-31,STAT:121,35770.31,,,LPG,0,0,469.87,UNALLOCATED,ERP_LEDGER,Exception,false,true,"Material blank-ref slice on ref batch"
AL-0045,42051,2025-10-31,STAT:121,35770.31,43319,2025-05-23,LPG,2577.63,2577.63,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0046,42440,2025-11-27,STAT:121,47511.17,48372,2025-12-18,LPG,5630.46,0,3070.77,UNALLOCATED,ERP_LEDGER,Exception,false,true,"Prepayment / DN-lag — payment before invoice date"
AL-0047,42440,2025-11-27,STAT:121,47511.17,,,LPG,0,0,4039.36,UNALLOCATED,ERP_LEDGER,Exception,false,true,"Material blank-ref slice on ref batch"
AL-0048,42440,2025-11-27,STAT:121,47511.17,44872,2025-07-15,LPG,6140.31,6140.31,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0049,42440,2025-11-27,STAT:121,47511.17,45160,2025-07-25,LPG,3684.19,3684.19,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0050,42440,2025-11-27,STAT:121,47511.17,46861,2025-10-02,LPG,3432.06,3432.06,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0051,42440,2025-11-27,STAT:121,47511.17,47094,2025-10-13,LPG,3432.06,3432.06,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0052,42440,2025-11-27,STAT:121,47511.17,47101,2025-10-14,LPG,5720.1,5720.1,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0053,42440,2025-11-27,STAT:121,47511.17,47558,2025-11-07,LPG,3360.06,3360.06,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0054,42440,2025-11-27,STAT:121,47511.17,47333,2025-10-26,LPG,3432.06,3432.06,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0055,42440,2025-11-27,STAT:121,47511.17,47622,2025-11-11,LPG,2240.04,2240.04,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0056,42440,2025-11-27,STAT:121,47511.17,47827,2025-11-19,LPG,5600.1,5600.1,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0057,42440,2025-11-27,STAT:121,47511.17,47828,2025-11-19,LPG,3360.06,3360.06,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0058,42858,2025-12-30,STAT:122,9730.26,48372,2025-12-18,LPG,5630.46,202.33,0,OPEN_BALANCE_PARTIAL,OPEN_BALANCE_AT_PAYMENT,Exception,false,true,""
AL-0059,42858,2025-12-30,STAT:122,9730.26,43636,2025-06-04,LPG,751.8,0,2016.8,REVIEW_REF_VARIANCE,ERP_LEDGER,Exception,false,true,""
AL-0060,42858,2025-12-30,STAT:122,9730.26,43878,2025-06-11,LPG,7511.13,7511.13,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
