line,period,doc_no,entry_type,date,ref_no,stat,amount,balance,is_cyl
50,04,12788,Crd Note,2025-06-23,DN#12586-EMPTY,,-3622.5,18121.14,True
51,04,44136,Invoice,2025-06-23,DN#12586 - 245285,,3755.57,21876.71,False
52,04,44137,Invoice,2025-06-23,DN#12586-EMPTY,,3622.5,25499.21,True
53,05,39816,Payment,2025-07-01,TRANSF | STAT:117,117,-10252.91,15246.3,False
54,05,12880,Crd Note,2025-07-02,DN#12151-EMPTY,,-3622.5,11623.8,True
55,05,44439,Invoice,2025-07-02,DN#12151,,3755.57,15379.37,False
56,05,44440,Invoice,2025-07-02,DN#12151-EMPTY,,3622.5,19001.87,True
57,05,12927,Crd Note,2025-07-08,DN#12173-EMPTY,,-2415.0,16586.87,True
58,05,44634,Invoice,2025-07-08,DN#12173-MKONDENI,,2456.12,19042.99,False
59,05,44635,Invoice,2025-07-08,DN#12173-EMPTY,,2415.0,21457.99,True
60,05,12996,Crd Note,2025-07-16,DN#12642-EMPTY,,-6037.5,15420.49,True
61,05,44872,Invoice,2025-07-16,DN#12642-ROSEDALE,,6140.31,21560.8,False
62,05,44873,Invoice,2025-07-16,DN#12642-EMPTY,,6037.5,27598.3,True
63,05,13011,Crd Note,2025-07-18,DN#12715-EMPTY- VICT,,-3622.5,23975.8,True
64,05,44937,Invoice,2025-07-18,257203- DN#12715,,3684.19,27659.99,False
65,05,44938,Invoice,2025-07-18,DN#12715-EMPTY- VICT,,3622.5,31282.49,True
66,05,13062,Crd Note,2025-07-26,ON 257219,,-3622.5,27659.99,False
67,05,45160,Invoice,2025-07-26,ON:257219 DN20011,,3684.19,31344.18,False
68,05,45161,Invoice,2025-07-26,ON 257219,,3622.5,34966.68,False
69,06,40430,Payment,2025-08-01,TRANSF | STAT:118,118,-3755.57,31211.11,False
70,06,13151,Crd Note,2025-08-06,DN#20138-EMPTY VICT,,-3622.5,27588.61,True
71,06,13152,Crd Note,2025-08-06,DN#20139-EMPTY-ROSE,,-4830.0,22758.61,True
72,06,45435,Invoice,2025-08-06,DN#20138- VICTORIA,,3684.19,26442.8,False
73,06,45436,Invoice,2025-08-06,DN#20138-EMPTY VICT,,3622.5,30065.3,True
74,06,45437,Invoice,2025-08-06,DN#20139,,4912.25,34977.55,False
75,06,45438,Invoice,2025-08-06,DN#20139-EMPTY-ROSE,,4830.0,39807.55,True
76,06,13275,Crd Note,2025-08-20,MKONDENI DN20430 EMP,,-2415.0,37392.55,False
77,06,45778,Invoice,2025-08-20,MKONDENI- DN20430,,2398.72,39791.27,False
78,06,45779,Invoice,2025-08-20,MKONDENI DN20430 EMP,,2415.0,42206.27,False
79,06,45787,Invoice,2025-08-20,DN#20430 MKONDENI,,150.02,42356.29,False
80,06,13311,Crd Note,2025-08-26,DN#20443- EMPTY,,-3622.5,38733.79,True
81,06,45895,Invoice,2025-08-26,257284- DN20443 VICT,,3598.07,42331.86,False
82,06,45896,Invoice,2025-08-26,DN#20443- EMPTY,,3622.5,45954.36,True
83,07,41044,Payment,2025-09-01,TRANSF | STAT:119,119,-9895.88,36058.48,False
84,07,46055,Invoice,2025-09-01,DN#20353,,4797.43,40855.91,False
85,07,46056,Invoice,2025-09-01,DN#20353-EMPTY ROSE,,4830.0,45685.91,True
86,07,13353,Crd Note,2025-09-02,DN#20353-EMPTY ROSE,,-4830.0,40855.91,True
87,07,46075,Invoice,2025-09-02,DN#20569- VICTORIA,,3598.07,44453.98,False
88,07,46076,Invoice,2025-09-02,DN#20569-EMPTY,,3622.5,48076.48,True
89,07,13365,Crd Note,2025-09-03,DN#20569-EMPTY,,-3622.5,44453.98,True
90,07,13458,Crd Note,2025-09-12,DN#20483-EMPTY,,-3622.5,40831.48,True
91,07,46334,Invoice,2025-09-12,DN#20483- VICTORIA,,3432.06,44263.54,False
92,07,46335,Invoice,2025-09-12,DN#20483-EMPTY,,3622.5,47886.04,True
93,07,13494,Crd Note,2025-09-17,DN#20387-EMPTY- ROS,,-3047.5,44838.54,True
94,07,46444,Invoice,2025-09-17,DN#20387- ROSEDALE,,2740.88,47579.42,False
95,07,46445,Invoice,2025-09-17,DN#20387-EMPTY- ROS,,3105.0,50684.42,True
96,07,13569,Crd Note,2025-09-29,DN#20085-EMPTY-VICTO,,-3622.5,47061.92,True
97,07,46724,Invoice,2025-09-29,DN#20085-VICTORIA,,3432.06,50493.98,False
98,07,46725,Invoice,2025-09-29,DN#20085-EMPTY-VICTO,,3622.5,54116.48,True
99,07,46760,Invoice,2025-09-30,DN#21078-MKONDENI,,2288.04,56404.52,False
100,07,46761,Invoice,2025-09-30,DN#21078-EMPTY MKOND,,2415.0,58819.52,True
101,08,13586,Crd Note,2025-10-01,DN#21078-EMPTY MKOND,,-2415.0,56404.52,True
102,08,41501,Payment,2025-10-01,TRANSF | STAT:120,120,-6232.93,50171.59,False
103,08,13608,Crd Note,2025-10-03,DN#21094-EMPTY,,-3622.5,46549.09,True
104,08,46861,Invoice,2025-10-03,DN#21094,,3432.06,49981.15,False
105,08,46862,Invoice,2025-10-03,DN#21094-EMPTY,,3622.5,53603.65,True
106,08,47094,Invoice,2025-10-14,DN#20722,,3432.06,57035.71,False
107,08,47095,Invoice,2025-10-14,DN#20722-EMPTY,,3622.5,60658.21,True
108,08,13683,Crd Note,2025-10-15,DN#20722-EMPTY,,-3622.5,57035.71,True
109,08,47101,Invoice,2025-10-15,DN#20723- ROSEDALE,,5720.1,62755.81,False
110,08,47102,Invoice,2025-10-15,DN#20723-EMPTY,,6037.5,68793.31,True
111,08,13689,Crd Note,2025-10-16,DN#20723-EMPTY,,-6037.5,62755.81,True
112,08,13754,Crd Note,2025-10-27,DN#20628-EMPTY,,-3622.5,59133.31,True
113,08,47333,Invoice,2025-10-27,DN#20628- VICTORIA,,3432.06,62565.37,False
114,08,47334,Invoice,2025-10-27,DN#20628-EMPTY,,3622.5,66187.87,True
115,09,42051,Payment,2025-11-01,TRANSF | STAT:121,121,-35770.31,30417.56,False
116,09,47558,Invoice,2025-11-08,DN#20807- VICTORIA,,3360.06,33777.62,False
117,09,47622,Invoice,2025-11-12,DN#20787-MKONDENI,,2240.04,36017.66,False
118,09,47623,Invoice,2025-11-12,DN#20787-EMPTY,,2415.0,38432.66,True
119,09,13846,Crd Note,2025-11-13,DN#20787-EMPTY,,-2415.0,36017.66,True
120,09,13883,Crd Note,2025-11-18,DN#21158-EMPTY,,-6037.5,29980.16,True
121,09,47734,Invoice,2025-11-18,DN#21158,,5600.1,35580.26,False
122,09,47735,Invoice,2025-11-18,DN#21158-EMPTY,,6037.5,41617.76,True
123,09,13895,Crd Note,2025-11-19,DN#20843-EMPTY,,-3622.5,37995.26,True
124,09,47763,Invoice,2025-11-19,DN#20843- VICTORIA,,3360.06,41355.32,False
125,09,47764,Invoice,2025-11-19,DN#20843-EMPTY,,3622.5,44977.82,True
126,09,13916,Crd Note,2025-11-20,DN#21158,,-5600.1,39377.72,False
127,09,13917,Crd Note,2025-11-20,DN#20843- VICTORIA,,-3360.06,36017.66,False
128,09,47827,Invoice,2025-11-20,DN-20843-ROSEDALE,,5600.1,41617.76,False
129,09,47828,Invoice,2025-11-20,DN-21158,,3360.06,44977.82,False
130,09,42440,Payment,2025-11-28,TRANSF | STAT:121,121,-47511.17,-2533.35,False
131,09,48019,Invoice,2025-12-01,DN#20695- 260974 VIC,,3360.06,826.71,False
132,09,48021,Invoice,2025-12-01,DN#20695-EMPTY,,3622.5,4449.21,True
133,10,13986,Crd Note,2025-12-02,DN#20695-EMPTY,,-3622.5,826.71,True
134,10,14036,Crd Note,2025-12-09,DN#20907-EMPTY,,-3622.5,-2795.79,True
135,10,48165,Invoice,2025-12-09,DN#20907,,3378.27,582.48,False
136,10,48166,Invoice,2025-12-09,DN#20907-EMPTY,,3622.5,4204.98,True
137,10,14042,Crd Note,2025-12-10,DN#20913- EMPTY,,-2415.0,1789.98,True
138,10,48190,Invoice,2025-12-10,DN#20913- MKONDENI,,2252.18,4042.16,False
139,10,48191,Invoice,2025-12-10,DN#20913- EMPTY,,2415.0,6457.16,True
140,10,14121,Crd Note,2025-12-19,DN#21721-EMPTY,,-6037.5,419.66,True
141,10,48372,Invoice,2025-12-19,DN#21721,,5630.46,6050.12,False
142,10,48373,Invoice,2025-12-19,DN#21721-EMPTY,,6037.5,12087.62,True
143,10,14172,Crd Note,2025-12-29,DN#21744-EMPTY,,-3622.5,8465.12,True
144,10,48523,Invoice,2025-12-29,DN#21744- VICTORIA,,3378.27,11843.39,False
145,10,48524,Invoice,2025-12-29,DN#21744-EMPTY,,3622.5,15465.89,True
146,10,42858,Payment,2025-12-31,TRANSF | STAT:122,122,-9730.26,5735.63,False
147,11,14251,Crd Note,2026-01-12,DN-21630-EMPTY,,-3622.5,2113.13,True
148,11,48737,Invoice,2026-01-12,DN-21630,,3378.27,5491.4,False
149,11,48738,Invoice,2026-01-12,DN-21630-EMPTY,,3622.5,9113.9,True
150,11,48784,Invoice,2026-01-14,DN#21635-KONDENI,,2252.18,11366.08,False
151,11,48785,Invoice,2026-01-14,DN#21635MPTY-KONDENI,,2415.0,13781.08,False
152,11,14269,Crd Note,2026-01-15,DN#21635MPTY-KONDENI,,-2415.0,11366.08,False
153,11,48906,Invoice,2026-01-22,DN#21659,,3403.63,14769.71,False
154,11,48907,Invoice,2026-01-22,DN-21659EMPTY,,3622.5,18392.21,True
155,11,48927,Invoice,2026-01-22,DN#21502- EMPTY,,5462.5,23854.71,True
156,11,14322,Crd Note,2026-01-23,DN-21659EMPTY,,-3622.5,20232.21,True
157,11,14325,Crd Note,2026-01-23,DN#21502EMPTY,,-5462.5,14769.71,True
158,11,48919,Invoice,2026-01-23,DN#21502ROSEDALE,,4869.09,19638.8,False
159,11,48920,Invoice,2026-01-23,DN#21502EMPTY,,5462.5,25101.3,True
160,11,14328,Crd Note,2026-01-24,DN#21502- EMPTY,,-5520.0,19581.3,True
161,12,43239,Payment,2026-02-02,TRANSF | STAT:123,123,-17999.24,1582.06,False
162,12,14385,Crd Note,2026-02-06,DN#21680,,-3443.48,-1861.42,False
163,12,14386,Crd Note,2026-02-06,DN#21680-EMPTY,,-3622.5,-5483.92,True
164,12,49119,Invoice,2026-02-06,DN#21680,,3443.48,-2040.44,False
165,12,49120,Invoice,2026-02-06,DN#21680-EMPTY,,3622.5,1582.06,True
166,12,49128,Invoice,2026-02-06,DN#21680-VICTORIA,,3443.48,5025.54,False
167,12,14408,Crd Note,2026-02-10,DN#2124EMPTY-KONDENI,,-2415.0,2610.54,True
168,12,49166,Invoice,2026-02-10,DN#21242- MKONDENI,,2295.65,4906.19,False
169,12,49167,Invoice,2026-02-10,DN#2124EMPTY-KONDENI,,2415.0,7321.19,True
170,12,14454,Crd Note,2026-02-19,DN-212EMPTY-VICTORIA,,-3622.5,3698.69,True
171,12,49322,Invoice,2026-02-19,DN-VICTORIA,,3443.48,7142.17,False
172,12,49323,Invoice,2026-02-19,DN-212EMPTY-VICTORIA,,3622.5,10764.67,True
173,12,49443,Invoice,2026-02-26,DN#21931-ROSEDALE,,4591.31,15355.98,False
174,12,49444,Invoice,2026-02-26,DN#21931-ROSE-EMPTY,,4830.0,20185.98,True
175,12,14494,Crd Note,2026-02-28,DN#21931-ROSE-EMPTY,,-4830.0,15355.98,True
176,13,43494,Payment,2026-03-02,TRANSF | STAT:124,124,-13845.67,1510.31,False
177,13,49573,Invoice,2026-03-04,DN#22113,,3443.48,4953.79,False
178,13,49574,Invoice,2026-03-04,DN#22113-EMPTY,,3622.5,8576.29,True
179,13,14535,Crd Note,2026-03-05,DN#22113-EMPTY,,-3622.5,4953.79,True
180,13,14612,Crd Note,2026-03-18,DN#22134- EMPTY,,-3622.5,1331.29,True
181,13,49796,Invoice,2026-03-18,DN#22134- VICTORIA,,3472.29,4803.58,False
182,13,49797,Invoice,2026-03-18,DN#22134- EMPTY,,3622.5,8426.08,True
183,13,14652,Crd Note,2026-03-25,DN-21978-ROSEDALE,,-1207.5,7218.58,False
184,13,49905,Invoice,2026-03-25,DN-0-ROSEDALE,,1157.43,8376.01,False
185,13,49906,Invoice,2026-03-25,DN-21978-ROSEDALE,,1207.5,9583.51,False
186,13,50004,Invoice,2026-03-30,DN-22033-KONDENI,,3472.29,13055.8,False
187,13,50005,Invoice,2026-03-30,DN-22033-KONDE-EMPTY,,3622.5,16678.3,True
188,13,14684,Crd Note,2026-03-31,DN-22033-KONDE-EMPTY,,-3622.5,13055.8,True
189,13,50013,Invoice,2026-03-31,DN-21851-VICTORIA,,3472.29,16528.09,False
190,13,50014,Invoice,2026-03-31,DN-21851-VICT-EMPTY,,3622.5,20150.59,True
191,13,14692,Crd Note,2026-04-01,DN-21851-VICT-EMPTY,,-3622.5,16528.09,True
192,14,43854,Payment,2026-04-01,TRANSF | STAT:125,125,-13773.92,2754.17,False
193,14,50100,Invoice,2026-04-06,DN-22047-ROSEDALE,,5205.68,7959.85,False
194,14,50101,Invoice,2026-04-06,DN-22047-EMPTY-ROSE,,4830.0,12789.85,True
195,14,14712,Crd Note,2026-04-07,DN-22047-EMPTY-ROSE,,-4830.0,7959.85,True
196,14,14759,Crd Note,2026-04-15,DN-22170-EMPTY-VIC,,-3622.5,4337.35,True
197,14,50234,Invoice,2026-04-15,DN-22170-VICT,,3904.26,8241.61,False
198,14,50235,Invoice,2026-04-15,DN-22170-EMPTY-VIC,,3622.5,11864.11,True
199,14,50429,Invoice,2026-04-29,DN-21358-VICTORIA,,3904.26,15768.37,False
200,14,50430,Invoice,2026-04-29,DN-21358-EMPTY-VICT,,3622.5,19390.87,True
201,14,14822,Crd Note,2026-04-30,DN-21358-EMPTY-VICT,,-3622.5,15768.37,True
202,15,44231,Payment,2026-05-04,TRANSF | STAT:126,126,-15017.78,750.59,False
203,15,14858,Crd Note,2026-05-05,DN#22225-EMPTY,,-4830.0,-4079.41,True
204,15,50524,Invoice,2026-05-05,DN#22225- ROSEDALE,,5205.68,1126.27,False
205,15,50525,Invoice,2026-05-05,DN#22225-EMPTY,,4830.0,5956.27,True
206,15,50671,Invoice,2026-05-14,DN#22389,,4539.72,10495.99,False
207,15,50867,Invoice,2026-05-25,DN#22431- MKONDENI,,3026.48,13522.47,False
208,15,50868,Invoice,2026-05-25,DN#22431-EMPTY,,2415.0,15937.47,True
209,15,14970,Crd Note,2026-05-26,DN#22431-EMPTY,,-2415.0,13522.47,True
210,15,14972,Crd Note,2026-05-27,DN#22759-EMPTY,,-3622.5,9899.97,True
211,15,50886,Invoice,2026-05-27,DN#22759,,4539.72,14439.69,False
212,15,50887,Invoice,2026-05-27,DN#22759-EMPTY,,3622.5,18062.19,True
213,16,44561,Payment,2026-06-01,TRANSF | STAT:127,127,-13014.2,5047.99,False
214,16,50996,Invoice,2026-06-02,DN#22616-ROSEDALE,,5822.54,10870.53,False
215,16,50997,Invoice,2026-06-02,DN#22616-EMPTY,,4830.0,15700.53,True
216,16,50998,Invoice,2026-06-02,BMS ROSEDALE 22616,,349.99,16050.52,False
217,16,15017,Crd Note,2026-06-03,DN#22616-EMPTY,,-4830.0,11220.52,True
218,16,15037,Crd Note,2026-06-09,DN#22631,,-3622.5,7598.02,False
219,16,51099,Invoice,2026-06-09,DN#22631,,4345.45,11943.47,False
220,16,51100,Invoice,2026-06-09,DN#22631,,3622.5,15565.97,False
221,16,15116,Crd Note,2026-06-24,DN#22523=EMPTY,,-3622.5,11943.47,True
222,16,51398,Invoice,2026-06-24,DN#22523,,4345.45,16288.92,False
223,16,51399,Invoice,2026-06-24,DN#22523=EMPTY,,3622.5,19911.42,True
224,17,15145,Crd Note,2026-06-29,DN#22920=EMPTY=ROSED,,-4772.5,15138.92,True
225,16,51470,Invoice,2026-06-29,DN#22920=ROSEDALE,,5039.52,20178.44,False
226,16,51471,Invoice,2026-06-29,DN#22920=EMPTY=ROSED,,4772.5,24950.94,True
227,17,44972,Payment,2026-07-01,TRANSF | STAT:128,128,-17311.6,7639.34,False
228,17,15212,Crd Note,2026-07-07,DN#22806=EMPTY,,-3622.5,4016.84,True
229,17,51655,Invoice,2026-07-07,DN#22806,,4366.11,8382.95,False
230,17,51656,Invoice,2026-07-07,DN#22806=EMPTY,,3622.5,12005.45,True
231,17,15256,Crd Note,2026-07-15,DN#22575-EMPTY=ROSED,,-3622.5,8382.95,True
232,17,51839,Invoice,2026-07-15,DN#22575=ROSEDALE,,4366.11,12749.06,False
233,17,51840,Invoice,2026-07-15,DN#22575-EMPTY=ROSED,,3622.5,16371.56,True
