Date,Type/number of item,Description,Debit,Credit, Differences,
18/04/2026,SAINV SI26ZA01006148,17042026,"223,071.89",0.00,- 0.01 ,
,,,,,,
,,,,,,
24/04/2026,SACRN SC26ZA01004068,Feb  2026 Sales Volume Rebate,0.00,"7,123.10","- 7,123.10 ",Rebate
,,,,,,
,,,,,,
23/04/2026,APPAY APP2604ZA101000802,#126,0.00,"80,598.49",,
24/04/2026,SACRN SC26ZA01004150,SON2604ZA105000126,0.00,"120,750.00",,
24/04/2026,SAINV SI26ZA01006531,23042026,"201,348.49",0.00,- 0.00 ,
,,,,,,
,,,,,,
28/04/2026,APPAY APP2604ZA101000915,#150,0.00,"69,186.31",,
29/04/2026,SACRN SC26ZA01004263,SON2604ZA105000150,0.00,"108,675.00",,
29/04/2026,SAINV SI26ZA01006713,28042026,"177,861.31",0.00,  -   ,
,,,,,,
,,,,,,
29/04/2026,APPAY APP2604ZA101000985,#163,0.00,"57,060.87",,
30/04/2026,SACRN SC26ZA01004314,SON2604ZA105000163,0.00,"60,375.00",,
30/04/2026,SAINV SI26ZA01006898,29042026,"117,435.87",0.00,- 0.00 ,
,,,,,,
,,,,,,
04/05/2026,APPAY APP2605ZA101000068,#06,0.00,"100,807.56",,
05/05/2026,SACRN SC26ZA01004587,SON2605ZA105000006,0.00,"133,975.00",,
05/05/2026,SAINV SI26ZA01007119,04052026,"212,671.46",0.00,"- 22,111.10 ",
,,,,,,
,,,,,,
06/05/2026,APPAY APP2605ZA101000137,#031,0.00,"54,420.00","- 54,420.00 ",Rebate
,,,,,,
,,,,,,
06/05/2026,SACRN SC26ZA01004663,SON2605ZA105000020,0.00,"37,950.00",,
06/05/2026,SAINV SI26ZA01007355,SON2605ZA105000006,"64,164.87",0.00,"  26,214.87 ",
,,,,,,
,,,,,,
07/05/2026,SACRN SC26ZA01004694,SON2605ZA105000038,0.00,"75,900.00",,
07/05/2026,SAINV SI26ZA01007356,06052026,"139,886.84",0.00,"  63,986.84 ",
,,,,,,
,,,,,,
11/05/2026,APPAY APP2605ZA101000296,FNB-11052026,0.00,"76,671.44",,
12/05/2026,SACRN SC26ZA01004882,SON2605ZA105000059,0.00,"85,560.00",,
12/05/2026,SAINV SI26ZA01007669,11052026,"147,150.85",0.00,"- 15,080.59 ",
,,,,,,
,,,,,,
15/05/2026,SACRN SC26ZA01005161,SON2605ZA105000087,0.00,"16,215.00",,
15/05/2026,SAINV SI26ZA01007982,SON2605ZA105000059,"31,295.59",0.00,"  15,080.59 ",
,,,,,,
,,,,,,
15/05/2026,APPAY APP2605ZA101000595,#086,0.00,"117,825.98",,
16/05/2026,SACRN SC26ZA01005163,SON2605ZA105000086,0.00,"140,587.50",,
16/05/2026,SAINV SI26ZA01007999,14052026,"258,413.46",0.00,- 0.02 ,
,,,,,,
,,,,,,
19/05/2026,APPAY APP2605ZA101000704,#111,0.00,"103,421.88",,
20/05/2026,SACRN SC26ZA01005304,SON2605ZA105000111,0.00,"136,907.50",,
20/05/2026,SAINV SI26ZA01008264,19052026,"240,329.38",0.00,  -   ,
,,,,,,
,,,,,,
25/05/2026,SACRN SC26ZA01005425,Apr  2026 Sales Volume Rebate,0.00,"27,006.60","- 27,006.60 ",Rebate
,,,,,,
,,,,,,
21/05/2026,APPAY APP2605ZA101000818,#139,0.00,"26,415.73",,
25/05/2026,SACRN SC26ZA01005469,SON2605ZA105000139,0.00,"96,082.50",,
25/05/2026,SAINV SI26ZA01008511,SON2605ZA105000139,"108,001.99",0.00,"- 14,496.24 ",
,,,,,,
21/05/2026,APPAY APP2605ZA101000820,FNB-21052026,0.00,"98,570.00",,
25/05/2026,SACRN SC26ZA01005470,SON2605ZA105000141,0.00,"52,612.50",,
25/05/2026,SAINV SI26ZA01008510,21052026,"165,678.75",0.00,"  14,496.25 ",
,,,,,,
,,,,,,
26/05/2026,APPAY APP2605ZA101000998,#164,0.00,"150,000.00",,
27/05/2026,SACRN SC26ZA01005596,SON2605ZA105000172,0.00,"75,900.00",,
27/05/2026,SAINV SI26ZA01008691,26052026,"230,620.61",0.00,"  4,720.61 ",
,,,,,,
,,,,,,
27/05/2026,APPAY APP2605ZA101001020,#164,0.00,"45,664.62",,
27/05/2026,SACRN SC26ZA01005597,SON2605ZA105000164,0.00,"131,962.50",,
27/05/2026,SAINV SI26ZA01008692,SON2605ZA105000164,"128,329.74",0.00,"- 49,297.38 ",
,,,,,,
,,,,,,
28/05/2026,APPAY APP2605ZA101001078,#185,0.00,"22,600.00",,
28/05/2026,SACRN SC26ZA01005659,SON2605ZA105000185,0.00,"59,455.00",,
28/05/2026,SAINV SI26ZA01008773,28052026,"109,094.12",0.00,"  27,039.12 ",
,,,,,,
,,,,,,
28/05/2026,SACRN SC26ZA01005660,SON2605ZA105000176,0.00,"46,575.00",,
28/05/2026,SAINV SI26ZA01008772,27052026,"92,239.61",0.00,"  45,664.61 ",
,,,,,,
,,,,,,
29/05/2026,APPAY APP2605ZA101001233,#002,0.00,"76,000.00",,
01/06/2026,SACRN SC26ZA01005836,SON2606ZA105000002,0.00,"101,487.50",,
01/06/2026,SAINV SI26ZA01009114,29052026,"177,454.25",0.00,- 33.25 ,
,,,,,,
,,,,,,
02/06/2026,APPAY APP2606ZA101000094,#011,0.00,"45,400.00",,
03/06/2026,SACRN SC26ZA01005913,SON2606ZA105000011,0.00,"66,953.38",,
03/06/2026,SAINV SI26ZA01009115,02062026,"109,542.89",0.00,"- 2,810.49 ",
,,,,,,
,,,,,,
09/06/2026,APPAY APP2606ZA101000432,#024,0.00,"68,976.11",,
04/06/2026,SACRN SC26ZA01005977,SON2606ZA105000024,0.00,"82,800.00",,
04/06/2026,SAINV SI26ZA01009260,03062026,"151,776.11",0.00,- 0.00 ,
,,,,,,
,,,,,,
08/06/2026,APPAY APP2606ZA101000346,FNB-08062026,0.00,"89,486.80",,
09/06/2026,SACRN SC26ZA01006219,SON2606ZA105000058.,0.00,"121,325.00",,
09/06/2026,SAINV SI26ZA01009584,08052026.,"210,769.63",0.00,- 42.17 ,
,,,,,,
,,,,,,
09/06/2026,APPAY APP2606ZA101000429,#081,0.00,"89,444.63",,
10/06/2026,SACRN SC26ZA01006267,SON2606ZA105000081.,0.00,"116,897.50",,
10/06/2026,SAINV SI26ZA01009705,09062026.,"210,769.63",0.00,"  4,427.50 ",
,,,,,,
,,,,,,
,,,,,,
10/06/2026,APPAY APP2606ZA101000479,#103,0.00,"78,229.00",,
11/06/2026,SACRN SC26ZA01006333,SON2606ZA105000103.,0.00,"120,635.00",,
11/06/2026,SAINV SI26ZA01009748,10062026.,"183,166.50",0.00,"- 15,697.50 ",
,,,,,,
,,,,,,
11/06/2026,APPAY APP2606ZA101000579,FNB-11062026,0.00,"89,500.00",,
12/06/2026,SACRN SC26ZA01006408,SON2606ZA105000111,0.00,"101,717.50",,
12/06/2026,SAINV SI26ZA01009845,11062026,"210,769.63",0.00,"  19,552.13 ",
,,,,,,
,,,,,,
15/06/2026,APPAY APP2606ZA101000697,#131,0.00,"72,345.00",,
15/06/2026,SACRN SC26ZA01006468,SON2606ZA105000131,0.00,"94,012.50",,
15/06/2026,SAINV SI26ZA01009903,15062026,"166,353.30",0.00,- 4.20 ,
,,,,,,
,,,,,,
17/06/2026,SACRN SC26ZA01006457,May 2026 Sales Volume Rebate,0.00,"52,188.15","- 52,188.15 ",Rebate
,,,,,,
,,,,,,
18/06/2026,APPAY APP2606ZA101000847,#156,0.00,"19,903.96",,
18/06/2026,APPAY APP2606ZA101000883,#156,0.00,"46,100.00",,
19/06/2026,SACRN SC26ZA01006659,SON2606ZA105000156,0.00,"114,195.00",,
19/06/2026,SAINV SI26ZA01010254,18062026,"145,698.96",0.00,"- 34,500.00 ",
,,,,,,
,,,,,,
19/06/2026,ARPAY ARP2606ZA101000034,#167,0.00,"58,321.26",,
19/06/2026,SACRN SC26ZA01006684,SON2606ZA105000167,0.00,"58,132.50",,
19/06/2026,SAINV SI26ZA01010328,19062026,"127,321.26",0.00,"  10,867.50 ",
,,,,,,
,,,,,,
15/06/2026,APPAY APP2606ZA101000694,#141,0.00,"92,528.93",,
17/06/2026,SACRN SC26ZA01006531,SON2606ZA105000141,0.00,"75,210.00",,
19/06/2026,SAINV SI26ZA01010255,SON2606ZA105000141,"66,464.54",0.00,,
17/06/2026,SAINV SI26ZA01010087,16052026,"138,189.39",0.00,"  36,915.00 ",
,,,,,,
,,,,,,
,,,,,,
23/06/2026,SACRN SC26ZA01006827,SON2606ZA105000186,0.00,"69,000.00",,
23/06/2026,SAINV SI26ZA01010472,22062026,"127,321.26",0.00,"  58,321.26 ",
,,,,,,
,,,,,,
24/06/2026,ARPAY ARP2606ZA101000201,#183,0.00,"57,130.00",,
25/06/2026,SACRN SC26ZA01006928,SON2606ZA105000199,0.00,"25,875.00",,
25/06/2026,SAINV SI26ZA01010666,24062026,"38,492.58",0.00,"- 44,512.42 ",
,,,,,,
,,,,,,
29/06/2026,ARPAY ARP2606ZA101000366,#222,0.00,"13,458.75",,
29/06/2026,SACRN SC26ZA01007114,SON2606ZA105000222,0.00,"24,150.00",,
29/06/2026,SACRN SC26ZA01007118,SON2606ZA105000222,0.00,"2,553.38",,
29/06/2026,SAINV SI26ZA01010948,26062026,"25,533.75",0.00,"- 14,628.38 ",
,,,,,,
,,,,,,
29/06/2026,ARPAY ARP2606ZA101000363,#002,0.00,"49,000.00",,
29/06/2026,ARPAY ARP2606ZA101000367,#002,0.00,"43,338.74",,
01/07/2026,SACRN SC26ZA01007273,SON2607ZA105000002,0.00,"117,300.00",,
01/07/2026,SAINV SI26ZA01011253,29062026,"210,161.67",0.00,  522.93 ,
,,,,,,
,,,,,,
01/07/2026,ARPAY ARP2607ZA101000040,#022,0.00,"41,006.68",,
02/07/2026,SACRN SC26ZA01007287,SON2607ZA105000022,0.00,"54,337.50",,
02/07/2026,SAINV SI26ZA01011254,01072026,"95,343.18",0.00,- 1.00 ,
,,,,,,
,,,,,,
02/07/2026,ARPAY ARP2607ZA101000079,#031,0.00,"32,129.03",,
02/07/2026,ARPAY ARP2607ZA101000089,#031,0.00,"31,000.00",,
03/07/2026,SACRN SC26ZA01007310,SON2607ZA105000031,0.00,"86,077.50",,
03/07/2026,SAINV SI26ZA01011255,02072026,"152,829.03",0.00,"  3,622.50 ",
,,,,,,
,,,,,,
04/07/2026,SACRN SC26ZA01007366,SON2607ZA105000048,0.00,"86,825.00",,
04/07/2026,SAINV SI26ZA01011256,03072026,"157,964.30",0.00,"  71,139.30 ",
,,,,,,
,,,,,,
06/07/2026,SACRN SC26ZA01007492,SON2607ZA105000054,0.00,"10,867.50",,
06/07/2026,SAINV SI26ZA01011257,SON2607ZA105000048,"51,205.30",0.00,"  40,337.80 ",
,,,,,,
,,,,,,
07/07/2026,ARPAY ARP2607ZA101000279,#084,0.00,"84,547.81",,
08/07/2026,ARPAY ARP2607ZA101000324,#084,0.00,"53,270.00",,
08/07/2026,SACRN SC26ZA01007626,SON2607ZA105000084,0.00,"114,425.00",,
08/07/2026,SAINV SI26ZA01011567,07072026,"198,972.80",0.00,"- 53,270.01 ",
,,,,,,
,,,,,,
08/07/2026,ARPAY ARP2607ZA101000317,#0093,0.00,"12,677.29",,
09/07/2026,SACRN SC26ZA01007709,SON2607ZA105000093,0.00,"77,107.50",,
09/07/2026,SAINV SI26ZA01011714,08072026,"153,922.29",0.00,"  64,137.50 ",
,,,,,,
,,,,,,
09/07/2026,ARPAY ARP2607ZA101000378,#110,0.00,"65,947.29",,
10/07/2026,SACRN SC26ZA01007792,SON2607ZA105000110,0.00,"86,767.50",,
10/07/2026,SAINV SI26ZA01011822,09072026,"153,922.29",0.00,"  1,207.50 ",
,,,,,,
,,,,,,
10/07/2026,ARPAY ARP2607ZA101000420, #118,0.00,"77,220.34",,
13/07/2026,SACRN SC26ZA01007840,SON2607ZA105000118,0.00,"95,450.00",,
13/07/2026,SAINV SI26ZA01011930,1007,"172,670.33",0.00,- 0.01 ,
,,,,,,
,,,,,,
15/07/2026,ARPAY ARP2607ZA101000611,FNB-15072026,0.00,"68,483.73",,
16/07/2026,SACRN SC26ZA01008010,SON2607ZA105000147,0.00,"97,635.00",,
16/07/2026,SAINV SI26ZA01012113,15072026,"165,083.72",0.00,"- 1,035.01 ",
,,,,,,
,,,,,,
17/07/2026,ARPAY ARP2607ZA101000725,#173,0.00,"82,020.00",,
20/07/2026,SACRN SC26ZA01008162,SON2607ZA105000173,0.00,"103,845.00",,
20/07/2026,SAINV SI26ZA01012386,17072026,"190,686.38",0.00,"  4,821.38 ",
,,,,,,
,,,,,,
22/07/2026,ARPAY ARP2607ZA101000937,#208,0.00,"73,840.00",,
23/07/2026,SACRN SC26ZA01008336,SON2607ZA105000208,0.00,"102,062.50",,
23/07/2026,SAINV SI26ZA01012644,22072026,"175,900.92",0.00,- 1.58 ,
,,,,,,
,,,,,,
23/07/2026,ARPAY ARP2607ZA101000972,#220,0.00,"72,147.47",,
24/07/2026,SACRN SC26ZA01008425,SON2607ZA105000220,0.00,"81,075.00",,
24/07/2026,SAINV SI26ZA01012779,23072026,"153,222.46",0.00,- 0.01 ,
,,,,,,
,,,,,,
27/07/2026,ARPAY ARP2607ZA101001093,#238,0.00,"95,540.00",,
28/07/2026,SACRN SC26ZA01008520,SON2607ZA106000129,0.00,"120,750.00",,
28/07/2026,SAINV SI26ZA01013020,27072026,"216,289.02",0.00,- 0.98 ,
,,,,,,
,,,,,,
29/07/2026,SACRN SC26ZA01008528,June 2026 Sales Volume Rebate,0.00,"55,807.20","- 55,807.20 ",Rebate
,,,,,,
,,,,,,
29/07/2026,ARPAY ARP2607ZA101001211,#270,0.00,"38,330.00",,
30/07/2026,SACRN SC26ZA01008672,SON2607ZA105000270,0.00,"50,887.50",,
30/07/2026,SAINV SI26ZA01013188,29072026,"89,215.84",0.00,- 1.66 ,
,,,,,,
,,,,,,
30/07/2026,ARPAY ARP2607ZA101001262,FNB-30072026,0.00,"12,423.42",,
31/07/2026,SACRN SC26ZA01008721,SON2607ZA105000291,0.00,"25,875.00",,
31/07/2026,SAINV SI26ZA01013290,,"38,298.42",0.00,- 0.00 ,
,,,,,,
,,,,,,
31/07/2026,ARPAY ARP2607ZA101001353,#003,0.00,"39,531.92",,
31/07/2026,ARPAY ARP2607ZA101001356,#003,0.00,"50,511.50",,
03/08/2026,SACRN SC26ZA01008940,SON2608ZA105000003,0.00,"117,587.50",,
03/08/2026,SAINV SI26ZA01013659,31072026,"207,630.91",0.00,- 0.01 ,
,,,,,,
,,,,,,
04/08/2026,ARPAY ARP2608ZA101000098,#011,0.00,"24,740.16",,
04/08/2026,ARPAY ARP2608ZA101000102,#011,0.00,"41,860.00",,
06/08/2026,SACRN SC26ZA01009122,SON2608ZA105000011,0.00,"101,775.00",,
06/08/2026,SAINV SI26ZA01013660,Lucy 03082026,"167,983.74",0.00,- 391.42 ,
,,,,,,
,,,,,,
05/08/2026,ARPAY ARP2608ZA101000128,#055,0.00,"33,591.21",,
07/08/2026,SACRN SC26ZA01009207,SON2608ZA105000055,0.00,"34,845.00",,
07/08/2026,SAINV SI26ZA01013837,05082026,"97,416.20",0.00,"  28,979.99 ",
,,,,,,
,,,,,,
06/08/2026,ARPAY ARP2608ZA101000183,FNB-06082026 COLLECT,0.00,"63,002.50",,
07/08/2026,SACRN SC26ZA01009206,SON2608ZA105000064,0.00,"79,350.00",,
07/08/2026,SAINV SI26ZA01013838,06082026,"115,107.59",0.00,"- 27,244.91 ",
,,,,,,
,,,,,,
07/08/2026,ARPAY ARP2608ZA101000226,#074,0.00,"77,162.40",,
11/08/2026,SACRN SC26ZA01009278,SON2608ZA105000074,0.00,"149,385.00",,
11/08/2026,SAINV SI26ZA01013954,Delivery 11082026,"204,812.40",0.00,"- 21,735.00 ",
,,,,,,
,,,,,,
12/08/2026,ARPAY ARP2608ZA101000352,#102,0.00,"61,583.86",,
13/08/2026,SACRN SC26ZA01009416,SON2608ZA105000102,0.00,"94,875.00",,
13/08/2026,SAINV SI26ZA01014201,12082026,"156,458.87",0.00,  0.01 ,
,,,,,,
,,,,,,
11/08/2026,ARPAY ARP2608ZA101000296,#091,0.00,"56,958.99",,
14/08/2026,SACRN SC26ZA01009534,SON2608ZA105000091,0.00,"87,975.00",,
14/08/2026,SAINV SI26ZA01014304,11082026,"144,933.99",0.00,  -   ,
,,,,,,
,,,,,,
13/08/2026,ARPAY ARP2608ZA101000424,FNB-13082026,0.00,"61,590.00",,
17/08/2026,SACRN SC26ZA01009583,SON2608ZA105000128,0.00,"94,875.00",,
17/08/2026,SAINV SI26ZA01014351,14082026,"156,458.87",0.00,- 6.13 ,
,,,,,"  32,024.40 ",
,,,,,,
15220,,,"10,152,409.26","10,120,342.11",,
,,,,,,
,,Total Balance as at 17/08/2026,"32,067.15",Overdue Amount,,
,,,,,,
,,Open Order,"  156,458.87 ",SON2608ZA105000134,,
,,,"- 94,875.00 ",Cylinder deposit IF returning 1 for 1,,
,,,"  61,583.87 ",,,
,,,,,,
,,,,,,
,,,"  93,651.02 ",Total payment required ,,
