line,period,docno,entry,date,invno,cust_ref,order,reference,amount,balance,source_type,batch_id,proforma_doc,notes
62,05,00032332,Payment,30/07/2024,,TRANSF | STAT 104,,TWK AGRI,-16737.35,157339.64,erp_adjusted_payment,BATCH-2024-07-26,,"Adjusted gross -18,061.64 -> cash -16,737.35 per remittance 2024-07-26; ERP orphan R895.13 stripped from payment"
63,,PROFORMA-DJ-12,Journal,26/08/2024,,,,DISCOUNT ALLOWED,-543.52,156796.12,proforma_journal,BATCH-2024-08-26,PROFORMA-DJ-12,Consolidated settlement discount BATCH-2024-08-26; post date per remittance; link 00033224
64,06,00033224,Payment,26/08/2024,,TRANSF | STAT 105,,TWK AGRI,-21197.32,135598.8,erp_adjusted_payment,BATCH-2024-08-26,,"Adjusted gross -22,338.84 -> cash -21,197.32 per remittance 2024-08-26; ERP orphan R598.00 stripped from payment"
65,,PROFORMA-DJ-13,Journal,26/09/2024,,,,DISCOUNT ALLOWED,233.1,135831.9,proforma_journal,BATCH-2024-09-26,PROFORMA-DJ-13,Consolidated settlement discount BATCH-2024-09-26; post date per remittance; link 00033921
66,07,00033921,Payment,26/09/2024,,TRANSF | STAT 106,,TWK AGRI,-2984.27,132847.63,erp_actual,BATCH-2024-09-26,,
67,,PROFORMA-DJ-14,Journal,26/10/2024,,,,DISCOUNT ALLOWED,-983.04,131864.59,proforma_journal,BATCH-2024-10-26,PROFORMA-DJ-14,Consolidated settlement discount BATCH-2024-10-26; post date per remittance; link 00034518
68,08,00034518,Payment,26/10/2024,,TRANSF | STAT 107,,TWK AGRI PTY LTD,-38338.45,93526.14,erp_actual,BATCH-2024-10-26,,
69,,PROFORMA-DJ-15,Journal,26/11/2024,,,,DISCOUNT ALLOWED,-552.04,92974.1,proforma_journal,BATCH-2024-11-26,PROFORMA-DJ-15,Consolidated settlement discount BATCH-2024-11-26; post date per remittance; link 00035263
70,09,00035263,Payment,10/12/2024,,TRANSF | STAT 108,,TWK AGRI PTY LTD,-21529.67,71444.43,erp_adjusted_payment,BATCH-2024-11-26,,"Adjusted gross -22,581.72 -> cash -21,529.67 per remittance 2024-11-26; ERP orphan R500.01 stripped from payment"
71,,PROFORMA-DJ-16,Journal,27/12/2024,,,,DISCOUNT ALLOWED,-310.37,71134.06,proforma_journal,BATCH-2024-12-27,PROFORMA-DJ-16,Consolidated settlement discount BATCH-2024-12-27; post date per remittance; link 00036195
72,10,00036195,Payment,27/12/2024,,TRANSF | STAT 109,,TWK AGRI PTY LTD,-12104.7,59029.36,erp_actual,BATCH-2024-12-27,,
73,11,00036467,Payment,31/01/2025,,TRANSF | STAT 110,,TWK AGRI PTY LTD,-4398.27,54631.09,erp_actual,,,
74,07,00037732,Payment,23/07/2024,,TRANSF | STAT:105,,TWK AGRI PTY LTD,-10430.79,44200.3,erp_actual,,,
