allocation_id,allocation_group_id,payment_doc,payment_date,payment_amount,slice_amount,target_doc,target_date,lpg_target_amount,allocated_amount,variance,allocation_type,confidence,review_required,batch_id,erp_stat
AL-0033,AG-BATCH-2023-09-26,24560,2023-09-26,14317.17,336.37,5875,2023-08-16,345,336.37,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-09-26,STAT 94
AL-0034,AG-BATCH-2023-09-26,24560,2023-09-26,14317.17,0.02,STMT-DIFF-AUG23,2023-08-31,0.02,0.02,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-09-26,STAT 94
AL-0035,AG-BATCH-2023-10-26,25906,2023-11-08,16637.78,4955.14,24011,2023-09-01,8532.19,4955.14,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-10-26,STAT 95
AL-0036,AG-BATCH-2023-10-26,25906,2023-11-08,16637.78,10091.25,24012,2023-09-01,10350,10091.25,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-10-26,STAT 95
AL-0037,AG-BATCH-2023-10-26,25906,2023-11-08,16637.78,8318.89,24201,2023-09-06,8532.19,8318.89,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-10-26,STAT 95
AL-0038,AG-BATCH-2023-10-26,25906,2023-11-08,16637.78,10091.25,24202,2023-09-06,10350,10091.25,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-10-26,STAT 95
AL-0039,AG-BATCH-2023-10-26,25906,2023-11-08,16637.78,10764,25043,2023-10-02,11040,10764,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-10-26,STAT 95
AL-0040,AG-BATCH-2023-10-26,25906,2023-11-08,16637.78,10091.25,6078,2023-10-11,10350,10091.25,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-10-26,STAT 95
AL-0041,AG-BATCH-2023-10-26,25906,2023-11-08,16637.78,6727.5,6134,2023-10-11,6900,6727.5,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-10-26,STAT 95
AL-0042,AG-BATCH-2023-10-26,25906,2023-11-08,16637.78,10764,6387,2023-10-11,11040,10764,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-10-26,STAT 95
AL-0043,AG-BATCH-2023-11-27,26681,2023-11-29,30825.36,3450,24011,2023-09-01,8532.19,3450,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-11-27,STAT 96
AL-0044,AG-BATCH-2023-11-27,26681,2023-11-29,30825.36,8122.16,25042,2023-10-02,8330.42,8122.16,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-11-27,STAT 96
AL-0045,AG-BATCH-2023-11-27,26681,2023-11-29,30825.36,7280.19,25293,2023-10-09,7466.86,7280.19,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-11-27,STAT 96
AL-0046,AG-BATCH-2023-11-27,26681,2023-11-29,30825.36,4036.5,25294,2023-10-09,4140,4036.5,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-11-27,STAT 96
AL-0049,AG-BATCH-2023-11-27,26681,2023-11-29,30825.36,12982.13,26027,2023-10-31,13315.01,12982.13,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-11-27,STAT 96
AL-0050,AG-BATCH-2023-11-27,26681,2023-11-29,30825.36,13455,26033,2023-10-31,13800,13455,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-11-27,STAT 96
AL-0047,AG-BATCH-2023-11-27,26681,2023-11-29,30825.36,3363.75,6461,2023-10-25,3450,3363.75,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-11-27,STAT 96
AL-0048,AG-BATCH-2023-11-27,26681,2023-11-29,30825.36,4372.87,6462,2023-10-25,4485,4372.87,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-11-27,STAT 96
AL-0051,AG-BATCH-2023-11-27,26681,2023-11-29,30825.36,10764,6667,2023-11-07,11040,10764,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-11-27,STAT 96
AL-0052,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,345,23075,2023-08-03,3943.81,345,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0053,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,10350,26554,2023-11-14,10350,10350,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0054,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,8764.79,26577,2023-11-14,8764.79,8764.79,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0056,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,23007.6,27340,2023-12-06,23007.6,23007.6,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0057,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,19320,27341,2023-12-06,19320,19320,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0059,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,13119.2,27764,2023-12-19,13119.2,13119.2,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0060,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,13800,27765,2023-12-19,13800,13800,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0063,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,10464.12,28765,2024-01-18,10732.43,10464.12,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0062,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,8409.37,28766,2024-01-18,8625,8409.37,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0065,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,14283.89,29140,2024-01-31,14650.14,14283.89,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0067,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,11079.3,29889,2024-02-26,11363.38,11079.3,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0068,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,17491.5,29890,2024-02-26,17940,17491.5,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0055,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,10005,6810,2023-11-22,10005,10005,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0058,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,16215,6990,2023-12-11,16215,16215,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0061,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,8625,7127,2024-01-09,8625,8625,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0064,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,8409.37,7332,2024-01-23,8625,8409.37,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0066,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,17827.87,7410,2024-02-06,18285,17827.87,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0069,AG-BATCH-2024-03-26,29684,2024-03-27,73610.18,15742.35,7547,2024-02-28,16146,15742.35,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-03-26,STAT 100
AL-0070,AG-BATCH-2024-04-26,30419,2024-04-25,28428.84,13800,29141,2024-01-31,13800,13800,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-04-26,STAT 101
AL-0071,AG-BATCH-2024-04-26,30419,2024-04-25,28428.84,14628.84,30762,2024-03-27,15003.94,14628.84,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-04-26,STAT 101
AL-0072,AG-BATCH-2024-04-26,30419,2024-04-25,28428.84,23322,30763,2024-03-27,23920,23322,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-04-26,STAT 101
AL-0073,AG-BATCH-2024-04-26,30419,2024-04-25,28428.84,23322,7848,2024-03-28,23920,23322,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-04-26,STAT 101
AL-0074,AG-BATCH-2024-05-27,31365,2024-05-27,11721.1,10555,31404,2024-04-18,10825.64,10555,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-05-27,STAT 102
AL-0075,AG-BATCH-2024-05-27,31365,2024-05-27,11721.1,17491.5,31405,2024-04-18,17940,17491.5,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-05-27,STAT 102
AL-0076,AG-BATCH-2024-05-27,31365,2024-05-27,11721.1,16325.4,8120,2024-04-19,16744,16325.4,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-05-27,STAT 102
AL-0077,AG-BATCH-2024-06-26,31558,2024-06-26,37294.98,10410.47,31907,2024-05-06,10677.41,10410.47,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-06-26,STAT 103
AL-0078,AG-BATCH-2024-06-26,31558,2024-06-26,37294.98,17491.5,31908,2024-05-06,17940,17491.5,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-06-26,STAT 103
AL-0080,AG-BATCH-2024-06-26,31558,2024-06-26,37294.98,17507.25,32419,2024-05-24,17956.15,17507.25,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-06-26,STAT 103
AL-0081,AG-BATCH-2024-06-26,31558,2024-06-26,37294.98,27403.35,32425,2024-05-24,28106,27403.35,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-06-26,STAT 103
AL-0079,AG-BATCH-2024-06-26,31558,2024-06-26,37294.98,16325.4,8324,2024-05-07,16744,16325.4,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-06-26,STAT 103
AL-0082,AG-BATCH-2024-06-26,31558,2024-06-26,37294.98,18657.6,8530,2024-06-06,19136,18657.6,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-06-26,STAT 103
AL-0083,AG-BATCH-2024-06-26,31558,2024-06-26,37294.98,534.59,8700,2024-06-07,548.3,534.59,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-06-26,STAT 103
AL-0085,AG-BATCH-2024-07-26,32332,2024-07-30,16737.35,14988.2,33277,2024-06-20,15372.51,14988.2,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-07-26,STAT 104
AL-0086,AG-BATCH-2024-07-26,32332,2024-07-30,16737.35,26237.25,33278,2024-06-20,26910,26237.25,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-07-26,STAT 104
AL-0084,AG-BATCH-2024-07-26,32332,2024-07-30,16737.35,24488.1,8913,2024-06-20,25116,24488.1,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-07-26,STAT 104
AL-0087,AG-BATCH-2024-08-26,33224,2024-08-26,21197.32,8506.87,33800,2024-07-04,8724.99,8506.87,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-08-26,STAT 105
AL-0088,AG-BATCH-2024-08-26,33224,2024-08-26,21197.32,13273.5,34342,2024-07-18,13613.85,13273.5,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-08-26,STAT 105
AL-0089,AG-BATCH-2024-08-26,33224,2024-08-26,21197.32,18657.6,34343,2024-07-18,19136,18657.6,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-08-26,STAT 105
AL-0090,AG-BATCH-2024-08-26,33224,2024-08-26,21197.32,19240.65,9426,2024-07-30,19734,19240.65,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-08-26,STAT 105
AL-0091,AG-BATCH-2024-09-26,33921,2024-09-26,2984.27,12075,33801,2024-07-04,12075,12075,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-09-26,STAT 106
AL-0093,AG-BATCH-2024-09-26,33921,2024-09-26,2984.27,11316.02,35091,2024-08-08,11606.17,11316.02,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-09-26,STAT 106
AL-0094,AG-BATCH-2024-09-26,33921,2024-09-26,2984.27,22155.9,35092,2024-08-08,22724,22155.9,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-09-26,STAT 106
AL-0092,AG-BATCH-2024-09-26,33921,2024-09-26,2984.27,20406.75,9393,2024-07-17,20930,20406.75,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-09-26,STAT 106
AL-0095,AG-BATCH-2024-09-26,33921,2024-09-26,2984.27,22155.9,9769,2024-08-14,22724,22155.9,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-09-26,STAT 106
AL-0096,AG-BATCH-2024-10-26,34518,2024-10-26,38338.45,15016.45,36005,2024-09-06,15401.49,15016.45,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-10-26,STAT 107
AL-0097,AG-BATCH-2024-10-26,34518,2024-10-26,38338.45,23322,36006,2024-09-06,23920,23322,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-10-26,STAT 107
AL-0101,AG-BATCH-2024-11-26,35263,2024-12-10,21529.67,24970.77,10189,2024-10-28,25611.05,24970.77,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-11-26,STAT 108
AL-0100,AG-BATCH-2024-11-26,35263,2024-12-10,21529.67,16672.52,10617,2024-10-23,17100.02,16672.52,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-11-26,STAT 108
AL-0104,AG-BATCH-2024-11-26,35263,2024-12-10,21529.67,17827.87,11003,2024-11-01,18285,17827.87,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-11-26,STAT 108
AL-0098,AG-BATCH-2024-11-26,35263,2024-12-10,21529.67,20510.74,36926,2024-10-03,21036.66,20510.74,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-11-26,STAT 108
AL-0099,AG-BATCH-2024-11-26,35263,2024-12-10,21529.67,20518.87,37189,2024-10-03,21045,20518.87,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-11-26,STAT 108
AL-0102,AG-BATCH-2024-11-26,35263,2024-12-10,21529.67,19788.72,37817,2024-10-31,20296.12,19788.72,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-11-26,STAT 108
AL-0103,AG-BATCH-2024-11-26,35263,2024-12-10,21529.67,20182.5,37818,2024-10-31,20700,20182.5,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-11-26,STAT 108
AL-0106,AG-BATCH-2024-12-27,36195,2024-12-27,12104.7,21864.37,11320,2024-12-06,22425,21864.37,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2024-12-27,STAT 109
AL-0105,AG-BATCH-2024-12-27,36195,2024-12-27,12104.7,33969.07,38582,2024-11-26,34840.07,33969.07,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2024-12-27,STAT 109
AL-0108,AG-BATCH-2025-01-31,36467,2025-01-31,4398.27,15473.25,11475,2024-12-20,15870,15473.25,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2025-01-31,STAT 110
AL-0107,AG-BATCH-2025-01-31,36467,2025-01-31,4398.27,19871.52,39022,2024-12-13,20381.05,19871.52,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2025-01-31,STAT 110
AL-0111,AG-BATCH-2025-03-31,37770,2025-03-28,35693.84,15473.25,11648,2025-01-23,15870,15473.25,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2025-03-31,STAT 112
AL-0112,AG-BATCH-2025-03-31,37770,2025-03-28,35693.84,10091.25,11743,2025-01-23,10350,10091.25,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2025-03-31,STAT 112
AL-0114,AG-BATCH-2025-03-31,37770,2025-03-28,35693.84,12950.44,11821,2025-02-06,13282.5,12950.44,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2025-03-31,STAT 112
AL-0116,AG-BATCH-2025-03-31,37770,2025-03-28,35693.84,14968.69,11953,2025-02-26,15352.5,14968.69,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2025-03-31,STAT 112
AL-0109,AG-BATCH-2025-03-31,37770,2025-03-28,35693.84,26765.92,39683,2025-01-08,26765.92,26765.92,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2025-03-31,STAT 112
AL-0110,AG-BATCH-2025-03-31,37770,2025-03-28,35693.84,15217.83,40081,2025-01-22,15608.03,15217.83,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2025-03-31,STAT 112
AL-0113,AG-BATCH-2025-03-31,37770,2025-03-28,35693.84,22372.3,40459,2025-02-05,22945.95,22372.3,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2025-03-31,STAT 112
AL-0115,AG-BATCH-2025-03-31,37770,2025-03-28,35693.84,24821.42,40950,2025-02-24,25457.87,24821.42,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2025-03-31,STAT 112
AL-0118,AG-BATCH-2025-05-31,39080,2025-05-30,15365.65,6727.5,12131,2025-04-01,6900,6727.5,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2025-05-31,STAT 114
AL-0119,AG-BATCH-2025-05-31,39080,2025-05-30,15365.65,12614.06,12131,2025-04-01,12937.5,12614.06,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2025-05-31,STAT 114
AL-0121,AG-BATCH-2025-05-31,39080,2025-05-30,15365.65,11773.12,12214,2025-04-08,12075,11773.12,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2025-05-31,STAT 114
AL-0122,AG-BATCH-2025-05-31,39080,2025-05-30,15365.65,1218.53,12215,2025-04-08,1249.77,1218.53,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2025-05-31,STAT 114
AL-0117,AG-BATCH-2025-05-31,39080,2025-05-30,15365.65,19341.56,41747,2025-03-26,32064.13,19341.56,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2025-05-31,STAT 114
AL-0120,AG-BATCH-2025-05-31,39080,2025-05-30,15365.65,19630.62,42050,2025-04-07,20133.97,19630.62,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2025-05-31,STAT 114
AL-0123,AG-BATCH-2025-05-31,39080,2025-05-30,15365.65,7520.74,42468,2025-04-23,7713.58,7520.74,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2025-05-31,STAT 114
AL-0124,AG-BATCH-2025-05-31,39080,2025-05-30,15365.65,1205.94,42470,2025-04-23,1236.86,1205.94,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2025-05-31,STAT 114
AL-0160,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,6900,10,2025-10-23,6900,6900,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0126,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,17250,12502,2025-05-16,17250,17250,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0129,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,14835,12550,2025-05-24,14835,14835,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0131,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,16905,12724,2025-06-18,16905,16905,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0133,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,17250,12825,2025-06-30,17250,17250,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0138,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,17250,12908,2025-07-14,17250,17250,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0136,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,5175,12958,2025-07-14,5175,5175,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0139,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,5175,12982,2025-07-16,5175,5175,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
AL-0141,AG-BATCH-2026-STAT-123,43500,2026-02-25,176824.24,13972.5,13019,2025-07-22,13972.5,13972.5,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2026-STAT-123,STAT 123
