line,period,docno,entry,date,invno,cust_ref,order,reference,amount,balance,source_type,batch_id,proforma_doc,notes
59,,PROFORMA-DJ-05,Journal,26/10/2023,,,,DISCOUNT ALLOWED,-426.6,32435.06,proforma_journal,BATCH-2023-10-26,PROFORMA-DJ-05,Consolidated settlement discount BATCH-2023-10-26; post date per remittance; link 00025906
60,08,00006667,Crd Note,31/10/2023,00026033,D/N 6758 EMPTIES,,TWK AGRI,-11040.0,21395.06,erp_actual,,,
61,08,00026027,Invoice,31/10/2023,00026027,D/N 6758,00006971,TWK AGRI,13315.01,34710.07,erp_actual,,,
62,08,00026033,Invoice,31/10/2023,00026033,D/N 6758 EMPTIES,,TWK AGRI,13800.0,48510.07,erp_actual,,,
63,08,00025906,Payment,08/11/2023,,TRANSF | STAT 95,,TWK AGRI,-16637.78,31872.29,erp_adjusted_payment,BATCH-2023-10-26,,"Adjusted gross -17,064.38 -> cash -16,637.78 per remittance 2023-10-26"
64,09,00006810,Crd Note,14/11/2023,00026554,D/N 6859 EMPTIES,,TWK AGRI,-10005.0,21867.29,erp_actual,,,
65,09,00006816,Crd Note,14/11/2023,00026553,QTY,,TWK AGRI,-7532.33,14334.96,erp_actual,,,
66,09,00026553,Invoice,14/11/2023,00026553,D/N 6859,00007054,TWK AGRI,7532.25,21867.21,erp_actual,,,
67,09,00026554,Invoice,14/11/2023,00026554,D/N 6859 EMPTIES,,TWK AGRI,10350.0,32217.21,erp_actual,,,
68,09,00026577,Invoice,14/11/2023,00026577,D/N 6859,,TWK AGRI,8764.79,40982.00,erp_actual,,,
69,,PROFORMA-DJ-06,Journal,27/11/2023,,,,DISCOUNT ALLOWED,-701.93,40280.07,proforma_journal,BATCH-2023-11-27,PROFORMA-DJ-06,Consolidated settlement discount BATCH-2023-11-27; post date per remittance; link 00026681
70,09,00026681,Payment,29/11/2023,,TRANSF | STAT 96,,TWK AGRI,-30825.36,9454.71,erp_adjusted_payment,BATCH-2023-11-27,,"Adjusted gross -31,872.29 -> cash -30,825.36 per remittance 2023-11-27; ERP variance R345.00"
71,10,00006990,Crd Note,06/12/2023,00027341,D/N 7111 EMPTIES,,TWK AGRI,-16215.0,-6760.29,erp_actual,,,
72,10,00027340,Invoice,06/12/2023,00027340,D/N 7111,00007171,TWK AGRI,23007.6,16247.31,erp_actual,,,
73,10,00027341,Invoice,06/12/2023,00027341,D/N 7111 EMPTIES,,TWK AGRI,19320.0,35567.31,erp_actual,,,
74,10,00007127,Crd Note,19/12/2023,00027765,D/N 7529 EMPTIES,,TWK AGRI,-8625.0,26942.31,erp_actual,,,
75,10,00027764,Invoice,19/12/2023,00027764,D/N 7529,,TWK AGRI,13119.2,40061.51,erp_actual,,,
76,10,00027765,Invoice,19/12/2023,00027765,D/N 7529 EMPTIES,,TWK AGRI,13800.0,53861.51,erp_actual,,,
77,11,00007332,Crd Note,18/01/2024,00028766,D/N 7733 EMPTIES,,TWK AGRI,-8625.0,45236.51,erp_actual,,,
78,11,00028765,Invoice,18/01/2024,00028765,D/N 7733,00007447,TWK AGRI,10732.43,55968.94,erp_actual,,,
79,11,00028766,Invoice,18/01/2024,00028766,D/N 7733 EMPTIES,,TWK AGRI,8625.0,64593.94,erp_actual,,,
80,11,00007410,Crd Note,31/01/2024,00029141,D/N 7370 EMPTIES,,TWK AGRI,-18285.0,46308.94,erp_actual,,,
81,11,00029140,Invoice,31/01/2024,00029140,D/N 7370,,TWK AGRI,14650.14,60959.08,erp_actual,,,
82,11,00029141,Invoice,31/01/2024,00029141,D/N 7370 EMPTIES,,TWK AGRI,13800.0,74759.08,erp_actual,,,
83,12,00007547,Crd Note,26/02/2024,00029890,D/N 7391 EMPTIES,,TWK AGRI,-16146.0,58613.08,erp_actual,,,
84,12,00029889,Invoice,26/02/2024,00029889,D/N 7391,00007716,TWK AGRI,11363.38,69976.46,erp_actual,,,
85,12,00029890,Invoice,26/02/2024,00029890,D/N 7391 EMPTIES,00007745,TWK AGRI,17940.0,87916.46,erp_actual,,,
