debtor_code,doc_no,entry_type,tx_date,month_year,stock_code,description,debt_group,lane,qty,amount_excl,tax_amount,amount_incl,source_file,is_cyl,is_lpg,paired_cyl_doc,notes
JIM001,00000620,Crd Note,2019-01-16,2019-01,D.3,GAS RETURNED IN CYL,LPG,LPG,-2.0,-1478.26,-221.74,-1700.0,,False,True,,
JIM001,00004690,Invoice,2019-01-26,2019-01,19.3,,LPG,LPG,3.0,782.61,117.39,900.0,,False,True,,
JIM001,00004695,Invoice,2019-01-28,2019-01,19.3,,LPG,LPG,4.0,1217.4,182.61,1400.01,,False,True,,
JIM001,00004719,Invoice,2019-01-31,2019-01,19.3,,LPG,LPG,4.0,1043.48,156.52,1200.0,,False,True,,
JIM001,00004732,Invoice,2019-02-02,2019-02,19.3,DELIVERY #68,LPG,LPG,5.0,1521.75,228.26,1750.01,,False,True,,
JIM001,00004733,Invoice,2019-02-02,2019-02,9.2,SHORT #4732,CYL,CYL,1.0,300.0,45.0,345.0,,True,False,,
JIM001,00004741,Invoice,2019-02-06,2019-02,19.3,DELIVERY #69,LPG,LPG,4.0,1217.4,182.61,1400.01,,False,True,,
JIM001,00004754,Invoice,2019-02-08,2019-02,19.3,,LPG,LPG,4.0,1043.48,156.52,1200.0,,False,True,,
JIM001,00004766,Invoice,2019-02-12,2019-02,19.3,,LPG,LPG,5.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00004767,Invoice,2019-02-12,2019-02,19.3,,LPG,LPG,4.0,1043.48,156.52,1200.0,,False,True,,
JIM001,00004768,Invoice,2019-02-12,2019-02,9.2,SHORT #4767,CYL,CYL,4.0,1200.0,180.0,1380.0,,True,False,,
JIM001,00000639,Crd Note,2019-02-14,2019-02,9.2,SHORT #4767,CYL,CYL,-1.0,-300.0,-45.0,-345.0,,True,False,,
JIM001,00000647,Crd Note,2019-02-14,2019-02,19.3,,LPG,LPG,-5.0,-1304.35,-195.65,-1500.0,,False,True,,
JIM001,00004791,Invoice,2019-02-16,2019-02,14.3,,LPG,LPG,2.0,384.44,57.67,442.11,,False,True,,
JIM001,00004794,Invoice,2019-02-16,2019-02,9.2,SHORT 4792-4791,CYL,CYL,7.0,2100.0,315.0,2415.0,,True,False,,
JIM001,00004792,Invoice,2019-02-17,2019-02,14.3,,LPG,LPG,5.0,961.11,144.17,1105.28,,False,True,,
JIM001,00004807,Invoice,2019-02-19,2019-02,19.3,CASH,LPG,LPG,4.0,1043.48,156.52,1200.0,,False,True,,
JIM001,00000656,Crd Note,2019-02-21,2019-02,9.2,SHORT 4792-4791,CYL,CYL,-8.0,-2400.0,-360.0,-2760.0,,True,False,,
JIM001,00004820,Invoice,2019-02-22,2019-02,19.3,,LPG,LPG,2.0,521.74,78.26,600.0,,False,True,,
JIM001,00000661,Crd Note,2019-02-27,2019-02,9.2,SHORT #4767,CYL,CYL,-2.0,-600.0,-90.0,-690.0,,True,False,,
JIM001,00004839,Invoice,2019-02-27,2019-02,19.3,TRANSF,LPG,LPG,4.0,1043.48,156.52,1200.0,,False,True,,
JIM001,00000671,Crd Note,2019-03-01,2019-03,9.2,SHORT ON #4886,CYL,CYL,-1.0,-300.0,-45.0,-345.0,,True,False,,
JIM001,00004850,Invoice,2019-03-01,2019-03,19.3,,LPG,LPG,2.0,521.74,78.26,600.0,,False,True,,
JIM001,00000662,Crd Note,2019-03-04,2019-03,D.3,28/12/18,LPG,LPG,-2.0,-1478.26,-221.74,-1700.0,,False,True,,
JIM001,00000663,Crd Note,2019-03-04,2019-03,19.3,DUPLICATE ERROR,LPG,LPG,-6.0,-1826.1,-273.91,-2100.01,,False,True,,
JIM001,00000664,Crd Note,2019-03-04,2019-03,9.2,BANGKOK WOK,CYL,CYL,-2.0,-600.0,-90.0,-690.0,,True,False,,
JIM001,00000664,Crd Note,2019-03-04,2019-03,19.3,BANGKOK WOK,LPG,LPG,-2.0,-608.7,-91.31,-700.01,,False,True,,
JIM001,00000665,Crd Note,2019-03-04,2019-03,19.3,31/12/18,LPG,LPG,-1.0,-304.35,-45.65,-350.0,,False,True,,
JIM001,00000666,Crd Note,2019-03-04,2019-03,19.3,31/12/18,LPG,LPG,-2.0,-608.7,-91.31,-700.01,,False,True,,
JIM001,00004866,Invoice,2019-03-04,2019-03,19.3,,LPG,LPG,4.0,1043.48,156.52,1200.0,,False,True,,
JIM001,00004886,Invoice,2019-03-08,2019-03,19.3,,LPG,LPG,3.0,847.83,127.17,975.0,,False,True,,
JIM001,00004902,Invoice,2019-03-08,2019-03,9.2,SHORT ON #4886,CYL,CYL,1.0,300.0,45.0,345.0,,True,False,,
JIM001,00004900,Invoice,2019-03-12,2019-03,19.3,,LPG,LPG,4.0,1130.43,169.56,1299.99,,False,True,,
JIM001,00004920,Invoice,2019-03-15,2019-03,19.3,,LPG,LPG,4.0,1130.44,169.57,1300.01,,False,True,,
JIM001,00004942,Invoice,2019-03-20,2019-03,19.3,,LPG,LPG,5.0,1413.04,211.96,1625.0,,False,True,,
JIM001,00004960,Invoice,2019-03-23,2019-03,19.3,TO PAY,LPG,LPG,3.0,847.83,127.17,975.0,,False,True,,
JIM001,00004961,Invoice,2019-03-23,2019-03,9.2,SHORT #4960,CYL,CYL,3.0,900.0,135.0,1035.0,,True,False,,
JIM001,00004973,Invoice,2019-03-27,2019-03,19.3,,LPG,LPG,4.0,1130.44,169.57,1300.01,,False,True,,
JIM001,00005001,Invoice,2019-03-30,2019-03,19.3,,LPG,LPG,2.0,565.22,84.78,650.0,,False,True,,
JIM001,00005013,Invoice,2019-04-02,2019-04,19.3,,LPG,LPG,5.0,1413.05,211.96,1625.01,,False,True,,
JIM001,00005030,Invoice,2019-04-05,2019-04,19.3,,LPG,LPG,4.0,1252.16,187.82,1439.98,,False,True,,
JIM001,00005047,Invoice,2019-04-10,2019-04,19.3,TRANSF,LPG,LPG,4.0,1252.16,187.82,1439.98,,False,True,,
JIM001,00005063,Invoice,2019-04-13,2019-04,19.3,,LPG,LPG,2.0,626.08,93.91,719.99,,False,True,,
JIM001,00005072,Invoice,2019-04-16,2019-04,19.3,,LPG,LPG,5.0,1565.2,234.78,1799.98,,False,True,,
JIM001,00005083,Invoice,2019-04-18,2019-04,19.3,,LPG,LPG,4.0,1252.16,187.82,1439.98,,False,True,,
JIM001,00005092,Invoice,2019-04-18,2019-04,9.2,SHORT #5083,CYL,CYL,4.0,1200.0,180.0,1380.0,,True,False,,
JIM001,00000697,Crd Note,2019-04-24,2019-04,9.2,SHORT #5083,CYL,CYL,-4.0,-1200.0,-180.0,-1380.0,,True,False,,
JIM001,00000704,Crd Note,2019-04-24,2019-04,9.2,SHORT #4960,CYL,CYL,-4.0,-1200.0,-180.0,-1380.0,,True,False,,
JIM001,00005106,Invoice,2019-04-24,2019-04,19.3,,LPG,LPG,4.0,1252.16,187.82,1439.98,,False,True,,
JIM001,00005112,Invoice,2019-04-25,2019-04,19.3,,LPG,LPG,4.0,1252.16,187.82,1439.98,,False,True,,
JIM001,00005130,Invoice,2019-04-30,2019-04,19.3,,LPG,LPG,6.0,1878.24,281.74,2159.98,,False,True,,
JIM001,00005157,Invoice,2019-05-06,2019-05,19.3,,LPG,LPG,3.0,978.27,146.74,1125.01,,False,True,,
JIM001,00005167,Invoice,2019-05-09,2019-05,19.3,,LPG,LPG,5.0,1630.45,244.57,1875.02,,False,True,,
JIM001,00005193,Invoice,2019-05-15,2019-05,19.3,,LPG,LPG,5.0,1704.85,255.73,1960.58,,False,True,,
JIM001,00005206,Invoice,2019-05-17,2019-05,19.3,,LPG,LPG,2.0,652.18,97.83,750.01,,False,True,,
JIM001,00000721,Crd Note,2019-05-22,2019-05,9.2,4 EMPTIES RETURNED,CYL,CYL,-4.0,-1200.0,-180.0,-1380.0,,True,False,,
JIM001,00005231,Invoice,2019-05-22,2019-05,19.3,,LPG,LPG,4.0,1304.36,195.65,1500.01,,False,True,,
JIM001,00005253,Invoice,2019-05-24,2019-05,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005297,Invoice,2019-06-01,2019-06,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005306,Invoice,2019-06-04,2019-06,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005330,Invoice,2019-06-07,2019-06,19.3,MANUAL #80,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005345,Invoice,2019-06-11,2019-06,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005361,Invoice,2019-06-14,2019-06,19.3,,LPG,LPG,3.0,978.26,146.74,1125.0001,,False,True,,
JIM001,00005374,Invoice,2019-06-18,2019-06,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005400,Invoice,2019-06-21,2019-06,19.3,MANUAL #,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005432,Invoice,2019-06-26,2019-06,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005451,Invoice,2019-06-28,2019-06,19.3,,LPG,LPG,3.0,978.26,146.74,1125.0001,,False,True,,
JIM001,00005453,Invoice,2019-06-28,2019-06,9.2,SHORT ON INV 5451.,CYL,CYL,3.0,900.0,135.0,1035.0,,True,False,,
JIM001,00005463,Invoice,2019-07-02,2019-07,19.3,,LPG,LPG,5.0,1630.45,244.57,1875.02,,False,True,,
JIM001,00000766,Crd Note,2019-07-04,2019-07,9.2,,CYL,CYL,-3.0,-900.0,-135.0,-1035.0,,True,False,,
JIM001,00005480,Invoice,2019-07-05,2019-07,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005496,Invoice,2019-07-08,2019-07,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005515,Invoice,2019-07-12,2019-07,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005522,Invoice,2019-07-15,2019-07,14.3,,LPG,LPG,2.0,481.74,72.26,554.0,,False,True,,
JIM001,00000773,Crd Note,2019-07-16,2019-07,9.2,EXTRA ON 5525,CYL,CYL,-4.0,-1200.0,-180.0,-1380.0,,True,False,,
JIM001,00005525,Invoice,2019-07-16,2019-07,19.3,,LPG,LPG,5.0,1630.43,244.56,1874.99,,False,True,,
JIM001,00000789,Crd Note,2019-07-19,2019-07,9.2,EXTRA ON INV 5543,CYL,CYL,-2.0,-600.0,-90.0,-690.0,,True,False,,
JIM001,00005543,Invoice,2019-07-19,2019-07,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005638,Invoice,2019-07-19,2019-07,14.3,,LPG,LPG,2.0,480.0,72.0,552.0,,False,True,,
JIM001,00005561,Invoice,2019-07-23,2019-07,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005582,Invoice,2019-07-26,2019-07,19.3,,LPG,LPG,3.0,978.26,146.74,1125.0001,,False,True,,
JIM001,00005593,Invoice,2019-07-30,2019-07,19.3,MANUAL #18,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005603,Invoice,2019-08-02,2019-08,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005612,Invoice,2019-08-06,2019-08,19.3,,LPG,LPG,5.0,1630.43,244.56,1874.99,,False,True,,
JIM001,00005624,Invoice,2019-08-08,2019-08,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005633,Invoice,2019-08-08,2019-08,9.2,SHORT ON INV 5522,CYL,CYL,2.0,600.0,90.0,690.0,,True,False,,
JIM001,00005636,Invoice,2019-08-08,2019-08,9.2,SHORT ON 5515,CYL,CYL,4.0,1200.0,180.0,1380.0,,True,False,,
JIM001,00005643,Invoice,2019-08-08,2019-08,9.2,SHORT ON INV 5624,CYL,CYL,1.0,300.0,45.0,345.0,,True,False,,
JIM001,00000787,Crd Note,2019-08-14,2019-08,9.2,EXTRA ON 5652,CYL,CYL,-1.0,-300.0,-45.0,-345.0,,True,False,,
JIM001,00005652,Invoice,2019-08-14,2019-08,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005667,Invoice,2019-08-16,2019-08,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005678,Invoice,2019-08-21,2019-08,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005688,Invoice,2019-08-23,2019-08,19.3,,LPG,LPG,3.0,978.26,146.74,1125.0001,,False,True,,
JIM001,00005698,Invoice,2019-08-26,2019-08,19.3,MANUAL JD22B0 #29,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005710,Invoice,2019-08-29,2019-08,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005712,Invoice,2019-08-30,2019-08,19.3,,LPG,LPG,1.0,326.09,48.91,375.0,,False,True,,
JIM001,00000788,Crd Note,2019-09-02,2019-09,14.3,ERROR,LPG,LPG,-2.0,-480.0,-72.0,-552.0,,False,True,,
JIM001,00005716,Invoice,2019-09-02,2019-09,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005742,Invoice,2019-09-05,2019-09,19.3,,LPG,LPG,5.0,1630.43,244.56,1874.99,,False,True,,
JIM001,00005753,Invoice,2019-09-09,2019-09,19.3,,LPG,LPG,5.0,1630.45,244.57,1875.02,,False,True,,
JIM001,00005768,Invoice,2019-09-13,2019-09,19.3,,LPG,LPG,5.0,1630.43,244.56,1874.99,,False,True,,
JIM001,00005779,Invoice,2019-09-17,2019-09,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005797,Invoice,2019-09-20,2019-09,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005807,Invoice,2019-09-25,2019-09,19.3,,LPG,LPG,5.0,1630.43,244.56,1874.99,,False,True,,
JIM001,00005821,Invoice,2019-09-30,2019-09,19.3,,LPG,LPG,5.0,1630.43,244.56,1874.99,,False,True,,
JIM001,00005848,Invoice,2019-10-04,2019-10,19.3,,LPG,LPG,5.0,1630.43,244.56,1874.99,,False,True,,
JIM001,00005864,Invoice,2019-10-11,2019-10,19.3,MANUAL #36,LPG,LPG,5.0,1630.43,244.56,1874.99,,False,True,,
JIM001,00005872,Invoice,2019-10-15,2019-10,19.3,MANUAL #43,LPG,LPG,5.0,1630.43,244.56,1874.99,,False,True,,
JIM001,00005883,Invoice,2019-10-18,2019-10,19.3,MANUAL #58,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005900,Invoice,2019-10-23,2019-10,19.3,MANUAL #72,LPG,LPG,5.0,1630.43,244.56,1874.99,,False,True,,
JIM001,00005907,Invoice,2019-10-26,2019-10,19.3,,LPG,LPG,2.0,652.17,97.83,750.0,,False,True,,
JIM001,00005924,Invoice,2019-10-30,2019-10,19.3,MANUAL #80,LPG,LPG,3.0,978.26,146.74,1125.0001,,False,True,,
JIM001,00005931,Invoice,2019-11-01,2019-11,19.3,MANUAL #87,LPG,LPG,5.0,1630.43,244.56,1874.99,,False,True,,
JIM001,00005945,Invoice,2019-11-07,2019-11,19.3,MANUAL #89,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005949,Invoice,2019-11-08,2019-11,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005961,Invoice,2019-11-12,2019-11,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00005978,Invoice,2019-11-15,2019-11,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00000824,Crd Note,2019-11-20,2019-11,19.3,,LPG,LPG,-5.0,-1630.43,-244.56,-1874.99,,False,True,,
JIM001,00005990,Invoice,2019-11-20,2019-11,19.3,,LPG,LPG,5.0,1630.43,244.56,1874.99,,False,True,,
JIM001,00005991,Invoice,2019-11-20,2019-11,19.3,,LPG,LPG,5.0,1565.2,234.78,1799.98,,False,True,,
JIM001,00006000,Invoice,2019-11-22,2019-11,19.3,,LPG,LPG,2.0,626.08,93.91,719.99,,False,True,,
JIM001,00006007,Invoice,2019-11-26,2019-11,19.3,,LPG,LPG,4.0,1252.16,187.82,1439.98,,False,True,,
JIM001,00006028,Invoice,2019-11-29,2019-11,19.3,,LPG,LPG,3.0,939.12,140.87,1079.99,,False,True,,
JIM001,00006044,Invoice,2019-12-03,2019-12,19.3,,LPG,LPG,5.0,1565.2,234.78,1799.98,,False,True,,
JIM001,00006057,Invoice,2019-12-06,2019-12,19.3,,LPG,LPG,3.0,939.12,140.87,1079.99,,False,True,,
JIM001,00006068,Invoice,2019-12-09,2019-12,19.3,,LPG,LPG,4.0,1252.16,187.82,1439.98,,False,True,,
JIM001,00006086,Invoice,2019-12-13,2019-12,19.3,,LPG,LPG,5.0,1590.0,238.5,1828.5,,False,True,,
JIM001,00006097,Invoice,2019-12-17,2019-12,19.3,,LPG,LPG,5.0,1590.0,238.5,1828.5,,False,True,,
JIM001,00006114,Invoice,2019-12-20,2019-12,19.3,,LPG,LPG,4.0,1272.0,190.8,1462.8,,False,True,,
JIM001,00006126,Invoice,2019-12-23,2019-12,19.3,,LPG,LPG,6.0,1908.0,286.2,2194.2,,False,True,,
JIM001,00006140,Invoice,2019-12-28,2019-12,19.3,MANUAL #10,LPG,LPG,3.0,954.0,143.1,1097.1,,False,True,,
JIM001,00006145,Invoice,2020-01-01,2020-01,19.3,,LPG,LPG,4.0,1272.0,190.8,1462.8,,False,True,,
JIM001,00006151,Invoice,2020-01-03,2020-01,19.3,D/N 6438 EMPTIES,LPG,LPG,4.0,1286.96,193.04,1480.0,,False,True,,
JIM001,00006158,Invoice,2020-01-06,2020-01,19.3,,LPG,LPG,3.0,965.22,144.78,1110.0,,False,True,,
JIM001,00006165,Invoice,2020-01-09,2020-01,19.3,,LPG,LPG,5.0,1630.45,244.57,1875.02,,False,True,,
JIM001,00006201,Invoice,2020-01-09,2020-01,9.2,SHORT ON #6165,CYL,CYL,1.0,300.0,45.0,345.0,,True,False,,
JIM001,00006179,Invoice,2020-01-14,2020-01,19.3,,LPG,LPG,4.0,1304.36,195.65,1500.01,,False,True,,
JIM001,00006191,Invoice,2020-01-17,2020-01,19.3,,LPG,LPG,4.0,1304.36,195.65,1500.01,,False,True,,
JIM001,00006205,Invoice,2020-01-22,2020-01,19.3,,LPG,LPG,5.0,1630.45,244.57,1875.02,,False,True,,
JIM001,00006209,Invoice,2020-01-24,2020-01,19.3,,LPG,LPG,4.0,1304.36,195.65,1500.01,,False,True,,
JIM001,00006230,Invoice,2020-01-29,2020-01,19.3,,LPG,LPG,4.0,1304.36,195.65,1500.01,,False,True,,
JIM001,00006238,Invoice,2020-01-31,2020-01,19.3,,LPG,LPG,4.0,1304.36,195.65,1500.01,,False,True,,
JIM001,00006248,Invoice,2020-02-04,2020-02,19.3,,LPG,LPG,3.0,978.27,146.74,1125.01,,False,True,,
JIM001,00006260,Invoice,2020-02-07,2020-02,19.3,,LPG,LPG,3.0,978.26,146.74,1125.0001,,False,True,,
JIM001,00006277,Invoice,2020-02-11,2020-02,19.3,,LPG,LPG,5.0,1630.45,244.57,1875.02,,False,True,,
JIM001,00006293,Invoice,2020-02-14,2020-02,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00006306,Invoice,2020-02-18,2020-02,19.3,,LPG,LPG,5.0,1630.43,244.56,1874.99,,False,True,,
JIM001,00006330,Invoice,2020-02-21,2020-02,19.3,,LPG,LPG,3.0,978.26,146.74,1125.0001,,False,True,,
JIM001,00006341,Invoice,2020-02-25,2020-02,19.3,,LPG,LPG,4.0,1304.36,195.65,1500.01,,False,True,,
JIM001,00006354,Invoice,2020-02-28,2020-02,19.3,,LPG,LPG,3.0,978.26,146.74,1125.0001,,False,True,,
JIM001,00006367,Invoice,2020-03-04,2020-03,19.3,,LPG,LPG,5.0,1630.45,244.57,1875.02,,False,True,,
JIM001,00006381,Invoice,2020-03-06,2020-03,19.3,TRANSF,LPG,LPG,2.0,652.18,97.83,750.01,,False,True,,
JIM001,00006394,Invoice,2020-03-10,2020-03,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00006401,Invoice,2020-03-13,2020-03,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00006417,Invoice,2020-03-17,2020-03,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00006428,Invoice,2020-03-20,2020-03,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00006446,Invoice,2020-03-24,2020-03,19.3,,LPG,LPG,4.0,1304.35,195.65,1500.0,,False,True,,
JIM001,00000849,Crd Note,2020-04-01,2020-04,9.2,SHORT ON #6165,CYL,CYL,-1.0,-300.0,-45.0,-345.0,,True,False,,
JIM001,00000850,Crd Note,2020-04-01,2020-04,9.2,SHORT ON INV 5451.,CYL,CYL,-1.0,-300.0,-45.0,-345.0,,True,False,,
JIM001,00007903,Invoice,2021-03-05,2021-03,19.4,,LPG,LPG,3.0,989.58,148.44,1138.02,,False,True,,
JIM001,00007925,Invoice,2021-03-09,2021-03,19.4,,LPG,LPG,4.0,1319.44,197.92,1517.36,,False,True,,
JIM001,00007953,Invoice,2021-03-13,2021-03,19.4,,LPG,LPG,4.0,1319.44,197.92,1517.36,,False,True,,
JIM001,00007984,Invoice,2021-03-18,2021-03,19.4,,LPG,LPG,6.0,1979.16,296.87,2276.03,,False,True,,
JIM001,00008026,Invoice,2021-03-24,2021-03,19.4,,LPG,LPG,4.0,1319.44,197.92,1517.36,,False,True,,
JIM001,00008037,Invoice,2021-03-24,2021-03,9.2,,CYL,CYL,4.0,1200.0,180.0,1380.0,,True,False,,
JIM001,00000974,Crd Note,2021-03-25,2021-03,19.7,,CYL,CYL,-4.0,-1200.0,-180.0,-1380.0,,True,False,,
JIM001,00000990,Crd Note,2021-03-26,2021-03,19.7,,CYL,CYL,-3.0,-900.0,-135.0,-1035.0,,True,False,,
JIM001,00000990,Crd Note,2021-03-26,2021-03,19.6,,CYL,CYL,-1.0,-300.0,-45.0,-345.0,,True,False,,
JIM001,00008059,Invoice,2021-03-26,2021-03,19.7,,CYL,CYL,4.0,1200.0,180.0,1380.0,,True,False,,
JIM001,00008059,Invoice,2021-03-26,2021-03,19.4,,LPG,LPG,4.0,1319.44,197.92,1517.36,,False,True,,
JIM001,00008090,Invoice,2021-03-30,2021-03,19.4,,LPG,LPG,8.0,2638.88,395.83,3034.71,,False,True,,
JIM001,00008090,Invoice,2021-03-30,2021-03,19.6,,CYL,CYL,8.0,2400.0,360.0,2760.0,,True,False,,
JIM001,00001018,Crd Note,2021-03-31,2021-03,9.7,,CYL,CYL,-4.0,-1200.0,-180.0,-1380.0,,True,False,,
JIM001,00001043,Crd Note,2021-04-06,2021-04,19.1,,CYL,CYL,-5.0,-1500.0,-225.0,-1725.0,,True,False,,
JIM001,00008128,Invoice,2021-04-06,2021-04,19.4,,LPG,LPG,1.0,329.86,49.48,379.34,,False,True,,
JIM001,00001057,Crd Note,2021-04-07,2021-04,19.1,,CYL,CYL,-4.0,-1200.0,-180.0,-1380.0,,True,False,,
JIM001,00008137,Invoice,2021-04-07,2021-04,19.1,,CYL,CYL,5.0,1500.0,225.0,1725.0,,True,False,,
JIM001,00008137,Invoice,2021-04-07,2021-04,19.4,,LPG,LPG,5.0,1649.3,247.4,1896.7,,False,True,,
JIM001,00008147,Invoice,2021-04-07,2021-04,19.4,,LPG,LPG,4.0,1319.44,197.92,1517.36,,False,True,,
