debtor_code,payment_doc,payment_date,batch_ref,stat_no,amount,source_file,split_count,is_split_payment,notes
JIM001,00013245,2022-03-17,STAT197,1,-14982.58,DRTX2023.TXT,7,True,Consolidated from 7 ERP segments
JIM001,00013583,2022-04-12,STAT198,2,-13949.0,DRTX2023.TXT,8,True,Consolidated from 8 ERP segments
JIM001,00014135,2022-06-01,STAT200,4,-18184.64,DRTX2023.TXT,19,True,Consolidated from 19 ERP segments
JIM001,00015071,2022-07-26,STAT201,5,-17275.67,DRTX2023.TXT,8,True,Consolidated from 8 ERP segments
JIM001,00015473,2022-08-11,STAT202,6,-14488.95,DRTX2023.TXT,7,True,Consolidated from 7 ERP segments
JIM001,00015987,2022-09-10,STAT203,7,-17169.29,DRTX2023.TXT,5,True,Consolidated from 5 ERP segments
JIM001,00016648,2022-10-20,STAT204,8,-15885.27,DRTX2023.TXT,5,True,Consolidated from 5 ERP segments
JIM001,00017073,2022-11-24,STAT205,9,-13838.4,DRTX2023.TXT,4,True,Consolidated from 4 ERP segments
JIM001,00017578,2022-12-19,STAT206,10,-17989.92,DRTX2023.TXT,6,True,Consolidated from 6 ERP segments
JIM001,00017777,2023-01-19,STAT207,11,-10825.92,DRTX2023.TXT,4,True,Consolidated from 4 ERP segments
JIM001,00018185,2023-02-13,STAT208,12,-25184.36,DRTX2023.TXT,6,True,Consolidated from 6 ERP segments
JIM001,00019176,2023-03-22,STAT: 89,1,-11335.68,DRTX2024.TXT,4,True,Consolidated from 4 ERP segments
JIM001,00020357,2023-05-02,STAT: 91,3,-12343.07,DRTX2024.TXT,3,True,Consolidated from 3 ERP segments
JIM001,00021193,2023-05-31,STAT: 91,3,-15409.46,DRTX2024.TXT,43,True,Consolidated from 43 ERP segments
JIM001,00022711,2023-07-21,STAT: 93,5,-15140.69,DRTX2024.TXT,4,True,Consolidated from 4 ERP segments
JIM001,00023280,2023-08-11,STAT: 94,6,-13806.77,DRTX2024.TXT,4,True,Consolidated from 4 ERP segments
JIM001,00023977,2023-09-05,STAT: 95,7,-16964.84,DRTX2024.TXT,5,True,Consolidated from 5 ERP segments
JIM001,00025394,2023-10-24,STAT: 96,8,-13911.54,DRTX2024.TXT,5,True,Consolidated from 5 ERP segments
JIM001,00026601,2023-11-29,STAT: 97,9,-12520.81,DRTX2024.TXT,4,True,Consolidated from 4 ERP segments
JIM001,00027468,2023-12-29,STAT: 98,10,-24801.28,DRTX2024.TXT,10,True,Consolidated from 10 ERP segments
JIM001,00028893,2024-02-20,STAT:100,12,-14208.48,DRTX2024.TXT,4,True,Consolidated from 4 ERP segments
JIM001,00030269,2024-04-24,STAT:102,2,-16151.04,DRTX2025.TXT,4,True,Consolidated from 4 ERP segments
JIM001,00030891,2024-05-27,STAT:103,3,-11105.31,DRTX2025.TXT,4,True,Consolidated from 4 ERP segments
JIM001,00031179,2024-06-10,STAT:104,4,-13862.03,DRTX2025.TXT,5,True,Consolidated from 5 ERP segments
JIM001,00031792,2024-07-09,STAT:105,7,-15395.18,DRTX2025.TXT,5,True,Consolidated from 5 ERP segments
JIM001,00032896,2024-08-23,STAT:106,8,-17634.86,DRTX2025.TXT,6,True,Consolidated from 6 ERP segments
JIM001,00033810,2024-09-30,STAT:107,7,-20232.18,DRTX2025.TXT,6,True,Consolidated from 6 ERP segments
JIM001,00034425,2024-10-28,STAT:108,8,-20443.0,DRTX2025.TXT,8,True,Consolidated from 8 ERP segments
JIM001,00035270,2024-12-04,STAT:110,10,-18441.12,DRTX2025.TXT,7,True,Consolidated from 7 ERP segments
JIM001,00036139,2025-01-17,STAT:111,11,-22336.89,DRTX2025.TXT,8,True,Consolidated from 8 ERP segments
JIM001,00036988,2025-02-21,STAT:112,11,-19550.42,DRTX2025.TXT,9,True,Consolidated from 9 ERP segments
JIM001,00038481,2025-05-05,STAT:115,3,-15816.63,DTRX2603.TXT,6,True,Consolidated from 6 ERP segments
JIM001,00038846,2025-05-22,STAT:115,3,-7337.97,DTRX2603.TXT,2,True,Consolidated from 2 ERP segments
JIM001,00039812,2025-06-12,STAT:116,4,-20557.69,DTRX2603.TXT,6,True,Consolidated from 6 ERP segments
JIM001,00040063,2025-07-14,STAT:117,5,-11795.24,DTRX2603.TXT,23,True,Consolidated from 23 ERP segments
JIM001,00040746,2025-08-22,STAT 117,6,-14579.44,DTRX2603.TXT,20,True,Consolidated from 20 ERP segments
JIM001,00041664,2025-10-14,STAT 119,8,-16601.81,DTRX2603.TXT,19,True,Consolidated from 19 ERP segments
JIM001,00042134,2025-11-06,STAT 120,9,-13327.87,DTRX2603.TXT,6,True,Consolidated from 6 ERP segments
JIM001,00042788,2025-12-29,STAT 121,10,-13161.86,DTRX2603.TXT,6,True,Consolidated from 6 ERP segments
JIM001,00043199,2026-02-05,STAT 123,12,-15578.23,DTRX2603.TXT,7,True,Consolidated from 7 ERP segments
