debtor_code,doc_no,entry_type,tx_date,stock_code,standard_weight_group,qty,amount_incl,financial_effect,custody_effect,deposit_rate,custody_exposure,source_file,notes
JIM001,00001129,Crd Note,2021-04-20,19.1,19kg,-3.0,0.0,0.0,-3.0,690.0,-2070.0,,
JIM001,00008249,Invoice,2021-04-20,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00001157,Crd Note,2021-04-23,19.1,19kg,-2.0,0.0,0.0,-2.0,690.0,-1380.0,,
JIM001,00008276,Invoice,2021-04-23,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00001195,Crd Note,2021-04-29,19.1,19kg,-6.0,0.0,0.0,-6.0,690.0,-4140.0,,
JIM001,00008321,Invoice,2021-04-29,19.1,19kg,5.0,0.0,0.0,5.0,690.0,3450.0,,
JIM001,00001236,Crd Note,2021-05-04,19.1,19kg,-6.0,0.0,0.0,-6.0,690.0,-4140.0,,
JIM001,00008368,Invoice,2021-05-04,19.1,19kg,7.0,0.0,0.0,7.0,690.0,4830.0,,
JIM001,00008399,Invoice,2021-05-07,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00001279,Crd Note,2021-05-08,19.1,19kg,-1.0,0.0,0.0,-1.0,690.0,-690.0,,
JIM001,00008441,Invoice,2021-05-12,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00001316,Crd Note,2021-05-13,19.1,19kg,-3.0,-1035.0,-1035.0,-3.0,690.0,-2070.0,,
JIM001,00001317,Crd Note,2021-05-13,19.1,19kg,-1.0,-345.0,-345.0,-1.0,690.0,-690.0,,
JIM001,00001318,Crd Note,2021-05-13,19.1,19kg,-3.0,0.0,0.0,-3.0,690.0,-2070.0,,
JIM001,00008460,Invoice,2021-05-14,19.1,19kg,2.0,0.0,0.0,2.0,690.0,1380.0,,
JIM001,00001352,Crd Note,2021-05-17,19.1,19kg,-7.0,0.0,0.0,-7.0,690.0,-4830.0,,
JIM001,00008475,Invoice,2021-05-17,19.1,19kg,5.0,0.0,0.0,5.0,690.0,3450.0,,
JIM001,00001382,Crd Note,2021-05-20,19.1,19kg,-2.0,0.0,0.0,-2.0,690.0,-1380.0,,
JIM001,00008510,Invoice,2021-05-20,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00001424,Crd Note,2021-05-24,19.1,19kg,-3.0,0.0,0.0,-3.0,690.0,-2070.0,,
JIM001,00001424,Crd Note,2021-05-24,19.1,19kg,-1.0,0.0,0.0,-1.0,690.0,-690.0,,
JIM001,00008554,Invoice,2021-05-24,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00001478,Crd Note,2021-05-28,19.1,19kg,-5.0,0.0,0.0,-5.0,690.0,-3450.0,,
JIM001,00008607,Invoice,2021-05-28,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00001497,Crd Note,2021-05-31,19.1,19kg,-2.0,0.0,0.0,-2.0,690.0,-1380.0,,
JIM001,00008629,Invoice,2021-05-31,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00001557,Crd Note,2021-06-04,19.1,19kg,-5.0,0.0,0.0,-5.0,690.0,-3450.0,,
JIM001,00008692,Invoice,2021-06-04,19.1,19kg,5.0,0.0,0.0,5.0,690.0,3450.0,,
JIM001,00001588,Crd Note,2021-06-07,19.1,19kg,-3.0,0.0,0.0,-3.0,690.0,-2070.0,,
JIM001,00008730,Invoice,2021-06-07,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00001645,Crd Note,2021-06-10,9.1,9kg,-1.0,0.0,0.0,-1.0,517.5,-517.5,,
JIM001,00001645,Crd Note,2021-06-10,19.1,19kg,-5.0,0.0,0.0,-5.0,690.0,-3450.0,,
JIM001,00008805,Invoice,2021-06-10,9.1,9kg,1.0,0.0,0.0,1.0,517.5,517.5,,
JIM001,00008805,Invoice,2021-06-10,19.1,19kg,5.0,0.0,0.0,5.0,690.0,3450.0,,
JIM001,00008809,Invoice,2021-06-10,9.1,9kg,1.0,0.0,0.0,1.0,517.5,517.5,,
JIM001,00001695,Crd Note,2021-06-15,19.1,19kg,-4.0,0.0,0.0,-4.0,690.0,-2760.0,,
JIM001,00008864,Invoice,2021-06-15,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00001722,Crd Note,2021-06-18,19.1,19kg,-4.0,0.0,0.0,-4.0,690.0,-2760.0,,
JIM001,00008897,Invoice,2021-06-18,19.1,19kg,5.0,0.0,0.0,5.0,690.0,3450.0,,
JIM001,00001767,Crd Note,2021-06-23,19.1,19kg,-5.0,0.0,0.0,-5.0,690.0,-3450.0,,
JIM001,00008953,Invoice,2021-06-23,19.1,19kg,5.0,0.0,0.0,5.0,690.0,3450.0,,
JIM001,00001789,Crd Note,2021-06-24,19.1,19kg,-1.0,0.0,0.0,-1.0,690.0,-690.0,,
JIM001,00008972,Invoice,2021-06-24,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00009069,Invoice,2021-07-01,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00001874,Crd Note,2021-07-02,19.1,19kg,-5.0,0.0,0.0,-5.0,690.0,-3450.0,,
JIM001,00001933,Crd Note,2021-07-06,19.1,19kg,-3.0,0.0,0.0,-3.0,690.0,-2070.0,,
JIM001,00009139,Invoice,2021-07-06,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00001963,Crd Note,2021-07-08,19.1,19kg,-4.0,0.0,0.0,-4.0,690.0,-2760.0,,
JIM001,00009169,Invoice,2021-07-08,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00009306,Invoice,2021-07-19,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00009350,Invoice,2021-07-22,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00009452,Invoice,2021-07-26,19.1,19kg,5.0,0.0,0.0,5.0,690.0,3450.0,,
JIM001,00009517,Invoice,2021-07-30,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00009561,Invoice,2021-08-02,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00002101,Crd Note,2021-08-03,19.1,19kg,-3.0,0.0,0.0,-3.0,690.0,-2070.0,,
JIM001,00002124,Crd Note,2021-08-05,19.1,19kg,-6.0,0.0,0.0,-6.0,690.0,-4140.0,,
JIM001,00009619,Invoice,2021-08-05,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00009692,Invoice,2021-08-11,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00009692,Invoice,2021-08-11,9.1,9kg,1.0,0.0,0.0,1.0,517.5,517.5,,
JIM001,00009756,Invoice,2021-08-13,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00002191,Crd Note,2021-08-14,9.1,9kg,-1.0,0.0,0.0,-1.0,517.5,-517.5,,
JIM001,00002191,Crd Note,2021-08-14,19.1,19kg,-9.0,0.0,0.0,-9.0,690.0,-6210.0,,
JIM001,00009760,Invoice,2021-08-14,14.1,14kg,3.0,0.0,0.0,3.0,575.0,1725.0,,
JIM001,00002205,Crd Note,2021-08-17,19.1,19kg,-2.0,0.0,0.0,-2.0,690.0,-1380.0,,
JIM001,00002205,Crd Note,2021-08-17,14.1,14kg,-2.0,0.0,0.0,-2.0,575.0,-1150.0,,
JIM001,00009789,Invoice,2021-08-17,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00009841,Invoice,2021-08-19,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00002239,Crd Note,2021-08-20,19.1,19kg,-2.0,0.0,0.0,-2.0,690.0,-1380.0,,
JIM001,00002239,Crd Note,2021-08-20,14.1,14kg,-2.0,0.0,0.0,-2.0,575.0,-1150.0,,
JIM001,00002263,Crd Note,2021-08-23,14.1,14kg,-2.0,0.0,0.0,-2.0,575.0,-1150.0,,
JIM001,00002263,Crd Note,2021-08-23,19.1,19kg,-2.0,0.0,0.0,-2.0,690.0,-1380.0,,
JIM001,00009891,Invoice,2021-08-23,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00002280,Crd Note,2021-08-26,19.1,19kg,-3.0,0.0,0.0,-3.0,690.0,-2070.0,,
JIM001,00002282,Crd Note,2021-08-26,19.1,19kg,-3.0,0.0,0.0,-3.0,690.0,-2070.0,,
JIM001,00002285,Crd Note,2021-08-26,19.1,19kg,-2.0,0.0,0.0,-2.0,690.0,-1380.0,,
JIM001,00009933,Invoice,2021-08-26,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00009935,Invoice,2021-08-26,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00009937,Invoice,2021-08-26,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00002308,Crd Note,2021-08-30,19.1,19kg,-3.0,0.0,0.0,-3.0,690.0,-2070.0,,
JIM001,00002348,Crd Note,2021-09-03,19.1,19kg,-4.0,0.0,0.0,-4.0,690.0,-2760.0,,
JIM001,00010042,Invoice,2021-09-03,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00010103,Invoice,2021-09-07,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00002389,Crd Note,2021-09-08,19.1,19kg,-3.0,0.0,0.0,-3.0,690.0,-2070.0,,
JIM001,00010149,Invoice,2021-09-10,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00002409,Crd Note,2021-09-11,19.1,19kg,-3.0,0.0,0.0,-3.0,690.0,-2070.0,,
JIM001,00010213,Invoice,2021-09-16,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00002437,Crd Note,2021-09-17,19.1,19kg,-5.0,0.0,0.0,-5.0,690.0,-3450.0,,
JIM001,00002468,Crd Note,2021-09-21,19.1,19kg,-8.0,0.0,0.0,-8.0,690.0,-5520.0,,
JIM001,00002473,Crd Note,2021-09-21,19.1,19kg,-4.0,0.0,0.0,-4.0,690.0,-2760.0,,
JIM001,00010265,Invoice,2021-09-21,19.1,19kg,4.0,0.0,0.0,4.0,690.0,2760.0,,
JIM001,00010268,Invoice,2021-09-21,14.1,14kg,7.0,0.0,0.0,7.0,575.0,4025.0,,
JIM001,00002484,Crd Note,2021-09-22,14.1,14kg,-1.0,0.0,0.0,-1.0,575.0,-575.0,,
JIM001,00010299,Invoice,2021-09-22,19.1,19kg,5.0,0.0,0.0,5.0,690.0,3450.0,,
JIM001,00002528,Crd Note,2021-09-27,19.1,19kg,-3.0,0.0,0.0,-3.0,690.0,-2070.0,,
JIM001,00002528,Crd Note,2021-09-27,14.1,14kg,-3.0,0.0,0.0,-3.0,575.0,-1725.0,,
JIM001,00010363,Invoice,2021-09-27,19.1,19kg,3.0,0.0,0.0,3.0,690.0,2070.0,,
JIM001,00010410,Invoice,2021-09-30,19.1,19kg,5.0,1725.0,1725.0,5.0,690.0,3450.0,,
JIM001,00002551,Crd Note,2021-10-01,14.1,14kg,-2.0,-690.0,-690.0,-2.0,575.0,-1150.0,,
JIM001,00002551,Crd Note,2021-10-01,19.1,19kg,-1.0,-345.0,-345.0,-1.0,690.0,-690.0,,
JIM001,00002614,Crd Note,2021-10-07,19.1,19kg,-7.0,0.0,0.0,-7.0,690.0,-4830.0,,
JIM001,00002615,Crd Note,2021-10-07,14.1,14kg,-1.0,-345.0,-345.0,-1.0,575.0,-575.0,,
JIM001,00010581,Invoice,2021-10-07,14.1,14kg,7.0,0.0,0.0,7.0,575.0,4025.0,,
JIM001,00010617,Invoice,2021-10-09,19.1,19kg,4.0,1380.0,1380.0,4.0,690.0,2760.0,,
JIM001,00002636,Crd Note,2021-10-11,19.1,19kg,-4.0,-1380.0,-1380.0,-4.0,690.0,-2760.0,,
JIM001,00010673,Invoice,2021-10-12,19.1,19kg,5.0,1725.0,1725.0,5.0,690.0,3450.0,,
JIM001,00002664,Crd Note,2021-10-13,19.1,19kg,-1.0,-345.0,-345.0,-1.0,690.0,-690.0,,
JIM001,00002665,Crd Note,2021-10-13,19.1,19kg,-2.0,-690.0,-690.0,-2.0,690.0,-1380.0,,
JIM001,00002665,Crd Note,2021-10-13,14.1,14kg,-3.0,-1035.0,-1035.0,-3.0,575.0,-1725.0,,
JIM001,00002882,Crd Note,2021-10-15,19.1,19kg,-4.0,-1380.0,-1380.0,-4.0,690.0,-2760.0,,
JIM001,00010705,Invoice,2021-10-15,19.1,19kg,4.0,1380.0,1380.0,4.0,690.0,2760.0,,
JIM001,00010839,Invoice,2021-10-22,19.1,19kg,4.0,1380.0,1380.0,4.0,690.0,2760.0,,
JIM001,00011062,Invoice,2021-11-04,19.1,19kg,5.0,1725.0,1725.0,5.0,690.0,3450.0,,
JIM001,00011089,Invoice,2021-11-05,19.1,19kg,3.0,1035.0,1035.0,3.0,690.0,2070.0,,
JIM001,00002828,Crd Note,2021-11-06,19.1,19kg,-3.0,-1035.0,-1035.0,-3.0,690.0,-2070.0,,
JIM001,00002880,Crd Note,2021-11-13,19.1,19kg,-5.0,-1725.0,-1725.0,-5.0,690.0,-3450.0,,
JIM001,00002881,Crd Note,2021-11-13,19.1,19kg,-4.0,-1380.0,-1380.0,-4.0,690.0,-2760.0,,
JIM001,00002908,Crd Note,2021-11-18,19.1,19kg,-5.0,-1725.0,-1725.0,-5.0,690.0,-3450.0,,
JIM001,00011279,Invoice,2021-11-18,19.1,19kg,5.0,1725.0,1725.0,5.0,690.0,3450.0,,
JIM001,00002924,Crd Note,2021-11-22,19.1,19kg,-4.0,-1380.0,-1380.0,-4.0,690.0,-2760.0,,
JIM001,00011333,Invoice,2021-11-22,19.1,19kg,5.0,1725.0,1725.0,5.0,690.0,3450.0,,
JIM001,00002972,Crd Note,2021-11-29,19.1,19kg,-1.0,-345.0,-345.0,-1.0,690.0,-690.0,,
JIM001,00012042,Invoice,2022-01-20,19.1,19kg,5.0,0.0,0.0,5.0,690.0,3450.0,,
JIM001,00012073,Invoice,2022-01-26,19.1,19kg,5.0,0.0,0.0,5.0,690.0,3450.0,,
JIM001,00003156,Crd Note,2022-01-27,19.1,19kg,-5.0,0.0,0.0,-5.0,690.0,-3450.0,,
JIM001,00012088,Invoice,2022-01-28,19.1,19kg,5.0,0.0,0.0,5.0,690.0,3450.0,,
JIM001,00012178,Invoice,2022-02-05,19.1,19kg,6.0,345.0,345.0,6.0,690.0,4140.0,,
JIM001,00003216,Crd Note,2022-02-11,19.1,19kg,-6.0,-345.0,-345.0,-6.0,690.0,-4140.0,,
JIM001,00012316,Invoice,2022-02-17,19.1,19kg,2.0,690.0,690.0,2.0,690.0,1380.0,,
JIM001,00003272,Crd Note,2022-02-26,19.1,19kg,-2.0,-690.0,-690.0,-2.0,690.0,-1380.0,,
JIM001,00013067,Invoice,2022-04-21,19.1,19kg,2.0,690.0,690.0,2.0,690.0,1380.0,,
JIM001,00013161,Invoice,2022-04-28,19.1,19kg,7.0,2415.0,2415.0,7.0,690.0,4830.0,,
JIM001,00003470,Crd Note,2022-04-29,19.1,19kg,-7.0,-2415.0,-2415.0,-7.0,690.0,-4830.0,,
JIM001,00003500,Crd Note,2022-05-04,19.1,19kg,-4.0,-1380.0,-1380.0,-4.0,690.0,-2760.0,,
JIM001,00003501,Crd Note,2022-05-04,19.1,19kg,-2.0,-690.0,-690.0,-2.0,690.0,-1380.0,,
JIM001,00013256,Invoice,2022-05-04,19.1,19kg,4.0,1380.0,1380.0,4.0,690.0,2760.0,,
JIM001,00003534,Crd Note,2022-05-07,19.1,19kg,-3.0,-1035.0,-1035.0,-3.0,690.0,-2070.0,,
JIM001,00013333,Invoice,2022-05-07,19.1,19kg,3.0,1035.0,1035.0,3.0,690.0,2070.0,,
JIM001,00013360,Invoice,2022-05-09,19.1,19kg,3.0,1035.0,1035.0,3.0,690.0,2070.0,,
JIM001,00003566,Crd Note,2022-05-12,19.1,19kg,-4.0,-1380.0,-1380.0,-4.0,690.0,-2760.0,,
JIM001,00003578,Crd Note,2022-05-12,19.1,19kg,-4.0,-1380.0,-1380.0,-4.0,690.0,-2760.0,,
JIM001,00013453,Invoice,2022-05-12,19.1,19kg,4.0,1380.0,1380.0,4.0,690.0,2760.0,,
JIM001,00003602,Crd Note,2022-05-19,19.1,19kg,-3.0,-1794.0,-1794.0,-3.0,690.0,-2070.0,,
JIM001,00013571,Invoice,2022-05-19,19.1,19kg,4.0,2392.0,2392.0,4.0,690.0,2760.0,,
JIM001,00003617,Crd Note,2022-05-23,19.1,19kg,-2.0,-1196.0,-1196.0,-2.0,690.0,-1380.0,,
JIM001,00003641,Crd Note,2022-05-31,19.1,19kg,-5.0,-2990.0,-2990.0,-5.0,690.0,-3450.0,,
JIM001,00013745,Invoice,2022-05-31,19.1,19kg,5.0,2990.0,2990.0,5.0,690.0,3450.0,,
JIM001,00003653,Crd Note,2022-06-03,19.1,19kg,-1.0,-598.0,-598.0,-1.0,690.0,-690.0,,
JIM001,00013823,Invoice,2022-06-03,19.1,19kg,4.0,2392.0,2392.0,4.0,690.0,2760.0,,
JIM001,00003790,Crd Note,2022-07-22,19.1,19kg,-6.0,-3588.0,-3588.0,-6.0,690.0,-4140.0,,
JIM001,00014663,Invoice,2022-07-22,19.1,19kg,6.0,3588.0,3588.0,6.0,690.0,4140.0,,
JIM001,00003791,Crd Note,2022-08-04,19.1,19kg,-1.0,-598.0,-598.0,-1.0,690.0,-690.0,,
JIM001,00003817,Crd Note,2022-08-10,19.1,19kg,-2.0,-1196.0,-1196.0,-2.0,690.0,-1380.0,,
JIM001,00015004,Invoice,2022-08-10,19.1,19kg,3.0,1794.0,1794.0,3.0,690.0,2070.0,,
JIM001,00003906,Crd Note,2022-08-19,19.1,19kg,-8.0,-4784.0,-4784.0,-8.0,690.0,-5520.0,,
JIM001,00015192,Invoice,2022-08-19,19.1,19kg,8.0,4784.0,4784.0,8.0,690.0,5520.0,,
JIM001,00003963,Crd Note,2022-08-27,9.1,9kg,-6.0,-3588.0,-3588.0,-6.0,517.5,-3105.0,,
JIM001,00003964,Crd Note,2022-08-27,19.1,19kg,-8.0,-4784.0,-4784.0,-8.0,690.0,-5520.0,,
JIM001,00015345,Invoice,2022-08-27,9.1,9kg,6.0,3588.0,3588.0,6.0,517.5,3105.0,,
JIM001,00015346,Invoice,2022-08-27,19.1,19kg,6.0,3588.0,3588.0,6.0,690.0,4140.0,,
JIM001,00003966,Crd Note,2022-08-29,19.1,19kg,-3.0,-1794.0,-1794.0,-3.0,690.0,-2070.0,,
JIM001,00003967,Crd Note,2022-08-29,19.1,19kg,-5.0,-2990.0,-2990.0,-5.0,690.0,-3450.0,,
JIM001,00015360,Invoice,2022-08-29,19.1,19kg,8.0,4784.0,4784.0,8.0,690.0,5520.0,,
JIM001,00003999,Crd Note,2022-09-01,19.1,19kg,-5.0,-2990.0,-2990.0,-5.0,690.0,-3450.0,,
JIM001,00015431,Invoice,2022-09-01,S.1,S.1,2.0,1196.0,1196.0,2.0,1150.0,2300.0,,
JIM001,00015491,Invoice,2022-09-05,S.1,S.1,1.0,598.0,598.0,1.0,1150.0,1150.0,,
JIM001,00004034,Crd Note,2022-09-10,19.1,19kg,-1.0,-598.0,-598.0,-1.0,690.0,-690.0,,
JIM001,00004035,Crd Note,2022-09-10,S.1,S.1,-2.0,-1196.0,-1196.0,-2.0,1150.0,-2300.0,,
JIM001,00004035,Crd Note,2022-09-10,19.1,19kg,-2.0,-1196.0,-1196.0,-2.0,690.0,-1380.0,,
JIM001,00015560,Invoice,2022-09-10,S.1,S.1,1.0,598.0,598.0,1.0,1150.0,1150.0,,
JIM001,00015560,Invoice,2022-09-10,D.1,D.1,2.0,1196.0,1196.0,2.0,1150.0,2300.0,,
JIM001,00004068,Crd Note,2022-09-15,S.1,S.1,-2.0,-1196.0,-1196.0,-2.0,1150.0,-2300.0,,
JIM001,00004068,Crd Note,2022-09-15,19.1,19kg,-1.0,-598.0,-598.0,-1.0,690.0,-690.0,,
JIM001,00015626,Invoice,2022-09-15,D.1,D.1,3.0,1794.0,1794.0,3.0,1150.0,3450.0,,
JIM001,00004112,Crd Note,2022-09-23,D.1,D.1,-2.0,-1196.0,-1196.0,-2.0,1150.0,-2300.0,,
JIM001,00015801,Invoice,2022-09-23,D.1,D.1,3.0,1794.0,1794.0,3.0,1150.0,3450.0,,
JIM001,00016128,Invoice,2022-10-20,S.1,S.1,2.0,1196.0,1196.0,2.0,1150.0,2300.0,,
JIM001,00004209,Crd Note,2022-10-21,S.1,S.1,-1.0,-598.0,-598.0,-1.0,1150.0,-1150.0,,
JIM001,00004210,Crd Note,2022-10-21,S.1,S.1,-2.0,-1196.0,-1196.0,-2.0,1150.0,-2300.0,,
JIM001,00004225,Crd Note,2022-10-27,S.1,S.1,-2.0,-1196.0,-1196.0,-2.0,1150.0,-2300.0,,
JIM001,00016200,Invoice,2022-10-27,S.1,S.1,3.0,1794.0,1794.0,3.0,1150.0,3450.0,,
JIM001,00004255,Crd Note,2022-11-03,S.1,S.1,-1.0,-598.0,-598.0,-1.0,1150.0,-1150.0,,
JIM001,00004256,Crd Note,2022-11-03,S.1,S.1,-2.0,-1196.0,-1196.0,-2.0,1150.0,-2300.0,,
JIM001,00016316,Invoice,2022-11-03,S.1,S.1,2.0,1196.0,1196.0,2.0,1150.0,2300.0,,
JIM001,00016400,Invoice,2022-11-10,D.1,D.1,2.0,1196.0,1196.0,2.0,1150.0,2300.0,,
JIM001,00004276,Crd Note,2022-11-11,S.1,S.1,-2.0,-1196.0,-1196.0,-2.0,1150.0,-2300.0,,
JIM001,00016419,Invoice,2022-11-11,19.1,19kg,2.0,1196.0,1196.0,2.0,690.0,1380.0,,
JIM001,00016420,Invoice,2022-11-11,19.1,19kg,1.0,598.0,598.0,1.0,690.0,690.0,,
JIM001,00016421,Invoice,2022-11-11,19.1,19kg,1.0,598.0,598.0,1.0,690.0,690.0,,
