lane,so,our_docs,our_date,our_charge,our_credit,their_docs,their_date,their_charge,their_credit,charge_variance,credit_variance,match_tier,fuzzy_candidates,ratified_so,decision,note
DOCUMENT,2026-05 / 006,3560 6641,2026-05-05,212671.73,133975,SC26ZA01004587 SI26ZA01007119 SI26ZA01007355,2026-05-05,276836.33,133975,-64164.6,0,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-05 / 020,3562 6643,2026-05-06,60061.17,37950,SC26ZA01004663,2026-05-06,,37950,60061.17,0,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-05 / 038,3563 6646,2026-05-07,130311.34,75900,SC26ZA01004694 SI26ZA01007356,2026-05-07,139886.84,75900,-9575.5,0,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-05 / 059,3566 6651,2026-05-12,147150.78,85560,SC26ZA01004882 SI26ZA01007669 SI26ZA01007982,2026-05-12,178446.44,85560,-31295.66,0,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-05 / 087,3573 6658,2026-05-15,31295.64,16215,SC26ZA01005161,2026-05-15,,16215,31295.64,0,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-05 / 086,3576 6664,2026-05-16,258413.48,140587.5,SC26ZA01005163 SI26ZA01007999,2026-05-16,258413.46,140587.5,0.02,0,SO_EXACT,,,,
DOCUMENT,2026-05 / 111,3580 6673,2026-05-20,240329.38,136907.5,SC26ZA01005304 SI26ZA01008264,2026-05-20,240329.38,136907.5,0,0,SO_EXACT,,,,
DOCUMENT,2026-05 / 139,3587 3588 6687 6688,2026-05-25,273680.66,148695,SC26ZA01005469 SI26ZA01008511 SC26ZA01005470 SI26ZA01008510,2026-05-25,273680.74,148695,-0.08,0,SO_EXACT,,,,
DOCUMENT,2026-05 / 164,3594 3595 6695 6696,2026-05-27,358949.66,207862.5,SC26ZA01005597 SI26ZA01008692 SC26ZA01005596 SI26ZA01008691,2026-05-27,358950.35,207862.5,-0.69,0,SO_EXACT,,,,
DOCUMENT,2026-05 / 185,3597 6701,2026-05-28,109094.11,59455,SC26ZA01005659 SI26ZA01008773,2026-05-28,109094.12,59455,-0.01,0,SO_EXACT,,,,
DOCUMENT,2026-06 / 002,3600 6705,2026-06-01,177454.25,101487.5,SC26ZA01005836 SI26ZA01009114,2026-06-01,177454.25,101487.5,0,0,SO_EXACT,,,,
DOCUMENT,2026-06 / 011,3602 6709,2026-06-03,109782.73,66960.52,SC26ZA01005913 SI26ZA01009115,2026-06-03,109542.89,66953.38,239.84,7.14,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-06 / 024,3603 6710,2026-06-06,151776.11,82800,SC26ZA01005977 SI26ZA01009260,2026-06-04,151776.11,82800,0,0,SO_EXACT,,,,
DOCUMENT,2026-06 / 058,3604 6711,2026-06-09,210769.63,121325,SC26ZA01006219 SI26ZA01009584,2026-06-09,210769.63,121325,0,0,SO_EXACT,,,,
DOCUMENT,2026-06 / 081,3607 6715,2026-06-10,210769.63,116897.5,SC26ZA01006267 SI26ZA01009705,2026-06-10,210769.63,116897.5,0,0,SO_EXACT,,,,
DOCUMENT,2026-06 / 103,3608 6720,2026-06-11,183166.5,120635,SC26ZA01006333 SI26ZA01009748,2026-06-11,183166.5,120635,0,0,SO_EXACT,,,,
DOCUMENT,2026-06 / 111,3609 6722,2026-06-12,210769.63,101717.5,SC26ZA01006408 SI26ZA01009845,2026-06-12,210769.63,101717.5,0,0,SO_EXACT,,,,
DOCUMENT,2026-06 / 131,3617 6729,2026-06-15,166353.29,94012.5,SC26ZA01006468 SI26ZA01009903,2026-06-15,166353.3,94012.5,-0.01,0,SO_EXACT,,,,
DOCUMENT,2026-06 / 141,3619 6730 3625 6737,2026-06-17,163723.54,87285,SC26ZA01006531 SI26ZA01010255 SI26ZA01010087,2026-06-17,204653.93,75210,-40930.39,12075,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-06 / 156,3622 6733,2026-06-19,145698.96,79695,SC26ZA01006659 SI26ZA01010254,2026-06-19,145698.96,114195,0,-34500,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-06 / 167,3624 6735,2026-06-19,127321.26,58132.5,SC26ZA01006684 SI26ZA01010328,2026-06-19,127321.26,58132.5,0,0,SO_EXACT,,,,
DOCUMENT,2026-06 / 186,3629 6742,2026-06-23,126125.25,69000,SC26ZA01006827 SI26ZA01010472,2026-06-23,127321.26,69000,-1196.01,0,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-06 / 199,3630 6744,2026-06-25,38492.58,25875,SC26ZA01006928 SI26ZA01010666,2026-06-25,38492.58,25875,0,0,SO_EXACT,,,,
DOCUMENT,2026-06 / 222,3631 3632 6745,2026-06-29,25533.75,26703.38,SC26ZA01007114 SC26ZA01007118 SI26ZA01010948,2026-06-29,25533.75,26703.38,0,0,SO_EXACT,,,,
DOCUMENT,2026-07 / 002,3633 6747,2026-07-01,209688.74,117300,SC26ZA01007273 SI26ZA01011253,2026-07-01,210161.67,117300,-472.93,0,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-07 / 022,3634 6748,2026-07-02,95343.18,54337.5,SC26ZA01007287 SI26ZA01011254,2026-07-02,95343.18,54337.5,0,0,SO_EXACT,,,,
DOCUMENT,2026-07 / 031,3635 6749,2026-07-03,152829.03,86077.5,SC26ZA01007310 SI26ZA01011255,2026-07-03,152829.03,86077.5,0,0,SO_EXACT,,,,
DOCUMENT,2026-07 / 048,3636 6751 3637 6753,2026-07-04,209169.7,97692.5,SC26ZA01007366 SI26ZA01011256 SI26ZA01011257,2026-07-04,209169.6,86825,0.1,10867.5,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-07 / 084,3639 6756,2026-07-08,198972.81,114425,SC26ZA01007626 SI26ZA01011567,2026-07-08,198972.8,114425,0.01,0,SO_EXACT,,,,
DOCUMENT,2026-07 / 093,3642 6758,2026-07-09,153922.29,77107.5,SC26ZA01007709 SI26ZA01011714,2026-07-09,153922.29,77107.5,0,0,SO_EXACT,,,,
DOCUMENT,2026-07 / 110,3643 6761,2026-07-10,153922.29,86767.5,SC26ZA01007792 SI26ZA01011822,2026-07-10,153922.29,86767.5,0,0,SO_EXACT,,,,
DOCUMENT,2026-07 / 118,3644 6762,2026-07-13,172670.52,95450,SC26ZA01007840 SI26ZA01011930,2026-07-13,172670.33,95450,0.19,0,SO_EXACT,,,,
DOCUMENT,2026-07 / 147,3645 6763,2026-07-16,165083.73,96600,SC26ZA01008010 SI26ZA01012113,2026-07-16,165083.72,97635,0.01,-1035,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-07 / 173,3647 6766,2026-07-20,190686.38,103845,SC26ZA01008162 SI26ZA01012386,2026-07-20,190686.38,103845,0,0,SO_EXACT,,,,
DOCUMENT,2026-07 / 208,3651 6773,2026-07-23,175900.92,102062.5,SC26ZA01008336 SI26ZA01012644,2026-07-23,175900.92,102062.5,0,0,SO_EXACT,,,,
DOCUMENT,2026-07 / 220,3652 6774,2026-07-24,153222.47,81075,SC26ZA01008425 SI26ZA01012779,2026-07-24,153222.46,81075,0.01,0,SO_EXACT,,,,
DOCUMENT,2026-07 / 129,3653 6776,2026-07-28,216289.03,120750,SC26ZA01008520 SI26ZA01013020,2026-07-28,216289.02,120750,0.01,0,SO_EXACT,,,,
DOCUMENT,2026-07 / 270,3657 6781,2026-07-30,89215.85,50887.5,SC26ZA01008672 SI26ZA01013188,2026-07-30,89215.84,50887.5,0.01,0,SO_EXACT,,,,
DOCUMENT,2026-07 / 291,3659 6785 3658 6783,2026-07-30,39540.84,27117.43,SC26ZA01008721 SI26ZA01013290,2026-07-31,38298.42,25875,1242.42,1242.43,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-08 / 003,3664 6789,2026-08-03,207630.92,117587.5,SC26ZA01008940 SI26ZA01013659,2026-08-03,207630.91,117587.5,0.01,0,SO_EXACT,,,,
DOCUMENT,2026-08 / 011,3668 6795,2026-08-06,178431.68,101775,SC26ZA01009122 SI26ZA01013660,2026-08-06,167983.74,101775,10447.94,0,SO_AMOUNT_VARIANCE,,,,
DOCUMENT,2026-08 / 064,3669 6797,2026-08-07,115107.59,79350,SC26ZA01009206 SI26ZA01013838,2026-08-07,115107.59,79350,0,0,SO_EXACT,,,,
DOCUMENT,2026-08 / 074,3674 6806,2026-08-11,204812.4,149385,SC26ZA01009278 SI26ZA01013954,2026-08-11,204812.4,149385,0,0,SO_EXACT,,,,
DOCUMENT,2026-08 / 102,3677 6809,2026-08-13,156458.86,94875,SC26ZA01009416 SI26ZA01014201,2026-08-13,156458.87,94875,-0.01,0,SO_EXACT,,,,
DOCUMENT,2026-08 / 091,3678 6811,2026-08-14,144933.99,87975,SC26ZA01009534 SI26ZA01014304,2026-08-14,144933.99,87975,0,0,SO_EXACT,,,,
DOCUMENT,2026-08 / 128,6821 3685,2026-08-17,156458.86,94875,SC26ZA01009583 SI26ZA01014351,2026-08-17,156458.87,94875,-0.01,0,SO_EXACT,,,,
DOCUMENT,2026-08 / 049 ↔ 2026-08 / 055,3670 6798,2026-08-07,97416.21,34845,SC26ZA01009207 SI26ZA01013837,2026-08-07,97416.2,34845,0.01,0,RATIFIED_LINK,,,,
DOCUMENT,2026-05 / 125 ↔ 2026-05 / 176,3596 6698,2026-05-28,92239.62,46575,SC26ZA01005660 SI26ZA01008772,2026-05-28,92239.61,46575,0.01,0,RATIFIED_LINK,,,,
DOCUMENT,2026-04 / 018 ↔ 2026-04 / 020,3542 6638,2026-04-02,219523.28,132077.5,SC26ZA01003222 SI26ZA01005501,2026-04-02,219523.28,132077.5,0,0,RATIFIED_LINK,,,,
DOCUMENT,2026-06 / 157,3623 6734,2026-06-19,40930.92,22425,,,,,40930.92,22425,ONLY_OURS,,,,
DOCUMENT,2026-08 / 134,6822 3686,2026-08-18,156458.86,79752.5,,,,,156458.86,79752.5,AFTER_LEDGER_ASAT,,,,
DOCUMENT,2026-08 / 174,6827 3690,2026-08-21,179508.61,125005,,,,,179508.61,125005,AFTER_LEDGER_ASAT,,,,
DOCUMENT,2026-08 / 184,6831 3692,2026-08-25,167983.74,101775,,,,,167983.74,101775,AFTER_LEDGER_ASAT,,,,
DOCUMENT,2026-01 / 005,,,,,SI26ZA01000587,2026-01-02,196901.31,,-196901.31,0,ONLY_THEIRS,,,,
DOCUMENT,2026-07 / 054,,,,,SC26ZA01007492,2026-07-06,,10867.5,0,-10867.5,ONLY_THEIRS,,,,
PAYMENT,2026-01 / 067,7253,2026-02-13,,93935.88,APP2602ZA101000434,2026-02-13,,93935.88,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-01 / 083,7257,2026-02-13,,54348.61,APP2602ZA101000433,2026-02-13,,54348.61,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-02 / 091,7296,2026-02-16,,20378.17,APP2602ZA101000508,2026-02-16,,20378.17,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-04 / 020,7339,2026-04-01,,51614,APP2604ZA101000023,2026-04-01,,51614,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-04 / 045,7342,2026-04-08,,79409.72,APP2604ZA101000175,2026-04-08,,79409.72,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-04 / 048,7343,2026-04-09,,45886.45,APP2604ZA101000283,2026-04-09,,45886.45,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-04 / 065,7345,2026-04-13,,56585.37,APP2604ZA101000382,2026-04-13,,56585.37,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-04 / 092,7347,2026-04-17,,90821.9,APP2604ZA101000586,2026-04-17,,90821.9,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-04 / 126,7351,2026-04-23,,80598.49,APP2604ZA101000802,2026-04-23,,80598.49,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-04 / 150,7354,2026-04-28,,69186.31,APP2604ZA101000915,2026-04-28,,69186.31,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-04 / 163,7355,2026-04-29,,57060.87,APP2604ZA101000985,2026-04-29,,57060.87,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-05 / 006,7359,2026-05-04,,100807.56,APP2605ZA101000068,2026-05-04,,100807.56,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-05 / 031,C-COUNT,2026-05-06,,54420,APP2605ZA101000137,2026-05-06,,54420,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-05 / 059,7365,2026-05-11,,76671.44,APP2605ZA101000296,2026-05-11,,76671.44,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-05 / 086,7366,2026-05-15,,117825.98,APP2605ZA101000595,2026-05-15,,117825.98,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-05 / 111,7370,2026-05-19,,103421.88,APP2605ZA101000704,2026-05-19,,103421.88,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-05 / 139,7375,2026-05-21,,26415.73,APP2605ZA101000818,2026-05-21,,26415.73,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-05 / 141,7374,2026-05-21,,98570,APP2605ZA101000820,2026-05-21,,98570,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-05 / 172,7379,2026-05-26,,150000,APP2605ZA101000998,2026-05-26,,150000,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-05 / 164,7382,2026-05-27,,45664.62,APP2605ZA101001020,2026-05-27,,45664.62,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-05 / 185,C-COUNT,2026-05-28,,22600,APP2605ZA101001078,2026-05-28,,22600,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-06 / 002,C-COUNT,2026-05-29,,76000,APP2605ZA101001233,2026-05-29,,76000,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-06 / 011,7387,2026-06-02,,45400,APP2606ZA101000094,2026-06-02,,45400,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-06 / 024,7388,2026-06-09,,68976.11,APP2606ZA101000432,2026-06-09,,68976.11,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-06 / 058,7390,2026-06-08,,89486.8,APP2606ZA101000346,2026-06-08,,89486.8,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-06 / 081,7391,2026-06-09,,89444.63,APP2606ZA101000429,2026-06-09,,89444.63,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-06 / 103,7393,2026-06-10,,78229,APP2606ZA101000479,2026-06-10,,78229,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-06 / 111,7394,2026-06-11,,89500,APP2606ZA101000579,2026-06-11,,89500,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-06 / 131,7396,2026-06-15,,72345,APP2606ZA101000697,2026-06-15,,72345,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-06 / 156,7400,2026-06-18,,19903.96,APP2606ZA101000847,2026-06-18,,19903.96,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-06 / 156,7399,2026-06-18,,46100,APP2606ZA101000883,2026-06-18,,46100,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-06 / 167,7401,2026-06-19,,58321.26,ARP2606ZA101000034,2026-06-19,,58321.26,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-06 / 141,7398,2026-06-15,,92528.93,APP2606ZA101000694,2026-06-15,,92528.93,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-06 / 199,7404,2026-06-23,,57130,ARP2606ZA101000201,2026-06-24,,57130,,0,AMOUNT_DATE_NEAR,,,,
PAYMENT,2026-06 / 222,7406,2026-06-29,,13458.75,ARP2606ZA101000366,2026-06-29,,13458.75,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 002,7407,2026-06-29,,49000,ARP2606ZA101000363,2026-06-29,,49000,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 002,7408,2026-06-29,,43338.74,ARP2606ZA101000367,2026-06-29,,43338.74,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 022,7409,2026-07-01,,41005.68,ARP2607ZA101000040,2026-07-01,,41006.68,,1,AMOUNT_DATE_NEAR,,,,
PAYMENT,2026-07 / 031,7412,2026-07-02,,32129.03,ARP2607ZA101000079,2026-07-02,,32129.03,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 031,7411,2026-07-02,,31000,ARP2607ZA101000089,2026-07-02,,31000,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 084,7417,2026-07-07,,84547.81,ARP2607ZA101000279,2026-07-07,,84547.81,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 084,C-COUNT,2026-07-08,,53270,ARP2607ZA101000324,2026-07-08,,53270,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 093,7418,2026-07-08,,12677.29,ARP2607ZA101000317,2026-07-08,,12677.29,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 110,7421,2026-07-09,,65947.29,ARP2607ZA101000378,2026-07-09,,65947.29,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 118,7423,2026-07-10,,77220.34,ARP2607ZA101000420,2026-07-10,,77220.34,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 147,7426,2026-07-15,,68483.73,ARP2607ZA101000611,2026-07-15,,68483.73,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 173,7429,2026-07-17,,82020,ARP2607ZA101000725,2026-07-17,,82020,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 208,7435,2026-07-22,,73840,ARP2607ZA101000937,2026-07-22,,73840,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 220,7437,2026-07-23,,72147.47,ARP2607ZA101000972,2026-07-23,,72147.47,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 129,7438,2026-07-27,,95540,ARP2607ZA101001093,2026-07-27,,95540,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 270,7441,2026-07-29,,38330,ARP2607ZA101001211,2026-07-29,,38330,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-07 / 291,STAT 128,2026-07-30,,12423.42,ARP2607ZA101001262,2026-07-30,,12423.42,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-08 / 003,7443,2026-07-31,,39531.92,ARP2607ZA101001353,2026-07-31,,39531.92,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-08 / 003,7442,2026-07-31,,50511.5,ARP2607ZA101001356,2026-07-31,,50511.5,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-08 / 011,7445,2026-08-04,,24740.16,ARP2608ZA101000098,2026-08-04,,24740.16,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-08 / 011,7446,2026-08-03,,41860,ARP2608ZA101000102,2026-08-04,,41860,,0,AMOUNT_DATE_NEAR,,,,
PAYMENT,2026-08 / 055,7449,2026-08-05,,33591.21,ARP2608ZA101000128,2026-08-05,,33591.21,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-08 / 064,7450,2026-08-06,,63002.5,ARP2608ZA101000183,2026-08-06,,63002.5,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-08 / 074,7451,2026-08-07,,77162.4,ARP2608ZA101000226,2026-08-07,,77162.4,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-08 / 102,7455,2026-08-12,,61583.86,ARP2608ZA101000352,2026-08-12,,61583.86,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-08 / 091,7454,2026-08-11,,56958.99,ARP2608ZA101000296,2026-08-11,,56958.99,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,2026-08 / 128,7458,2026-08-13,,61590,ARP2608ZA101000424,2026-08-13,,61590,,0,AMOUNT_DATE_EXACT,,,,
PAYMENT,,7394,2026-06-09,,89444.63,,,,,,,CLOSED_INTERNAL_REVERSAL,,,INTERNAL_REVERSAL,"Duplicate capture of payment 7391 and its same-day reversal (+/-89444.63 on 09 Jun, both referenced ORYX XFER:7391). Doc 7391 already matched their APP2606ZA101000429. Nets to zero, nothing owed."
PAYMENT,,7394,2026-06-09,,-89444.63,,,,,,,CLOSED_INTERNAL_REVERSAL,,,INTERNAL_REVERSAL,"Duplicate capture of payment 7391 and its same-day reversal (+/-89444.63 on 09 Jun, both referenced ORYX XFER:7391). Doc 7391 already matched their APP2606ZA101000429. Nets to zero, nothing owed."
PAYMENT,,7462,2026-08-20,,70840,,,,,,,AFTER_LEDGER_ASAT,,,,Paid after their ledger cut-off 2026-08-17
PAYMENT,,7463,2026-08-21,,66208.74,,,,,,,AFTER_LEDGER_ASAT,,,,Paid after their ledger cut-off 2026-08-17
PAYMENT,,7360,2026-05-05,,54411.34,,,,,,,UNMATCHED_OURS,"APP2605ZA101000137@2026-05-06 Δ8.66 (1d) [already matched] | APP2604ZA101000985@2026-04-29 Δ2,649.53 (6d) [already matched] | APP2604ZA101000915@2026-04-28 Δ14,774.97 (7d) [already matched]",,,
PAYMENT,,7405,2026-06-24,,12617.58,,,,,,,UNMATCHED_OURS,"ARP2607ZA101000317@2026-07-08 Δ59.71 (14d) [already matched] | ARP2606ZA101000366@2026-06-29 Δ841.17 (5d) [already matched] | APP2606ZA101000847@2026-06-18 Δ7,286.38 (6d) [already matched]",,,
PAYMENT,,7413,2026-07-03,,92157.11,,,,,,,UNMATCHED_OURS,"ARP2607ZA101000279@2026-07-07 Δ7,609.30 (4d) [already matched] | ARP2607ZA101000725@2026-07-17 Δ10,137.11 (14d) [already matched] | ARP2607ZA101000420@2026-07-10 Δ14,936.77 (7d) [already matched]",,,
PAYMENT,,7461,2026-08-17,,61583.86,,,,,,,UNMATCHED_OURS,"ARP2608ZA101000352@2026-08-12 Δ0.00 (5d) [already matched] | ARP2608ZA101000424@2026-08-13 Δ6.14 (4d) [already matched] | ARP2608ZA101000183@2026-08-06 Δ1,418.64 (11d) [already matched]",,,
