allocation_id,allocation_group_id,payment_doc,payment_date,payment_amount,stat,slice_amount,target_doc,target_date,target_dn,lpg_open_before,allocated_amount,variance,allocation_type,confidence,review_required
AL-0017,AG-000005,40266,2025-07-23,12738.7,"TRANSF | STAT 116",3003.97,43579,2025-06-03,"DN#12293",4372.57,3003.97,1368.6,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0018,AG-000006,40745,2025-08-21,13009.3,"TRANSF | STAT 117",4472.12,45758,2025-08-19,"DN#20521",4472.12,4472.12,0,LIFO_FULL,PATTERN_LIFO,false
AL-0019,AG-000006,40745,2025-08-21,13009.3,"TRANSF | STAT 117",3274.6,45635,2025-08-14,"DN#20316",3274.6,3274.6,0,LIFO_FULL,PATTERN_LIFO,false
AL-0020,AG-000006,40745,2025-08-21,13009.3,"TRANSF | STAT 117",4825.72,45372,2025-08-04,"DN#20061",4825.72,4825.72,0,LIFO_FULL,PATTERN_LIFO,false
AL-0021,AG-000006,40745,2025-08-21,13009.3,"TRANSF | STAT 117",436.86,45088,2025-07-24,"D/N 12723",3274.6,436.86,2837.74,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0022,AG-000007,41247,2025-09-18,14124.1,"TRANSF | STAT 118",3074.99,46459,2025-09-17,"DN#21039",3074.99,3074.99,0,LIFO_FULL,PATTERN_LIFO,false
AL-0023,AG-000007,41247,2025-09-18,14124.1,"TRANSF | STAT 118",3206.43,46057,2025-09-01,"DN#20458",3206.43,3206.43,0,LIFO_FULL,PATTERN_LIFO,false
AL-0024,AG-000007,41247,2025-09-18,14124.1,"TRANSF | STAT 118",2837.74,45088,2025-07-24,"D/N 12723",2837.74,2837.74,0,LIFO_FULL,PATTERN_LIFO,false
AL-0025,AG-000007,41247,2025-09-18,14124.1,"TRANSF | STAT 118",1368.6,43579,2025-06-03,"DN#12293",1368.6,1368.6,0,LIFO_FULL,PATTERN_LIFO,false
AL-0026,AG-000007,41247,2025-09-18,14124.1,"TRANSF | STAT 118",1619.5,43488,2025-05-30,"DN#12277",1619.5,1619.5,0,LIFO_FULL,PATTERN_LIFO,false
AL-0027,AG-000007,41247,2025-09-18,14124.1,"TRANSF | STAT 118",2016.84,41880,2025-04-01,"DN#4460",2988.26,2016.84,971.42,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0028,AG-000008,41812,2025-10-15,6769.57,"TRANSF | STAT 119",3560.51,47082,2025-10-14,"DN#20720",3560.51,3560.51,0,LIFO_FULL,PATTERN_LIFO,false
AL-0029,AG-000008,41812,2025-10-15,6769.57,"TRANSF | STAT 119",3074.99,46904,2025-10-06,"DN-20168",3074.99,3074.99,0,LIFO_FULL,PATTERN_LIFO,false
AL-0030,AG-000008,41812,2025-10-15,6769.57,"TRANSF | STAT 119",134.07,46626,2025-09-23,"DN#20400",3074.99,134.07,2940.92,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0031,AG-000009,42224,2025-11-12,11199.05,"TRANSF | STAT 120",3017.99,47591,2025-11-10,"DN#20816",3017.99,3017.99,0,LIFO_FULL,PATTERN_LIFO,false
AL-0032,AG-000009,42224,2025-11-12,11199.05,"TRANSF | STAT 120",3074.99,47341,2025-10-27,"DN#20630",3074.99,3074.99,0,LIFO_FULL,PATTERN_LIFO,false
AL-0033,AG-000009,42224,2025-11-12,11199.05,"TRANSF | STAT 120",971.06,47273,2025-10-24,"DN#20619",971.06,971.06,0,LIFO_FULL,PATTERN_LIFO,false
AL-0034,AG-000009,42224,2025-11-12,11199.05,"TRANSF | STAT 120",2940.92,46626,2025-09-23,"DN#20400",2940.92,2940.92,0,LIFO_FULL,PATTERN_LIFO,false
AL-0035,AG-000009,42224,2025-11-12,11199.05,"TRANSF | STAT 120",971.42,41880,2025-04-01,"DN#4460",971.42,971.42,0,LIFO_FULL,PATTERN_LIFO,false
AL-0036,AG-000009,42224,2025-11-12,11199.05,"TRANSF | STAT 120",222.67,41615,2025-03-19,"DN#10531",3680.67,222.67,3458,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0037,AG-000010,42597,2025-12-10,6192.32,"TRANSF | STAT 121",3017.99,48073,2025-12-03,"DN#21185",3017.99,3017.99,0,LIFO_FULL,PATTERN_LIFO,false
AL-0038,AG-000010,42597,2025-12-10,6192.32,"TRANSF | STAT 121",3174.33,47808,2025-11-20,"DN#20849",4209.33,3174.33,1035,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0039,AG-000011,42917,2026-01-07,9082.81,"TRANSF | STAT 122",3032.41,48471,2025-12-24,"DN-20951",3032.41,3032.41,0,LIFO_FULL,PATTERN_LIFO,false
AL-0040,AG-000011,42917,2026-01-07,9082.81,"TRANSF | STAT 122",3032.41,48328,2025-12-17,"DN#21426",3032.41,3032.41,0,LIFO_FULL,PATTERN_LIFO,false
AL-0041,AG-000011,42917,2026-01-07,9082.81,"TRANSF | STAT 122",1035,47808,2025-11-20,"DN#20849",1035,1035,0,LIFO_FULL,PATTERN_LIFO,false
AL-0042,AG-000011,42917,2026-01-07,9082.81,"TRANSF | STAT 122",1982.99,41615,2025-03-19,"DN#10531",3458,1982.99,1475.01,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0043,AG-000012,43367,2026-02-17,3032.41,"TRANSF | STAT 123",3032.41,49287,2026-02-17,"DN-21902",3084.02,3032.41,51.61,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0044,AG-000013,43638,2026-03-12,9220.53,"TRANSF | STAT 124",2589.05,49609,2026-03-06,"DN#22114",2589.05,2589.05,0,LIFO_FULL,PATTERN_LIFO,false
AL-0045,AG-000013,43638,2026-03-12,9220.53,"TRANSF | STAT 124",3084.02,49379,2026-02-23,"DN`21271",3084.02,3084.02,0,LIFO_FULL,PATTERN_LIFO,false
AL-0046,AG-000013,43638,2026-03-12,9220.53,"TRANSF | STAT 124",51.61,49287,2026-02-17,"DN-21902",51.61,51.61,0,LIFO_FULL,PATTERN_LIFO,false
AL-0047,AG-000013,43638,2026-03-12,9220.53,"TRANSF | STAT 124",3052.49,49067,2026-02-02,"DN#21517",3052.49,3052.49,0,LIFO_FULL,PATTERN_LIFO,false
AL-0048,AG-000013,43638,2026-03-12,9220.53,"TRANSF | STAT 124",443.36,48675,2026-01-08,"DN-21759",3032.41,443.36,2589.05,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0049,AG-000014,43927,2026-04-08,6703.96,"TRANSF | STAT 125",4578.5,50051,2026-04-02,"DN-22040",4578.5,4578.5,0,LIFO_FULL,PATTERN_LIFO,false
AL-0050,AG-000014,43927,2026-04-08,6703.96,"TRANSF | STAT 125",2125.46,49752,2026-03-16,"DN#22130",3597.41,2125.46,1471.95,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0051,AG-000015,44878,2026-06-25,10000,"TRANSF | STAT 127",3934.93,51387,2026-06-23,"DN#22914",3934.93,3934.93,0,LIFO_FULL,PATTERN_LIFO,false
AL-0052,AG-000015,44878,2026-06-25,10000,"TRANSF | STAT 127",4866.88,51154,2026-06-11,"DN#22474",4866.88,4866.88,0,LIFO_FULL,PATTERN_LIFO,false
AL-0053,AG-000015,44878,2026-06-25,10000,"TRANSF | STAT 127",1198.19,50970,2026-06-01,"DN#22452",3293.25,1198.19,2095.06,LIFO_PARTIAL,PATTERN_LIFO,true
AL-0054,AG-000016,45717,2026-08-14,15000,"TRANSF | STAT 129",5199.03,52305,2026-08-04,"DN#23940",5199.03,5199.03,0,LIFO_FULL,PATTERN_LIFO,false
AL-0055,AG-000016,45717,2026-08-14,15000,"TRANSF | STAT 129",3951.29,52044,2026-07-23,"DN#22976",3951.29,3951.29,0,LIFO_FULL,PATTERN_LIFO,false
AL-0056,AG-000016,45717,2026-08-14,15000,"TRANSF | STAT 129",935.81,51823,2026-07-14,"DN#22816",935.81,935.81,0,LIFO_FULL,PATTERN_LIFO,false
AL-0057,AG-000016,45717,2026-08-14,15000,"TRANSF | STAT 129",4887.1,51691,2026-07-08,"DN#22679",4887.1,4887.1,0,LIFO_FULL,PATTERN_LIFO,false
AL-0058,AG-000016,45717,2026-08-14,15000,"TRANSF | STAT 129",26.77,51669,2026-07-07,"DN#22679",4887.1,26.77,4860.33,LIFO_PARTIAL,PATTERN_LIFO,true
