doc_no,entry_type,tx_date,lpg_total,cyl_total,other_total
14477,Crd Note,2026-02-24,0,-8280.00,0
14556,Crd Note,2026-03-09,0,-6900.00,0
14601,Crd Note,2026-03-17,0,-9315.00,0
14698,Crd Note,2026-04-02,0,-11385.00,0
14729,Crd Note,2026-04-09,0,-8280.00,0
14784,Crd Note,2026-04-21,0,-8280.00,0
14994,Crd Note,2026-05-06,0,-1380.00,0
14995,Crd Note,2026-05-06,0,-6210.00,0
14864,Crd Note,2026-05-07,0,-5865.00,0
14922,Crd Note,2026-05-19,0,-8280.00,0
15007,Crd Note,2026-06-02,0,-5520.00,0
15066,Crd Note,2026-06-15,0,-5692.50,0
15114,Crd Note,2026-06-24,0,-5175.00,0
15193,Crd Note,2026-07-03,0,-1035.00,0
15204,Crd Note,2026-07-07,0,-5692.50,0
15205,Crd Note,2026-07-07,-4887.10,0,0
15220,Crd Note,2026-07-08,0,-5692.50,0
15258,Crd Note,2026-07-14,0,-1552.50,0
15317,Crd Note,2026-07-24,0,-690.00,0
15329,Crd Note,2026-07-25,0,-4140.00,0
15392,Crd Note,2026-08-05,0,-6210.00,0
15506,Crd Note,2026-08-19,0,-5692.50,0
15627,Crd Note,2026-09-08,0,-5692.50,0
