"ENTRY","PERIOD_FILE","ACCNO","DOCNO","ORDERNO","DATE","QTY","RETAIL","NET","LINETAX","GROSS","REF","DESCRIPTION"
"Invoice","2022.TXT","MD0004","00008162","","08/04/2021",2,381.49,762.98,114.44,877.42,"55772","19KG LPG - PACKED"
"Crd Note","2022.TXT","MD0004","00001066","00008162","08/04/2021",-2,381.49,-762.98,114.44,-648.54,"55772","19KG LPG - PACKED"
"Invoice","2022.TXT","MD0004","00008164","","08/04/2021",2,381.49,762.98,114.45,877.43,"","19KG LPG - PACKED"
"Crd Note","2022.TXT","MD0004","00001073","00008164","08/04/2021",-2,381.49,-762.98,114.45,-648.53,"","19KG LPG - PACKED"
"Invoice","2022.TXT","MD0004","00008162","","08/04/2021",1,0,0,0,0,"55772","48KG DV CYLINDER DEPOSIT"
"Crd Note","2022.TXT","MD0004","00001066","00008162","08/04/2021",-1,0,0,0,0,"55772","48KG DV CYLINDER DEPOSIT"
"Invoice","2022.TXT","MD0004","00008164","","08/04/2021",2,0,0,0,0,"","48KG DV CYLINDER DEPOSIT"
"Crd Note","2022.TXT","MD0004","00001073","00008164","08/04/2021",-2,0,0,0,0,"","48KG DV CYLINDER DEPOSIT"
"Invoice","2022.TXT","MD0004","00008162","","08/04/2021",1,963.76,963.76,144.57,1108.33,"55772","48KG DV LPG - PACKED"
"Crd Note","2022.TXT","MD0004","00001066","00008162","08/04/2021",-1,963.76,-963.76,144.57,-819.19,"55772","48KG DV LPG - PACKED"
"Invoice","2022.TXT","MD0004","00008164","","08/04/2021",2,963.77,1927.54,289.13,2216.67,"","48KG DV LPG - PACKED"
"Crd Note","2022.TXT","MD0004","00001073","00008164","08/04/2021",-2,963.77,-1927.54,289.13,-1638.41,"","48KG DV LPG - PACKED"
"Invoice","2022.TXT","MD0004","00008162","","08/04/2021",3,0,0,0,0,"55772","48KG SV CYLINDER DEPOSIT"
"Crd Note","2022.TXT","MD0004","00001066","00008162","08/04/2021",-3,0,0,0,0,"55772","48KG SV CYLINDER DEPOSIT"
"Invoice","2022.TXT","MD0004","00008162","","08/04/2021",3,963.76,2891.28,433.69,3324.97,"55772","48KG SV LPG- PACKED"
"Crd Note","2022.TXT","MD0004","00001066","00008162","08/04/2021",-3,963.76,-2891.28,433.69,-2457.59,"55772","48KG SV LPG- PACKED"
"Invoice","2022.TXT","MD0004","00010760","","18/10/2021",3,904.61,2713.83,407.07,3120.9,"ROSEDALE","48KG LPG REFILL SINGLE VALVE"
"Crd Note","2022.TXT","MD0004","00003055","00010760","15/12/2021",-3,904.61,-2713.83,407.07,-2306.76,"INV ON WRONG ACC","48KG LPG REFILL SINGLE VALVE"
"Invoice","CURRENT.TXT","MD0004","00030216","00007835","08/03/2024",2,1349.49,2698.98,404.85,3103.83,"DN8015","48KG SV LPG- PACKED"
"Crd Note","CURRENT.TXT","MD0004","00007631","00030216","08/03/2024",-2,1349.49,-2698.98,404.85,-2294.13,"DN8015 REVERSAL","48KG SV LPG- PACKED"
"Invoice","CURRENT.TXT","MD0004","00030754","00008035","27/03/2024",2,1349.49,2698.98,404.85,3103.83,"DN#8853 SO#8035","48KG SV LPG- PACKED"
"Crd Note","CURRENT.TXT","MD0004","00007865","00030754","27/03/2024",-2,1349.49,-2698.98,404.85,-2294.13,"DN#8853 SO#8035","48KG SV LPG- PACKED"
