allocation_id,allocation_group_id,payment_doc,payment_date,payment_amount,slice_amount,target_doc,target_date,lpg_target_amount,allocated_amount,variance,allocation_type,confidence,review_required
AL-0042,AG-000027,43471,2026-02-25,3613.84,3613.84,49328,2026-02-18,3613.84,3613.84,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0043,AG-000028,43640,2026-03-11,3839.7,3839.7,49550,2026-03-03,3839.7,3839.7,0,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0044,AG-000029,43716,2026-03-18,3870.28,3870.28,49710,2026-03-11,3870.28,3870.28,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0045,AG-000030,43878,2026-04-01,2428.41,2428.41,49933,2026-03-25,2428.41,2428.41,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0046,AG-000031,43962,2026-04-08,2971.08,2971.08,50066,2026-04-01,2971.08,2971.08,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0047,AG-000032,44028,2026-04-15,2971.08,2971.08,50173,2026-04-09,2971.08,2971.08,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0048,AG-000033,44147,2026-04-29,4074.62,4074.62,50305,2026-04-19,4074.62,4074.62,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0049,,44227,2026-05-07,4978.91,4978.91,,,0,0,4978.91,VERIFIED_UNALLOCATED,Confirmed,false
AL-0050,AG-000034,44554,2026-06-03,3434.41,3434.41,50918,2026-05-27,3434.41,3434.41,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0051,AG-000035,44659,2026-06-11,4798.04,4798.04,51077,2026-06-05,4798.04,4798.04,0,CONFIRMED_OPERATOR_OVERRIDE,Confirmed,false
AL-0052,AG-000036,44881,2026-06-24,6098.05,4798.04,51235,2026-06-14,4798.04,4798.04,0,CONFIRMED_REF_LPG_MATCH,Confirmed,false
AL-0053,AG-000036,44881,2026-06-24,6098.05,1300.01,51337,2026-06-19,1300.01,1300.01,0,CONFIRMED_REF_LINE_MATCH,Confirmed,false
AL-0054,AG-000037,44963,2026-07-02,3292.77,3292.77,51431,2026-06-24,3292.77,3292.77,0,CONFIRMED_OPERATOR_OVERRIDE,Confirmed,false
AL-0055,AG-000038,45104,2026-07-09,4536.47,4536.47,51526,,4536.47,4536.47,0,CONFIRMED_OPERATOR_OVERRIDE,Confirmed,false
