debtor_code,doc_no,entry_type,tx_date,month_year,stock_code,description,debt_group,lane,qty,amount_excl,tax_amount,amount_incl,is_cyl,is_lpg,paired_cyl_doc,notes
WO0001,00000587,Invoice,2017-03-22,2017-03,14.3,0,LPG,LPG,3,649.3,97.39,746.69,False,True,,
WO0001,00000587,Invoice,2017-03-22,2017-03,19.3,0,LPG,LPG,10,2937.23,440.58,3377.81,False,True,,
WO0001,00000587,Invoice,2017-03-22,2017-03,9.3,0,LPG,LPG,14,1947.82,292.17,2239.99,False,True,,
WO0001,00000652,Invoice,2017-04-06,2017-04,9.3,,LPG,LPG,15,2021.67,303.25,2324.92,False,True,,
WO0001,00000652,Invoice,2017-04-06,2017-04,14.3,,LPG,LPG,2,419.3,62.9,482.2,False,True,,
WO0001,00000652,Invoice,2017-04-06,2017-04,19.3,,LPG,LPG,3,853.6,128.04,981.64,False,True,,
WO0001,00000702,Invoice,2017-04-18,2017-04,19.3,,LPG,LPG,5,1413.5,212.03,1625.53,False,True,,
WO0001,00000702,Invoice,2017-04-18,2017-04,9.3,,LPG,LPG,20,2678.3,401.75,3080.05,False,True,,
WO0001,00000776,Invoice,2017-05-02,2017-05,19.3,,LPG,LPG,5,1413.5,212.02,1625.52,False,True,,
WO0001,00000776,Invoice,2017-05-02,2017-05,9.3,,LPG,LPG,15,2021.67,303.25,2324.92,False,True,,
WO0001,00000813,Invoice,2017-05-10,2017-05,14.3,,LPG,LPG,3,649.3,97.39,746.69,False,True,,
WO0001,00000813,Invoice,2017-05-10,2017-05,9.3,,LPG,LPG,10,1391.3,208.69,1599.99,False,True,,
WO0001,00000882,Invoice,2017-05-21,2017-05,9.3,,LPG,LPG,15,2086.95,313.04,2399.99,False,True,,
WO0001,00000882,Invoice,2017-05-21,2017-05,14.3,,LPG,LPG,5,1082.16,162.32,1244.48,False,True,,
WO0001,00000882,Invoice,2017-05-21,2017-05,19.3,,LPG,LPG,2,587.44,88.12,675.56,False,True,,
WO0001,00001058,Invoice,2017-06-20,2017-06,14.3,,LPG,LPG,5,906.3,135.95,1042.25,False,True,,
WO0001,00001058,Invoice,2017-06-20,2017-06,9.3,,LPG,LPG,20,2330.36,349.55,2679.91,False,True,,
WO0001,00000153,Crd Note,2017-06-29,2017-06,19.3,,LPG,LPG,-1,-246,-36.9,-282.9,False,True,,
WO0001,00000153,Crd Note,2017-06-29,2017-06,14.3,,LPG,LPG,-2,-362.52,-54.38,-416.9,False,True,,
WO0001,00000153,Crd Note,2017-06-29,2017-06,9.3,,LPG,LPG,-15,-1747.77,-262.16,-2009.93,False,True,,
WO0001,00001132,Invoice,2017-06-29,2017-06,14.3,,LPG,LPG,2,362.52,54.38,416.9,False,True,,
WO0001,00001132,Invoice,2017-06-29,2017-06,19.3,,LPG,LPG,1,246,36.9,282.9,False,True,,
WO0001,00001132,Invoice,2017-06-29,2017-06,9.3,,LPG,LPG,15,1747.77,262.16,2009.93,False,True,,
WO0001,00001133,Invoice,2017-06-29,2017-06,9.3,02,LPG,LPG,10,1165.17,174.78,1339.95,False,True,,
WO0001,00001133,Invoice,2017-06-29,2017-06,14.3,02,LPG,LPG,2,362.52,54.38,416.9,False,True,,
WO0001,00001133,Invoice,2017-06-29,2017-06,19.3,02,LPG,LPG,7,1722.02,258.3,1980.32,False,True,,
WO0001,00001281,Invoice,2017-07-25,2017-07,19.3,,LPG,LPG,8,1879.83,281.98,2161.81,False,True,,
WO0001,00001281,Invoice,2017-07-25,2017-07,9.3,,LPG,LPG,20,2224.29,333.64,2557.93,False,True,,
WO0001,00001355,Invoice,2017-08-07,2017-08,19.3,,LPG,LPG,3,720.46,108.07,828.53,False,True,,
WO0001,00001355,Invoice,2017-08-07,2017-08,14.3,,LPG,LPG,3,530.87,79.63,610.5,False,True,,
WO0001,00001355,Invoice,2017-08-07,2017-08,9.3,,LPG,LPG,15,1706.29,255.94,1962.23,False,True,,
WO0001,00001360,Invoice,2017-08-07,2017-08,9.3,,LPG,LPG,4,455.01,68.25,523.26,False,True,,
WO0001,00001412,Invoice,2017-08-16,2017-08,9.3,,LPG,LPG,15,1706.29,255.94,1962.23,False,True,,
WO0001,00001412,Invoice,2017-08-16,2017-08,D.3,,LPG,LPG,1,606.7,91,697.7,False,True,,
WO0001,00001412,Invoice,2017-08-16,2017-08,19.3,,LPG,LPG,7,1681.07,252.16,1933.23,False,True,,
WO0001,00001472,Invoice,2017-08-23,2017-08,19.3,,LPG,LPG,2,480.29,72.04,552.33,False,True,,
WO0001,00001472,Invoice,2017-08-23,2017-08,D.3,,LPG,LPG,1,606.68,91,697.68,False,True,,
WO0001,00001472,Invoice,2017-08-23,2017-08,9,,OTHER,OTHER,18,2047.54,307.13,2354.67,False,False,,
WO0001,00001472,Invoice,2017-08-23,2017-08,14.3,,LPG,LPG,4,707.79,106.17,813.96,False,True,,
WO0001,00001480,Invoice,2017-08-23,2017-08,9.2,SHORT ON #1472,CYL,CYL,3,892.17,133.83,1026,True,False,,
WO0001,00000198,Crd Note,2017-09-03,2017-09,9.2,SHORT ON #1472,CYL,CYL,-3,-892.17,-133.83,-1026,True,False,,
WO0001,00001547,Invoice,2017-09-03,2017-09,14.3,WOZABONA,LPG,LPG,2,353.9,53.08,406.98,False,True,,
WO0001,00001547,Invoice,2017-09-03,2017-09,19.3,WOZABONA,LPG,LPG,2,480.29,72.04,552.33,False,True,,
WO0001,00001547,Invoice,2017-09-03,2017-09,9.3,WOZABONA,LPG,LPG,12,1365.03,204.75,1569.78,False,True,,
WO0001,00001547,Invoice,2017-09-03,2017-09,D.3,WOZABONA,LPG,LPG,2,1213.36,182,1395.36,False,True,,
WO0001,00001589,Invoice,2017-09-10,2017-09,19.3,,LPG,LPG,5,1266.64,190,1456.64,False,True,,
WO0001,00001589,Invoice,2017-09-10,2017-09,14.3,,LPG,LPG,2,373.32,56,429.32,False,True,,
WO0001,00001589,Invoice,2017-09-10,2017-09,D.3,,LPG,LPG,1,639.99,96,735.99,False,True,,
WO0001,00001589,Invoice,2017-09-10,2017-09,9.3,,LPG,LPG,15,1799.97,269.99,2069.96,False,True,,
WO0001,00001591,Invoice,2017-09-10,2017-09,14.3,,LPG,LPG,2,373.34,56,429.34,False,True,,
WO0001,00001591,Invoice,2017-09-10,2017-09,19.3,,LPG,LPG,5,1266.66,190,1456.66,False,True,,
WO0001,00001591,Invoice,2017-09-10,2017-09,D.3,,LPG,LPG,1,626.08,93.91,719.99,False,True,,
WO0001,00001591,Invoice,2017-09-10,2017-09,9.3,,LPG,LPG,15,1799.97,269.99,2069.96,False,True,,
WO0001,00000205,Crd Note,2017-09-11,2017-09,D.3,,LPG,LPG,-1,-639.99,-96,-735.99,False,True,,
WO0001,00000205,Crd Note,2017-09-11,2017-09,9.3,,LPG,LPG,-15,-1799.97,-269.99,-2069.96,False,True,,
WO0001,00000205,Crd Note,2017-09-11,2017-09,14.3,,LPG,LPG,-2,-373.32,-56,-429.32,False,True,,
WO0001,00000205,Crd Note,2017-09-11,2017-09,19.3,,LPG,LPG,-5,-1266.64,-190,-1456.64,False,True,,
WO0001,00000222,Crd Note,2017-09-28,2017-09,14.3,,LPG,LPG,-2,-373.35,-56,-429.35,False,True,,
WO0001,00000222,Crd Note,2017-09-28,2017-09,19.3,,LPG,LPG,-2,-506.65,-76,-582.65,False,True,,
WO0001,00000222,Crd Note,2017-09-28,2017-09,9.3,,LPG,LPG,-13,-1559.97,-234,-1793.97,False,True,,
WO0001,00000222,Crd Note,2017-09-28,2017-09,D.3,,LPG,LPG,-1,-626.07,-93.91,-719.98,False,True,,
WO0001,00001684,Invoice,2017-09-28,2017-09,19.3,,LPG,LPG,2,506.66,76,582.66,False,True,,
WO0001,00001684,Invoice,2017-09-28,2017-09,D.3,,LPG,LPG,1,626.08,93.91,719.99,False,True,,
WO0001,00001684,Invoice,2017-09-28,2017-09,9.3,,LPG,LPG,13,1560,234,1793.9999,False,True,,
WO0001,00001684,Invoice,2017-09-28,2017-09,14.3,,LPG,LPG,2,373.34,56,429.34,False,True,,
WO0001,00001685,Invoice,2017-09-28,2017-09,D.3,,LPG,LPG,1,626.09,93.91,720,False,True,,
WO0001,00001685,Invoice,2017-09-28,2017-09,9.3,,LPG,LPG,13,1559.97,233.99,1793.96,False,True,,
WO0001,00001685,Invoice,2017-09-28,2017-09,19.3,,LPG,LPG,2,506.65,76,582.65,False,True,,
WO0001,00001685,Invoice,2017-09-28,2017-09,14.3,,LPG,LPG,2,373.35,56,429.35,False,True,,
WO0001,00001736,Invoice,2017-10-08,2017-10,14.3,,LPG,LPG,1,191.13,28.67,219.8,False,True,,
WO0001,00001736,Invoice,2017-10-08,2017-10,19.3,,LPG,LPG,3,778.18,116.73,894.91,False,True,,
WO0001,00001736,Invoice,2017-10-08,2017-10,9.3,,LPG,LPG,15,1843.09,276.46,2119.55,False,True,,
WO0001,00001810,Invoice,2017-10-19,2017-10,14.3,,LPG,LPG,3,573.37,86.01,659.38,False,True,,
WO0001,00001810,Invoice,2017-10-19,2017-10,19.3,,LPG,LPG,3,778.16,116.72,894.88,False,True,,
WO0001,00001810,Invoice,2017-10-19,2017-10,9.3,,LPG,LPG,12,1474.35,221.15,1695.5,False,True,,
WO0001,00001810,Invoice,2017-10-19,2017-10,D.3,,LPG,LPG,2,1304.33,195.65,1499.98,False,True,,
WO0001,00001849,Invoice,2017-10-30,2017-10,9.3,,LPG,LPG,15,1842.93,276.44,2119.37,False,True,,
WO0001,00001849,Invoice,2017-10-30,2017-10,19.3,,LPG,LPG,3,778.16,116.72,894.88,False,True,,
WO0001,00001849,Invoice,2017-10-30,2017-10,S.3,,LPG,LPG,2,1304.33,195.65,1499.98,False,True,,
WO0001,00001849,Invoice,2017-10-30,2017-10,14.3,,LPG,LPG,2,382.25,57.34,439.59,False,True,,
WO0001,00000248,Crd Note,2017-11-07,2017-11,14.3,,LPG,LPG,-4,-808.27,-121.24,-929.51,False,True,,
WO0001,00001893,Invoice,2017-11-07,2017-11,14.3,,LPG,LPG,7,1414.47,212.17,1626.64,False,True,,
WO0001,00001893,Invoice,2017-11-07,2017-11,9.3,,LPG,LPG,14,1818.61,272.79,2091.4,False,True,,
WO0001,00000258,Crd Note,2017-11-16,2017-11,19.3,,LPG,LPG,-1,-274.21,-41.13,-315.34,False,True,,
WO0001,00001952,Invoice,2017-11-16,2017-11,14.3,,LPG,LPG,3,606.14,90.92,697.06,False,True,,
WO0001,00001952,Invoice,2017-11-16,2017-11,9.3,,LPG,LPG,10,1299.01,194.85,1493.86,False,True,,
WO0001,00001952,Invoice,2017-11-16,2017-11,19.3,,LPG,LPG,5,1371.03,205.65,1576.68,False,True,,
WO0001,00002016,Invoice,2017-11-27,2017-11,9.3,,LPG,LPG,10,1296.83,194.52,1491.35,False,True,,
WO0001,00002016,Invoice,2017-11-27,2017-11,19.3,,LPG,LPG,6,1642.67,246.4,1889.07,False,True,,
WO0001,00002016,Invoice,2017-11-27,2017-11,14.3,,LPG,LPG,2,403.46,60.52,463.98,False,True,,
WO0001,00002086,Invoice,2017-12-06,2017-12,19.3,,LPG,LPG,4,1160.15,174.02,1334.17,False,True,,
WO0001,00002086,Invoice,2017-12-06,2017-12,14.3,,LPG,LPG,3,641.14,96.17,737.3101,False,True,,
WO0001,00002086,Invoice,2017-12-06,2017-12,9.3,,LPG,LPG,15,2060.92,309.14,2370.06,False,True,,
WO0001,00002178,Invoice,2017-12-14,2017-12,9.3,,LPG,LPG,13,1786.13,267.92,2054.05,False,True,,
WO0001,00002178,Invoice,2017-12-14,2017-12,14.3,,LPG,LPG,3,641.15,96.17,737.32,False,True,,
WO0001,00002178,Invoice,2017-12-14,2017-12,19.3,,LPG,LPG,8,2320.29,348.04,2668.33,False,True,,
WO0001,00002241,Invoice,2017-12-20,2017-12,9.3,,LPG,LPG,20,2747.7,412.15,3159.85,False,True,,
WO0001,00002241,Invoice,2017-12-20,2017-12,19.3,,LPG,LPG,5,1450.18,217.53,1667.71,False,True,,
WO0001,00002286,Invoice,2017-12-27,2017-12,19.3,,LPG,LPG,5,1450.18,217.53,1667.71,False,True,,
WO0001,00002286,Invoice,2017-12-27,2017-12,9.3,,LPG,LPG,15,2060.77,309.12,2369.89,False,True,,
WO0001,00002336,Invoice,2018-01-03,2018-01,9.3,,LPG,LPG,22,3022.47,453.37,3475.84,False,True,,
WO0001,00002336,Invoice,2018-01-03,2018-01,19.3,,LPG,LPG,3,870.1,130.52,1000.62,False,True,,
WO0001,00002336,Invoice,2018-01-03,2018-01,14.3,,LPG,LPG,5,1068.57,160.29,1228.86,False,True,,
WO0001,00002341,Invoice,2018-01-03,2018-01,9.2,SHORT ON #2336,CYL,CYL,6,1784.35,267.65,2052,True,False,,
WO0001,00002397,Invoice,2018-01-10,2018-01,14.3,,LPG,LPG,4,854.86,128.23,983.09,False,True,,
WO0001,00002397,Invoice,2018-01-10,2018-01,9.3,,LPG,LPG,10,1373.85,206.08,1579.93,False,True,,
WO0001,00002481,Invoice,2018-01-25,2018-01,19.3,,LPG,LPG,3,870.1,130.52,1000.62,False,True,,
WO0001,00002481,Invoice,2018-01-25,2018-01,14.3,,LPG,LPG,4,854.86,128.23,983.09,False,True,,
WO0001,00002481,Invoice,2018-01-25,2018-01,9.3,,LPG,LPG,14,1923.39,288.51,2211.9,False,True,,
WO0001,00002488,Invoice,2018-01-25,2018-01,9.2,,CYL,CYL,2,594.78,89.22,684,True,False,,
WO0001,00002609,Invoice,2018-02-13,2018-02,14.3,,LPG,LPG,2,427.43,64.12,491.55,False,True,,
WO0001,00002609,Invoice,2018-02-13,2018-02,9.3,,LPG,LPG,15,2060.77,309.12,2369.89,False,True,,
WO0001,00002609,Invoice,2018-02-13,2018-02,19.3,,LPG,LPG,6,1740.21,261.03,2001.24,False,True,,
WO0001,00000389,Crd Note,2018-02-14,2018-02,9.2,,CYL,CYL,-2,-594.78,-89.22,-684,True,False,,
WO0001,00002689,Invoice,2018-02-26,2018-02,D.3,,LPG,LPG,2,1465.46,219.82,1685.28,False,True,,
WO0001,00002689,Invoice,2018-02-26,2018-02,14.3,,LPG,LPG,2,427.43,64.12,491.55,False,True,,
WO0001,00002689,Invoice,2018-02-26,2018-02,19.3,,LPG,LPG,10,2900.36,435.05,3335.41,False,True,,
WO0001,00002689,Invoice,2018-02-26,2018-02,9.3,,LPG,LPG,8,1099.08,164.86,1263.94,False,True,,
WO0001,00000403,Crd Note,2018-03-07,2018-03,9.3,,LPG,LPG,-1,-137.38,-20.61,-157.99,False,True,,
WO0001,00002754,Invoice,2018-03-07,2018-03,19.3,,LPG,LPG,5,1450.17,217.53,1667.7,False,True,,
WO0001,00002754,Invoice,2018-03-07,2018-03,9.3,,LPG,LPG,17,2335.54,350.33,2685.87,False,True,,
WO0001,00002754,Invoice,2018-03-07,2018-03,14.3,,LPG,LPG,5,1068.58,160.29,1228.87,False,True,,
WO0001,00002792,Invoice,2018-03-13,2018-03,19.3,,LPG,LPG,11,3098.6,464.79,3563.3898,False,True,,
WO0001,00002792,Invoice,2018-03-13,2018-03,9.3,,LPG,LPG,7,934.07,140.11,1074.18,False,True,,
WO0001,00002792,Invoice,2018-03-13,2018-03,14.3,,LPG,LPG,6,1245.37,186.81,1432.1802,False,True,,
WO0001,00002801,Invoice,2018-03-13,2018-03,9.2,SHORT ON #2792,CYL,CYL,2,594.78,89.22,684,True,False,,
WO0001,00002802,Invoice,2018-03-13,2018-03,9.2,SHORT ON #2792,CYL,CYL,1,297.39,44.61,342,True,False,,
WO0001,00000419,Crd Note,2018-03-23,2018-03,9.2,SHORT ON #2792,CYL,CYL,-2,-594.78,-89.22,-684,True,False,,
WO0001,00000420,Crd Note,2018-03-23,2018-03,9.2,SHORT ON #2792,CYL,CYL,-1,-297.39,-44.61,-342,True,False,,
WO0001,00002871,Invoice,2018-03-23,2018-03,14.3,,LPG,LPG,4,830.25,124.54,954.79,False,True,,
WO0001,00002871,Invoice,2018-03-23,2018-03,19.3,,LPG,LPG,9,2535.21,380.28,2915.4899,False,True,,
WO0001,00002871,Invoice,2018-03-23,2018-03,9.3,,LPG,LPG,15,2001.59,300.24,2301.83,False,True,,
WO0001,00002926,Invoice,2018-04-03,2018-04,9.2,SHORT ON S-O #20,CYL,CYL,3,892.17,133.83,1026,True,False,,
WO0001,00000450,Crd Note,2018-04-22,2018-04,9.2,RETUNED,CYL,CYL,-3,-892.17,-133.83,-1026,True,False,,
WO0001,00001398,Crd Note,2021-05-20,2021-05,14.1,,CYL,CYL,-4,0,0,0,True,False,,
WO0001,00001398,Crd Note,2021-05-20,2021-05,9.1,,CYL,CYL,-8,0,0,0,True,False,,
WO0001,00001398,Crd Note,2021-05-20,2021-05,19.1,,CYL,CYL,-13,0,0,0,True,False,,
WO0001,00008523,Invoice,2021-05-20,2021-05,19.1,,CYL,CYL,5,0,0,0,True,False,,
WO0001,00008523,Invoice,2021-05-20,2021-05,14.1,,CYL,CYL,5,0,0,0,True,False,,
WO0001,00008523,Invoice,2021-05-20,2021-05,14.3,,LPG,LPG,5,1191.8,178.77,1370.57,False,True,,
WO0001,00008523,Invoice,2021-05-20,2021-05,19.3,,LPG,LPG,5,1617.4,242.61,1860.01,False,True,,
WO0001,00008523,Invoice,2021-05-20,2021-05,9.3,,LPG,LPG,15,1972.35,295.85,2268.2,False,True,,
WO0001,00008523,Invoice,2021-05-20,2021-05,9.1,,CYL,CYL,15,0,0,0,True,False,,
WO0001,00001746,Crd Note,2021-06-20,2021-06,19.3,,LPG,LPG,-10,-3234.8,-485.22,-3720.02,False,True,,
WO0001,00001746,Crd Note,2021-06-20,2021-06,9.3,,LPG,LPG,-30,-3944.7,-591.7,-4536.4,False,True,,
WO0001,00001746,Crd Note,2021-06-20,2021-06,14.1,,CYL,CYL,-5,0,0,0,True,False,,
WO0001,00001746,Crd Note,2021-06-20,2021-06,9.1,,CYL,CYL,-30,0,0,0,True,False,,
WO0001,00001746,Crd Note,2021-06-20,2021-06,19.1,,CYL,CYL,-10,0,0,0,True,False,,
WO0001,00001746,Crd Note,2021-06-20,2021-06,14.3,,LPG,LPG,-5,-1626.56,-243.98,-1870.54,False,True,,
WO0001,00008919,Invoice,2021-06-20,2021-06,14.1,,CYL,CYL,5,0,0,0,True,False,,
WO0001,00008919,Invoice,2021-06-20,2021-06,14.3,,LPG,LPG,5,1626.56,243.98,1870.54,False,True,,
WO0001,00008919,Invoice,2021-06-20,2021-06,19.1,,CYL,CYL,10,0,0,0,True,False,,
WO0001,00008919,Invoice,2021-06-20,2021-06,19.3,,LPG,LPG,10,3234.8,485.22,3720.02,False,True,,
WO0001,00008919,Invoice,2021-06-20,2021-06,9.1,,CYL,CYL,30,0,0,0,True,False,,
WO0001,00008919,Invoice,2021-06-20,2021-06,9.3,,LPG,LPG,30,3944.7,591.7,4536.4,False,True,,
WO0001,00008926,Invoice,2021-06-20,2021-06,14.1,,CYL,CYL,7,0,0,0,True,False,,
WO0001,00008926,Invoice,2021-06-20,2021-06,19.1,,CYL,CYL,7,0,0,0,True,False,,
WO0001,00008926,Invoice,2021-06-20,2021-06,14.3,,LPG,LPG,7,1439.2,215.88,1655.08,False,True,,
WO0001,00008926,Invoice,2021-06-20,2021-06,9.3,,LPG,LPG,35,4602.15,690.32,5292.47,False,True,,
WO0001,00008926,Invoice,2021-06-20,2021-06,9.1,,CYL,CYL,35,0,0,0,True,False,,
WO0001,00008926,Invoice,2021-06-20,2021-06,19.3,,LPG,LPG,7,2264.37,339.65,2604.02,False,True,,
WO0001,00001757,Crd Note,2021-06-21,2021-06,14.1,,CYL,CYL,-8,0,0,0,True,False,,
WO0001,00001757,Crd Note,2021-06-21,2021-06,19.1,,CYL,CYL,-8,0,0,0,True,False,,
WO0001,00001757,Crd Note,2021-06-21,2021-06,9.1,,CYL,CYL,-33,0,0,0,True,False,,
WO0001,00009827,Invoice,2021-08-17,2021-08,19.1,,CYL,CYL,5,0,0,0,True,False,,
WO0001,00009827,Invoice,2021-08-17,2021-08,14.1,,CYL,CYL,5,0,0,0,True,False,,
WO0001,00009827,Invoice,2021-08-17,2021-08,9.3,,LPG,LPG,30,4896.9,734.53,5631.43,False,True,,
WO0001,00009827,Invoice,2021-08-17,2021-08,19.3,,LPG,LPG,5,1722.9,258.43,1981.33,False,True,,
WO0001,00009827,Invoice,2021-08-17,2021-08,9.1,,CYL,CYL,30,0,0,0,True,False,,
WO0001,00009827,Invoice,2021-08-17,2021-08,14.3,,LPG,LPG,5,1269.5,190.43,1459.93,False,True,,
WO0001,00002302,Crd Note,2021-08-27,2021-08,14.1,,CYL,CYL,-8,0,0,0,True,False,,
WO0001,00002302,Crd Note,2021-08-27,2021-08,19.1,,CYL,CYL,-9,0,0,0,True,False,,
WO0001,00002302,Crd Note,2021-08-27,2021-08,9.1,,CYL,CYL,-23,0,0,0,True,False,,
WO0001,00009959,Invoice,2021-08-27,2021-08,19.1,,CYL,CYL,10,0,0,0,True,False,,
WO0001,00009959,Invoice,2021-08-27,2021-08,9.3,,LPG,LPG,20,3268.4,490.26,3758.66,False,True,,
WO0001,00009959,Invoice,2021-08-27,2021-08,19.3,,LPG,LPG,10,3342.5,501.38,3843.88,False,True,,
WO0001,00009959,Invoice,2021-08-27,2021-08,9.1,,CYL,CYL,20,0,0,0,True,False,,
WO0001,00009959,Invoice,2021-08-27,2021-08,14.1,,CYL,CYL,10,0,0,0,True,False,,
WO0001,00009959,Invoice,2021-08-27,2021-08,14.3,,LPG,LPG,10,2542,381.3,2923.3,False,True,,
WO0001,00010062,Invoice,2021-09-03,2021-09,9.1,,CYL,CYL,30,0,0,0,True,False,,
WO0001,00010062,Invoice,2021-09-03,2021-09,9.3,,LPG,LPG,30,5088.3,763.25,5851.55,False,True,,
WO0001,00010062,Invoice,2021-09-03,2021-09,19.1,,CYL,CYL,10,0,0,0,True,False,,
WO0001,00010062,Invoice,2021-09-03,2021-09,19.3,,LPG,LPG,10,3580.59,537.09,4117.68,False,True,,
