debtor_code,payment_doc,payment_date,batch_ref,stat_no,amount,is_split_payment,notes
WO0001,00036462,2025-02-03,STAT 111,STAT 111,-14244,True,Consolidated from 3 ERP segments
WO0001,00036787,2025-02-13,STAT 111,STAT 111,-13155,True,Consolidated from 3 ERP segments
WO0001,00036969,2025-02-21,STAT 111,STAT 111,-15002,True,Consolidated from 3 ERP segments
WO0001,00037248,2025-03-03,STAT 112,STAT 112,-15306,True,Consolidated from 4 ERP segments
WO0001,00037558,2025-03-13,STAT 112,STAT 112,-12349,False,
WO0001,00037585,2025-03-18,STAT 112,STAT 112,-11252,True,Consolidated from 4 ERP segments
WO0001,00037776,2025-03-27,STAT 112,STAT 112,-11403,False,
WO0001,00038056,2025-04-02,STAT 113,STAT 113,-12044.12,False,
WO0001,00038077,2025-04-08,STAT 113,STAT 113,-12928.42,False,
WO0001,00038238,2025-04-25,STAT 113,STAT 113,-14309.62,False,
WO0001,00038533,2025-05-07,STAT 114,STAT 114,-16545.45,False,
WO0001,00038817,2025-05-16,STAT 114,STAT 114,-10926.82,False,
WO0001,00038835,2025-05-19,STAT 114,STAT 114,-17886.99,False,
WO0001,00038930,2025-05-27,STAT 114,STAT 114,-14290.13,False,
WO0001,00039141,2025-06-04,STAT 115,STAT 115,-15105.82,False,
WO0001,00039720,2025-06-08,STAT 115,STAT 115,-12084.68,False,
WO0001,00040559,2025-06-12,STAT 115,STAT 115,-11994.04,False,
WO0001,00039738,2025-06-19,STAT 115,STAT 115,-19725.83,False,
WO0001,00039582,2025-06-24,STAT 115,STAT 115,-15921.26,True,Consolidated from 5 ERP segments
WO0001,00039621,2025-06-26,STAT 115,STAT 115,-6771.54,False,
WO0001,00039761,2025-07-01,STAT 116,STAT 116,-14377.39,False,
WO0001,00040110,2025-07-06,STAT 116,STAT 116,-12000,False,
WO0001,00040006,2025-07-13,STAT 116,STAT 116,-13472.03,False,
WO0001,00040276,2025-07-27,STAT 116,STAT 116,-19378.76,True,Consolidated from 2 ERP segments
WO0001,00040452,2025-08-04,STAT 117,STAT 117,-21960.57,True,Consolidated from 2 ERP segments
WO0001,00040892,2025-08-27,STAT 117,STAT 117,-26906.96,True,Consolidated from 4 ERP segments
WO0001,00041121,2025-09-07,STAT 118,STAT 118,-12597.8,False,
WO0001,00041312,2025-09-22,STAT 118,STAT 118,-21236,True,Consolidated from 3 ERP segments
WO0001,00041563,2025-10-01,STAT 119,STAT 119,-7845,True,Consolidated from 4 ERP segments
WO0001,00041648,2025-10-13,T2000228,T2000228,-910,False,
WO0001,00041763,2025-10-16,T2000230,T2000230,-0.81,False,
WO0001,00041876,2025-10-17,STAT 119,STAT 119,-8494.33,False,
WO0001,00041963,2025-10-26,STAT 119,STAT 119,-15714.5,True,Consolidated from 8 ERP segments
WO0001,00042099,2025-11-04,STAT 120,STAT 120,-8169.57,False,
WO0001,00042231,2025-11-13,STAT 120,STAT 120,-10068,False,
WO0001,00042315,2025-11-21,STAT 120,STAT 120,-6475,True,Consolidated from 2 ERP segments
WO0001,00042429,2025-11-28,STAT 120,STAT 120,-8361,True,Consolidated from 2 ERP segments
WO0001,00042540,2025-12-07,STAT 121,STAT 121,-6388.48,False,
WO0001,00042690,2025-12-14,STAT 121,STAT 121,-7010.24,False,
WO0001,00042834,2025-12-28,STAT 121,STAT 121,-7421.33,False,
WO0001,00042852,2026-01-01,STAT 122,STAT 122,-3895,True,Consolidated from 2 ERP segments
WO0001,00042923,2026-01-09,STAT 122,STAT 122,-9260.4,False,
WO0001,00043139,2026-01-26,STAT 122,STAT 122,-16881,True,Consolidated from 3 ERP segments
WO0001,00043237,2026-02-06,STAT 123,STAT 123,-9510,False,
WO0001,00043323,2026-02-11,STAT 123,STAT 123,-9410,False,
WO0001,00043398,2026-02-19,STAT 123,STAT 123,-8195,False,
WO0001,00043563,2026-03-05,STAT 124,STAT 124,-15065,True,Consolidated from 3 ERP segments
WO0001,00043757,2026-03-23,STAT 124,STAT 124,-16628,False,
WO0001,00043881,2026-04-03,STAT 125,STAT 125,-9896,False,
WO0001,00044002,2026-04-13,STAT 125,STAT 125,-10774,True,Consolidated from 2 ERP segments
WO0001,00044096,2026-04-24,STAT 125,STAT 125,-11355,True,Consolidated from 2 ERP segments
WO0001,00044295,2026-05-15,STAT 126,STAT 126,-20257,True,Consolidated from 3 ERP segments
WO0001,00044459,2026-05-29,STAT 126,STAT 126,-13603.52,False,
WO0001,00044553,2026-06-02,STAT 127,STAT 127,-13833,False,
