iso,layer,entry,docno,target_doc,amount,balance,batch_id,ref
2024-01-18,A,Invoice,28766,28766,8625,63903.94,,D/N 7733 EMPTIES · TWK AGRI
2024-01-31,A,Crd Note,7410,7410,-18285,45618.94,,D/N 7370 EMPTIES · TWK AGRI
2024-01-31,A,Invoice,29140,29140,14650.14,60269.08,,D/N 7370 · TWK AGRI
2024-01-31,A,Invoice,29141,29141,13800,74069.08,,D/N 7370 EMPTIES · TWK AGRI
2024-02-26,A,Crd Note,7547,7547,-16146,57923.08,,D/N 7391 EMPTIES · TWK AGRI
2024-02-26,A,Invoice,29889,29889,11363.38,69286.46,,D/N 7391 · TWK AGRI
2024-02-26,A,Invoice,29890,29890,17940,87226.46,,D/N 7391 EMPTIES · TWK AGRI
2024-03-26,B,Remit Cash,29684,23075,-345,86881.46,BATCH-2024-03-26,Invoice · STAT 100
2024-03-26,B,Remit Cash,29684,26554,-10350,76531.46,BATCH-2024-03-26,Invoice · STAT 100
2024-03-26,B,Remit Cash,29684,26577,-8764.79,67766.67,BATCH-2024-03-26,Invoice · STAT 100
2024-03-26,B,Remit Cash,29684,6810,10005,77771.67,BATCH-2024-03-26,Crd Note · STAT 100
2024-03-26,B,Remit Cash,29684,27340,-23007.6,54764.07,BATCH-2024-03-26,Invoice · STAT 100
2024-03-26,B,Remit Cash,29684,27341,-19320,35444.07,BATCH-2024-03-26,Invoice · STAT 100
2024-03-26,B,Remit Cash,29684,6990,16215,51659.07,BATCH-2024-03-26,Crd Note · STAT 100
2024-03-26,B,Remit Cash,29684,27764,-13119.2,38539.87,BATCH-2024-03-26,Invoice · STAT 100
2024-03-26,B,Remit Cash,29684,27765,-13800,24739.87,BATCH-2024-03-26,Invoice · STAT 100
2024-03-26,B,Remit Cash,29684,7127,8625,33364.87,BATCH-2024-03-26,Crd Note · STAT 100
2024-03-26,B,Remit Cash,29684,28766,-8409.37,24955.5,BATCH-2024-03-26,Invoice · STAT 100
2024-03-26,B,Remit Cash,29684,28765,-10464.12,14491.38,BATCH-2024-03-26,Invoice · STAT 100
2024-03-26,B,Remit Cash,29684,7332,8409.37,22900.75,BATCH-2024-03-26,Crd Note · STAT 100
2024-03-26,B,Remit Cash,29684,29140,-14283.89,8616.86,BATCH-2024-03-26,Invoice · STAT 100
2024-03-26,B,Remit Cash,29684,7410,17827.87,26444.73,BATCH-2024-03-26,Crd Note · STAT 100
2024-03-26,B,Remit Cash,29684,29889,-11079.3,15365.43,BATCH-2024-03-26,Invoice · STAT 100
2024-03-26,B,Remit Cash,29684,29890,-17491.5,-2126.07,BATCH-2024-03-26,Invoice · STAT 100
2024-03-26,B,Remit Cash,29684,7547,15742.35,13616.28,BATCH-2024-03-26,Crd Note · STAT 100
2024-03-26,B*,ERP_OVERPOST,29684,ERP_OVERPOST,-3575.49,10040.79,BATCH-2024-03-26,ERP gross R77 692.03 > remittance gross R74 116.54 — not allocated to invoices
2024-03-26,C,Discount Journal,DJ-BATCH-2024-03-26,DJ-BATCH-2024-03-26,-506.36,9534.43,BATCH-2024-03-26,Model B pro forma — Dr 240000 / Cr TWK002
2024-03-27,A,Crd Note,7848,7848,-23920,-14385.57,,30762- EMPTY · TWK AGRI
2024-03-27,A,Invoice,30762,30762,15003.94,618.37,,DN#8075 SO#8034 · TWK AGRI
2024-03-27,A,Invoice,30763,30763,23920,24538.37,,30762- EMPTY · TWK AGRI
2024-04-18,A,Crd Note,8120,8120,-16744,7794.37,,31404- EMPTY · TWK AGRI
2024-04-18,A,Invoice,31404,31404,10825.64,18620.01,,DN#8675 SO#8229 · TWK AGRI
2024-04-18,A,Invoice,31405,31405,17940,36560.01,,31404- EMPTY · TWK AGRI
2024-04-26,B,Remit Cash,30419,29141,-13800,22760.01,BATCH-2024-04-26,Invoice · STAT 101
2024-04-26,B,Remit Cash,30419,30762,-14628.84,8131.17,BATCH-2024-04-26,Invoice · STAT 101
2024-04-26,B,Remit Cash,30419,30763,-23322,-15190.83,BATCH-2024-04-26,Invoice · STAT 101
2024-04-26,B,Remit Cash,30419,7848,23322,8131.17,BATCH-2024-04-26,Crd Note · STAT 101
2024-04-26,C,Discount Journal,DJ-BATCH-2024-04-26,DJ-BATCH-2024-04-26,-375.1,7756.07,BATCH-2024-04-26,Model B pro forma — Dr 240000 / Cr TWK002
2024-05-06,A,Crd Note,8324,8324,-16744,-8987.93,,31907 - EMPTY · TWK AGRI
2024-05-06,A,Invoice,31907,31907,10677.41,1689.48,,DN#8907 SO#8339 · TWK AGRI
2024-05-06,A,Invoice,31908,31908,17940,19629.48,,31907 - EMPTY · TWK AGRI
2024-05-24,A,Crd Note,8530,8530,-19136,493.48,,32419-EMPTY · TWK AGRI
2024-05-24,A,Invoice,32419,32419,17956.15,18449.63,,DN#8920 · TWK AGRI
2024-05-24,A,Invoice,32425,32425,28106,46555.63,,32419-EMPTY · TWK AGRI
2024-05-27,B,Remit Cash,31365,31404,-10555,36000.63,BATCH-2024-05-27,Invoice · STAT 102
2024-05-27,B,Remit Cash,31365,31405,-17491.5,18509.13,BATCH-2024-05-27,Invoice · STAT 102
2024-05-27,B,Remit Cash,31365,8120,16325.4,34834.53,BATCH-2024-05-27,Crd Note · STAT 102
2024-05-27,C,Discount Journal,DJ-BATCH-2024-05-27,DJ-BATCH-2024-05-27,-300.54,34533.99,BATCH-2024-05-27,Model B pro forma — Dr 240000 / Cr TWK002
2024-06-07,A,Crd Note,8700,8700,-548.49,33985.5,,DN#8920 · TWK AGRI
2024-06-20,A,Crd Note,8913,8913,-25116,8869.5,,33277-EMPTY · TWK AGRI
2024-06-20,A,Invoice,33277,33277,15372.51,24242.01,,DN39971 · TWK AGRI
2024-06-20,A,Invoice,33278,33278,26910,51152.01,,33277-EMPTY · TWK AGRI
2024-06-26,B,Remit Cash,31558,31907,-10410.47,40741.54,BATCH-2024-06-26,Invoice · STAT 103
2024-06-26,B,Remit Cash,31558,31908,-17491.5,23250.04,BATCH-2024-06-26,Invoice · STAT 103
2024-06-26,B,Remit Cash,31558,8324,16325.4,39575.44,BATCH-2024-06-26,Crd Note · STAT 103
2024-06-26,B,Remit Cash,31558,32419,-17507.25,22068.19,BATCH-2024-06-26,Invoice · STAT 103
2024-06-26,B,Remit Cash,31558,32425,-27403.35,-5335.16,BATCH-2024-06-26,Invoice · STAT 103
2024-06-26,B,Remit Cash,31558,8530,18657.6,13322.44,BATCH-2024-06-26,Crd Note · STAT 103
2024-06-26,B,Remit Cash,31558,8700,534.59,13857.03,BATCH-2024-06-26,Crd Note · STAT 103
2024-06-26,B*,ERP_OVERPOST,31558,ERP_OVERPOST,-806.27,13050.76,BATCH-2024-06-26,ERP gross R39 057.53 > remittance gross R38 251.26 — not allocated to invoices
2024-06-26,C,Discount Journal,DJ-BATCH-2024-06-26,DJ-BATCH-2024-06-26,-956.28,12094.48,BATCH-2024-06-26,Model B pro forma — Dr 240000 / Cr TWK002
2024-07-04,A,Crd Note,9158,9158,-12075,19.48,,EMPTIES · TWK AGRI
2024-07-04,A,Crd Note,9393,9393,-20930,-20910.52,,D/N 9760 · TWK AGRI
2024-07-04,A,Invoice,33800,33800,8724.99,-12185.53,,D/N 9760 · TWK AGRI
2024-07-04,A,Invoice,33801,33801,12075,-110.53,,EMPTIES · TWK AGRI
2024-07-04,A,Invoice,34285,34285,20930,20819.47,,D/N 9760 · TWK AGRI
2024-07-18,A,Crd Note,9426,9426,-19734,1085.47,,34337-EMPTY · TWK AGRI
2024-07-18,A,Invoice,34342,34342,13613.85,14699.32,,DN#9592 · TWK AGRI
2024-07-18,A,Invoice,34343,34343,19136,33835.32,,34337-EMPTY · TWK AGRI
2024-07-26,B,Remit Cash,32332,8913,24488.1,58323.42,BATCH-2024-07-26,Crd Note · STAT 104
2024-07-26,B,Remit Cash,32332,33277,-14988.2,43335.22,BATCH-2024-07-26,Invoice · STAT 104
2024-07-26,B,Remit Cash,32332,33278,-26237.25,17097.97,BATCH-2024-07-26,Invoice · STAT 104
2024-07-26,B*,ERP_OVERPOST,32332,ERP_OVERPOST,-895.13,16202.84,BATCH-2024-07-26,ERP gross R18 061.64 > remittance gross R17 166.51 — not allocated to invoices
2024-07-26,C,Discount Journal,DJ-BATCH-2024-07-26,DJ-BATCH-2024-07-26,-429.16,15773.68,BATCH-2024-07-26,Model B pro forma — Dr 240000 / Cr TWK002
2024-08-08,A,Crd Note,9769,9769,-22724,-6950.32,,35091-EMPTY · TWK AGRI
2024-08-08,A,Invoice,35091,35091,11606.17,4655.85,,D/N 11370 · TWK AGRI
2024-08-08,A,Invoice,35092,35092,22724,27379.85,,35091-EMPTY · TWK AGRI
2024-08-26,B,Remit Cash,33224,33800,-8506.87,18872.98,BATCH-2024-08-26,Invoice · STAT 105
2024-08-26,B,Remit Cash,33224,34342,-13273.5,5599.48,BATCH-2024-08-26,Invoice · STAT 105
2024-08-26,B,Remit Cash,33224,34343,-18657.6,-13058.12,BATCH-2024-08-26,Invoice · STAT 105
2024-08-26,B,Remit Cash,33224,9426,19240.65,6182.53,BATCH-2024-08-26,Crd Note · STAT 105
2024-08-26,B*,ERP_OVERPOST,33224,ERP_OVERPOST,-598,5584.53,BATCH-2024-08-26,ERP gross R22 338.84 > remittance gross R21 740.84 — not allocated to invoices
2024-08-26,C,Discount Journal,DJ-BATCH-2024-08-26,DJ-BATCH-2024-08-26,-543.52,5041.01,BATCH-2024-08-26,Model B pro forma — Dr 240000 / Cr TWK002
2024-09-06,A,Invoice,36005,36005,15401.49,20442.5,,DN#10943 · TWK AGRI
2024-09-06,A,Invoice,36006,36006,23920,44362.5,,36005-EMPTY · TWK AGRI
2024-09-07,A,Crd Note,10189,10189,-25611.05,18751.45,,36005-EMPTY · TWK AGRI
2024-09-26,B,Remit Cash,33921,33801,-12075,6676.45,BATCH-2024-09-26,Invoice · STAT 106
2024-09-26,B,Remit Cash,33921,9393,20406.75,27083.2,BATCH-2024-09-26,Crd Note · STAT 106
2024-09-26,B,Remit Cash,33921,35091,-11316.02,15767.18,BATCH-2024-09-26,Invoice · STAT 106
2024-09-26,B,Remit Cash,33921,35092,-22155.9,-6388.72,BATCH-2024-09-26,Invoice · STAT 106
2024-09-26,B,Remit Cash,33921,9769,22155.9,15767.18,BATCH-2024-09-26,Crd Note · STAT 106
2024-09-26,B*,ERP_OVERPOST,33921,ERP_OVERPOST,-233.1,15534.08,BATCH-2024-09-26,ERP gross R2 984.27 > remittance gross R2 751.17 — not allocated to invoices
2024-10-03,A,Crd Note,10617,10617,-17100,-1565.92,,EMPTY 10168 · TWK AGRI
2024-10-03,A,Invoice,36926,36926,21036.66,19470.74,,D/N 1068 · TWK AGRI
2024-10-03,A,Invoice,36927,36927,19320,38790.74,,EMPTY 10168 · TWK AGRI
2024-10-03,A,Invoice,37189,37189,21045,59835.74,,36927 EMPTY · TWK AGRI
2024-10-10,A,Crd Note,10723,10723,-19320,40515.74,,EMPTY 10168 · TWK AGRI
2024-10-26,B,Remit Cash,34518,36005,-15016.45,25499.29,BATCH-2024-10-26,Invoice · STAT 107
2024-10-26,B,Remit Cash,34518,36006,-23322,2177.29,BATCH-2024-10-26,Invoice · STAT 107
2024-10-26,C,Discount Journal,DJ-BATCH-2024-10-26,DJ-BATCH-2024-10-26,-983.04,1194.25,BATCH-2024-10-26,Model B pro forma — Dr 240000 / Cr TWK002
2024-10-31,A,Crd Note,11003,11003,-18285,-17090.75,,EMPTY 11171 · TWK AGRI PTY LTD
2024-10-31,A,Invoice,37817,37817,20296.12,3205.37,,D/N 11171 · TWK AGRI PTY LTD
2024-10-31,A,Invoice,37818,37818,20700,23905.37,,EMPTY 11171 · TWK AGRI PTY LTD
2024-11-26,A,Crd Note,11320,11320,-22425,1480.37,,DN#10764 · TWK AGRI PTY LTD
2024-11-26,A,Invoice,38582,38582,34840.07,36320.44,,DN#10764 · TWK AGRI PTY LTD
2024-11-26,B,Remit Cash,35263,36926,-20510.74,15809.7,BATCH-2024-11-26,Invoice · STAT 108
2024-11-26,B,Remit Cash,35263,37189,-20518.87,-4709.17,BATCH-2024-11-26,Invoice · STAT 108
2024-11-26,B,Remit Cash,35263,10617,16672.52,11963.35,BATCH-2024-11-26,Crd Note · STAT 108
2024-11-26,B,Remit Cash,35263,10189,24970.77,36934.12,BATCH-2024-11-26,Crd Note · STAT 108
2024-11-26,B,Remit Cash,35263,37817,-19788.72,17145.4,BATCH-2024-11-26,Invoice · STAT 108
2024-11-26,B,Remit Cash,35263,37818,-20182.5,-3037.1,BATCH-2024-11-26,Invoice · STAT 108
2024-11-26,B,Remit Cash,35263,11003,17827.87,14790.77,BATCH-2024-11-26,Crd Note · STAT 108
2024-11-26,B*,ERP_OVERPOST,35263,ERP_OVERPOST,-500.01,14290.76,BATCH-2024-11-26,ERP gross R22 581.72 > remittance gross R22 081.71 — not allocated to invoices
2024-11-26,C,Discount Journal,DJ-BATCH-2024-11-26,DJ-BATCH-2024-11-26,-552.04,13738.72,BATCH-2024-11-26,Model B pro forma — Dr 240000 / Cr TWK002
2024-12-13,A,Crd Note,11475,11475,-15870,-2131.28,,DN#10831 · TWK AGRI PTY LTD
2024-12-13,A,Invoice,39022,39022,20381.05,18249.77,,DN#10831 · TWK AGRI PTY LTD
2024-12-27,B,Remit Cash,36195,38582,-33969.07,-15719.3,BATCH-2024-12-27,Invoice · STAT 109
2024-12-27,B,Remit Cash,36195,11320,21864.37,6145.07,BATCH-2024-12-27,Crd Note · STAT 109
2024-12-27,C,Discount Journal,DJ-BATCH-2024-12-27,DJ-BATCH-2024-12-27,-310.37,5834.7,BATCH-2024-12-27,Model B pro forma — Dr 240000 / Cr TWK002
2025-01-08,A,Crd Note,11648,11648,-15870,-10035.3,,DN#11910 · TWK AGRI PTY LTD
2025-01-08,A,Invoice,39683,39683,26765.92,16730.62,,DN#11910 · TWK AGRI PTY LTD
2025-01-22,A,Crd Note,11743,11743,-10350,6380.62,,DN#11939 · TWK AGRI PTY LTD
2025-01-22,A,Invoice,40081,40081,15608.03,21988.65,,DN#11939 · TWK AGRI PTY LTD
