erp_doc,erp_date,erp_date_display,amount,erp_gross,stat,ref,invno_erp,allocation,batch_id,remittance_gross,remittance_cash,erp_overpost
39080,2025-05-30,30/05/2025,-8058.97,8058.97,STAT 114,TRANSF | STAT 114 · TWK AGRI PTY LTD,42050,,BATCH-2025-05-31,15759.64,15365.65,0
43500,2026-02-25,25/02/2026,-1249.77,1249.77,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-10976.86,10976.86,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,41747,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-10649.34,10649.34,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,43112,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-9598.21,9598.21,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,43294,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-10857.26,10857.26,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,43909,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-10512.26,10512.26,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,44235,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-10512.26,10512.26,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,44542,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-2512.52,2512.52,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,44731,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-2512.52,2512.52,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,44816,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-8542.51,8542.51,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,44967,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-3768.78,3768.78,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,45148,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-8374.97,8374.97,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,45302,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-9616.19,9616.19,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,45666,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-10654.27,10654.27,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,45986,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-12166.71,12166.71,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,46470,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-3846.26,3846.26,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,46762,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-20416.64,20416.64,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,47196,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-8520.86,8520.86,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,47714,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-9156.02,9156.02,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,48160,,BATCH-2026-STAT-123,176824.24,176824.24,0
43500,2026-02-25,25/02/2026,-12380.03,12380.03,STAT 123,TRANSF | STAT 123 · TWK AGRI PTY LTD,48687,,BATCH-2026-STAT-123,176824.24,176824.24,0
45899,2026-08-26,26/08/2026,-108823.42,108823.42,STAT 129,TRANSF | STAT 129 · TWK AGRI PTY LTD,,,BATCH-2026-STAT-129,110046.87,108823.42,0
