docno,entry,iso,date,amount,dn,ref,invno_erp,in_spine
6462,Crd Note,2023-10-09,09/10/2023,-4485,D/N 6266 EMPTIES,D/N 6266 EMPTIES · TWK AGRI,25294,true
25293,Invoice,2023-10-09,09/10/2023,7466.86,D/N 6266,D/N 6266 · TWK AGRI,25293,true
25294,Invoice,2023-10-09,09/10/2023,4140,D/N 6266 EMPTIES,D/N 6266 EMPTIES · TWK AGRI,25294,true
6667,Crd Note,2023-10-31,31/10/2023,-11040,D/N 6758 EMPTIES,D/N 6758 EMPTIES · TWK AGRI,26033,true
26027,Invoice,2023-10-31,31/10/2023,13315.01,D/N 6758,D/N 6758 · TWK AGRI,26027,true
26033,Invoice,2023-10-31,31/10/2023,13800,D/N 6758 EMPTIES,D/N 6758 EMPTIES · TWK AGRI,26033,true
6810,Crd Note,2023-11-14,14/11/2023,-10005,D/N 6859 EMPTIES,D/N 6859 EMPTIES · TWK AGRI,26554,true
6816,Crd Note,2023-11-14,14/11/2023,-7532.33,QTY,QTY · TWK AGRI,26553,true
26553,Invoice,2023-11-14,14/11/2023,7532.25,D/N 6859,D/N 6859 · TWK AGRI,26553,true
26554,Invoice,2023-11-14,14/11/2023,10350,D/N 6859 EMPTIES,D/N 6859 EMPTIES · TWK AGRI,26554,true
26577,Invoice,2023-11-14,14/11/2023,8764.79,D/N 6859,D/N 6859 · TWK AGRI,26577,true
6990,Crd Note,2023-12-06,06/12/2023,-16215,D/N 7111 EMPTIES,D/N 7111 EMPTIES · TWK AGRI,27341,true
27340,Invoice,2023-12-06,06/12/2023,23007.6,D/N 7111,D/N 7111 · TWK AGRI,27340,true
27341,Invoice,2023-12-06,06/12/2023,19320,D/N 7111 EMPTIES,D/N 7111 EMPTIES · TWK AGRI,27341,true
7127,Crd Note,2023-12-19,19/12/2023,-8625,D/N 7529 EMPTIES,D/N 7529 EMPTIES · TWK AGRI,27765,true
27764,Invoice,2023-12-19,19/12/2023,13119.2,D/N 7529,D/N 7529 · TWK AGRI,27764,true
27765,Invoice,2023-12-19,19/12/2023,13800,D/N 7529 EMPTIES,D/N 7529 EMPTIES · TWK AGRI,27765,true
7332,Crd Note,2024-01-18,18/01/2024,-8625,D/N 7733 EMPTIES,D/N 7733 EMPTIES · TWK AGRI,28766,true
28765,Invoice,2024-01-18,18/01/2024,10732.43,D/N 7733,D/N 7733 · TWK AGRI,28765,true
28766,Invoice,2024-01-18,18/01/2024,8625,D/N 7733 EMPTIES,D/N 7733 EMPTIES · TWK AGRI,28766,true
7410,Crd Note,2024-01-31,31/01/2024,-18285,D/N 7370 EMPTIES,D/N 7370 EMPTIES · TWK AGRI,29141,true
29140,Invoice,2024-01-31,31/01/2024,14650.14,D/N 7370,D/N 7370 · TWK AGRI,29140,true
29141,Invoice,2024-01-31,31/01/2024,13800,D/N 7370 EMPTIES,D/N 7370 EMPTIES · TWK AGRI,29141,true
7547,Crd Note,2024-02-26,26/02/2024,-16146,D/N 7391 EMPTIES,D/N 7391 EMPTIES · TWK AGRI,29890,true
29889,Invoice,2024-02-26,26/02/2024,11363.38,D/N 7391,D/N 7391 · TWK AGRI,29889,true
29890,Invoice,2024-02-26,26/02/2024,17940,D/N 7391 EMPTIES,D/N 7391 EMPTIES · TWK AGRI,29890,true
7848,Crd Note,2024-03-27,27/03/2024,-23920,30762- EMPTY,30762- EMPTY · TWK AGRI,,true
30762,Invoice,2024-03-27,27/03/2024,15003.94,DN#8075 SO#8034,DN#8075 SO#8034 · TWK AGRI,,true
30763,Invoice,2024-03-27,27/03/2024,23920,30762- EMPTY,30762- EMPTY · TWK AGRI,,true
8120,Crd Note,2024-04-18,18/04/2024,-16744,31404- EMPTY,31404- EMPTY · TWK AGRI,,true
31404,Invoice,2024-04-18,18/04/2024,10825.64,DN#8675 SO#8229,DN#8675 SO#8229 · TWK AGRI,,true
31405,Invoice,2024-04-18,18/04/2024,17940,31404- EMPTY,31404- EMPTY · TWK AGRI,,true
8324,Crd Note,2024-05-06,06/05/2024,-16744,31907 - EMPTY,31907 - EMPTY · TWK AGRI,,true
31907,Invoice,2024-05-06,06/05/2024,10677.41,DN#8907 SO#8339,DN#8907 SO#8339 · TWK AGRI,,true
31908,Invoice,2024-05-06,06/05/2024,17940,31907 - EMPTY,31907 - EMPTY · TWK AGRI,,true
8530,Crd Note,2024-05-24,24/05/2024,-19136,32419-EMPTY,32419-EMPTY · TWK AGRI,,true
32419,Invoice,2024-05-24,24/05/2024,17956.15,DN#8920,DN#8920 · TWK AGRI,,true
32425,Invoice,2024-05-24,24/05/2024,28106,32419-EMPTY,32419-EMPTY · TWK AGRI,,true
8700,Crd Note,2024-06-07,07/06/2024,-548.49,DN#8920,DN#8920 · TWK AGRI,,true
8913,Crd Note,2024-06-20,20/06/2024,-25116,33277-EMPTY,33277-EMPTY · TWK AGRI,,true
33277,Invoice,2024-06-20,20/06/2024,15372.51,DN39971,DN39971 · TWK AGRI,,true
33278,Invoice,2024-06-20,20/06/2024,26910,33277-EMPTY,33277-EMPTY · TWK AGRI,,true
9158,Crd Note,2024-07-04,04/07/2024,-12075,EMPTIES,EMPTIES · TWK AGRI,,true
9393,Crd Note,2024-07-04,04/07/2024,-20930,D/N 9760,D/N 9760 · TWK AGRI,,true
33800,Invoice,2024-07-04,04/07/2024,8724.99,D/N 9760,D/N 9760 · TWK AGRI,,true
33801,Invoice,2024-07-04,04/07/2024,12075,EMPTIES,EMPTIES · TWK AGRI,,true
34285,Invoice,2024-07-04,04/07/2024,20930,D/N 9760,D/N 9760 · TWK AGRI,,true
9426,Crd Note,2024-07-18,18/07/2024,-19734,34337-EMPTY,34337-EMPTY · TWK AGRI,,true
34342,Invoice,2024-07-18,18/07/2024,13613.85,DN#9592,DN#9592 · TWK AGRI,,true
34343,Invoice,2024-07-18,18/07/2024,19136,34337-EMPTY,34337-EMPTY · TWK AGRI,,true
9769,Crd Note,2024-08-08,08/08/2024,-22724,35091-EMPTY,35091-EMPTY · TWK AGRI,,true
35091,Invoice,2024-08-08,08/08/2024,11606.17,D/N 11370,D/N 11370 · TWK AGRI,,true
35092,Invoice,2024-08-08,08/08/2024,22724,35091-EMPTY,35091-EMPTY · TWK AGRI,,true
36005,Invoice,2024-09-06,06/09/2024,15401.49,DN#10943,DN#10943 · TWK AGRI,,true
36006,Invoice,2024-09-06,06/09/2024,23920,36005-EMPTY,36005-EMPTY · TWK AGRI,,true
10189,Crd Note,2024-09-07,07/09/2024,-25611.05,36005-EMPTY,36005-EMPTY · TWK AGRI,,true
10617,Crd Note,2024-10-03,03/10/2024,-17100,EMPTY 10168,EMPTY 10168 · TWK AGRI,,true
36926,Invoice,2024-10-03,03/10/2024,21036.66,D/N 1068,D/N 1068 · TWK AGRI,,true
36927,Invoice,2024-10-03,03/10/2024,19320,EMPTY 10168,EMPTY 10168 · TWK AGRI,,true
37189,Invoice,2024-10-03,03/10/2024,21045,36927 EMPTY,36927 EMPTY · TWK AGRI,,true
10723,Crd Note,2024-10-10,10/10/2024,-19320,EMPTY 10168,EMPTY 10168 · TWK AGRI,,true
11003,Crd Note,2024-10-31,31/10/2024,-18285,EMPTY 11171,EMPTY 11171 · TWK AGRI PTY LTD,,true
37817,Invoice,2024-10-31,31/10/2024,20296.12,D/N 11171,D/N 11171 · TWK AGRI PTY LTD,,true
37818,Invoice,2024-10-31,31/10/2024,20700,EMPTY 11171,EMPTY 11171 · TWK AGRI PTY LTD,,true
11320,Crd Note,2024-11-26,26/11/2024,-22425,DN#10764,DN#10764 · TWK AGRI PTY LTD,,true
38582,Invoice,2024-11-26,26/11/2024,34840.07,DN#10764,DN#10764 · TWK AGRI PTY LTD,,true
11475,Crd Note,2024-12-13,13/12/2024,-15870,DN#10831,DN#10831 · TWK AGRI PTY LTD,,true
39022,Invoice,2024-12-13,13/12/2024,20381.05,DN#10831,DN#10831 · TWK AGRI PTY LTD,,true
11648,Crd Note,2025-01-08,08/01/2025,-15870,DN#11910,DN#11910 · TWK AGRI PTY LTD,,true
39683,Invoice,2025-01-08,08/01/2025,26765.92,DN#11910,DN#11910 · TWK AGRI PTY LTD,,true
11743,Crd Note,2025-01-22,22/01/2025,-10350,DN#11939,DN#11939 · TWK AGRI PTY LTD,,true
40081,Invoice,2025-01-22,22/01/2025,15608.03,DN#11939,DN#11939 · TWK AGRI PTY LTD,,true
11821,Crd Note,2025-02-05,05/02/2025,-13282.5,DN#12753,DN#12753 · TWK AGRI PTY LTD,,true
40459,Invoice,2025-02-05,05/02/2025,22945.95,DN#12753,DN#12753 · TWK AGRI PTY LTD,,true
11953,Crd Note,2025-02-24,24/02/2025,-15352.5,DN#12795,DN#12795 · TWK AGRI PTY LTD,,true
40950,Invoice,2025-02-24,24/02/2025,25457.87,DN#12795,DN#12795 · TWK AGRI PTY LTD,,true
41747,Invoice,2025-03-26,26/03/2025,32064.13,DN#12826,DN#12826 · TWK AGRI PTY LTD,41747,true
12131,Crd Note,2025-03-27,27/03/2025,-19837.5,DN#12826,DN#12826 · TWK AGRI PTY LTD,41747,true
12207,Crd Note,2025-04-07,07/04/2025,-20324.3,DN#10546,DN#10546 · TWK AGRI PTY LTD,42045,true
12214,Crd Note,2025-04-07,07/04/2025,-12075,DN#10546,DN#10546 · TWK AGRI PTY LTD,42050,true
12215,Crd Note,2025-04-07,07/04/2025,-1249.77,DN#12826,DN#12826 · TWK AGRI PTY LTD,41747,true
42045,Invoice,2025-04-07,07/04/2025,20324.3,DN#10546,DN#10546 · TWK AGRI PTY LTD,42045,true
42050,Invoice,2025-04-07,07/04/2025,20133.97,DN#10546,DN#10546 · TWK AGRI PTY LTD,42050,true
12329,Crd Note,2025-04-23,23/04/2025,-12592.5,DN#13029-EMPTY,DN#13029-EMPTY · TWK AGRI PTY LTD,42469,true
42468,Invoice,2025-04-23,23/04/2025,7713.58,DN#13029,DN#13029 · TWK AGRI PTY LTD,42468,true
42469,Invoice,2025-04-23,23/04/2025,12592.5,DN#13029-EMPTY,DN#13029-EMPTY · TWK AGRI PTY LTD,42469,true
42470,Invoice,2025-04-23,23/04/2025,1236.86,DN#13030,DN#13030 · TWK AGRI PTY LTD,42470,true
12494,Crd Note,2025-05-16,16/05/2025,-10649.34,DN#13234,DN#13234 · TWK AGRI PTY LTD,43111,true
12502,Crd Note,2025-05-16,16/05/2025,-17250,DN#13234,DN#13234 · TWK AGRI PTY LTD,43112,true
43111,Invoice,2025-05-16,16/05/2025,10649.34,DN#13234,DN#13234 · TWK AGRI PTY LTD,43111,true
43112,Invoice,2025-05-16,16/05/2025,27899.34,DN#13234,DN#13234 · TWK AGRI PTY LTD,43112,true
43294,Invoice,2025-05-23,23/05/2025,24433.21,DN#12257,DN#12257 · TWK AGRI PTY LTD,43294,true
12550,Crd Note,2025-05-24,24/05/2025,-14835,DN#12257,DN#12257 · TWK AGRI PTY LTD,43294,true
12724,Crd Note,2025-06-13,13/06/2025,-16905,DN#12516,DN#12516 · TWK AGRI PTY LTD,43909,true
43909,Invoice,2025-06-13,13/06/2025,27762.26,DN#12516,DN#12516 · TWK AGRI PTY LTD,43909,true
12825,Crd Note,2025-06-26,26/06/2025,-17250,DN#12335,DN#12335 · TWK AGRI PTY LTD,44235,true
44235,Invoice,2025-06-26,26/06/2025,27762.26,DN#12335,DN#12335 · TWK AGRI PTY LTD,44235,true
12908,Crd Note,2025-07-05,05/07/2025,-17250,DN#12620,DN#12620 · TWK AGRI PTY LTD,44542,true
44542,Invoice,2025-07-05,05/07/2025,27762.26,DN#12620,DN#12620 · TWK AGRI PTY LTD,44542,true
44731,Invoice,2025-07-10,10/07/2025,7687.52,DN#12191,DN#12191 · TWK AGRI PTY LTD,44731,true
12958,Crd Note,2025-07-12,12/07/2025,-5175,DN#12191,DN#12191 · TWK AGRI PTY LTD,44731,true
12982,Crd Note,2025-07-14,14/07/2025,-5175,DN#12202,DN#12202 · TWK AGRI PTY LTD,44816,true
44816,Invoice,2025-07-14,14/07/2025,7687.52,DN#12202,DN#12202 · TWK AGRI PTY LTD,44816,true
13019,Crd Note,2025-07-19,19/07/2025,-13972.5,DN#12721,DN#12721 · TWK AGRI PTY LTD,44967,true
44967,Invoice,2025-07-19,19/07/2025,22515.01,DN#12721,DN#12721 · TWK AGRI PTY LTD,44967,true
13057,Crd Note,2025-07-26,26/07/2025,-7762.5,DN 20009,DN 20009 · TWK AGRI PTY LTD,45149,true
45148,Invoice,2025-07-26,26/07/2025,3768.78,ON 375149748-001,ON 375149748-001 · TWK AGRI PTY LTD,45148,true
45149,Invoice,2025-07-26,26/07/2025,7762.5,DN 20009,DN 20009 · TWK AGRI PTY LTD,45149,true
13101,Crd Note,2025-08-01,01/08/2025,-11730,DN #20125,DN #20125 · TWK AGRI PTY LTD,45302,true
45302,Invoice,2025-08-01,01/08/2025,20104.97,DN #20125,DN #20125 · TWK AGRI PTY LTD,45302,true
13235,Crd Note,2025-08-15,15/08/2025,-16215,DN#20319,DN#20319 · TWK AGRI PTY LTD,45666,true
45666,Invoice,2025-08-15,15/08/2025,25831.19,DN#20319,DN#20319 · TWK AGRI PTY LTD,45666,true
13335,Crd Note,2025-08-29,29/08/2025,-16905,DN#20560,DN#20560 · TWK AGRI PTY LTD,45986,true
45986,Invoice,2025-08-29,29/08/2025,27559.27,DN#20560,DN#20560 · TWK AGRI PTY LTD,45986,true
46470,Invoice,2025-09-17,17/09/2025,32866.71,D/N 21042,D/N 21042 · TWK AGRI PTY LTD,46470,true
13500,Crd Note,2025-09-18,18/09/2025,-20700,D/N 21042,D/N 21042 · TWK AGRI PTY LTD,46470,true
46762,Invoice,2025-09-30,30/09/2025,11091.26,DN#21079,DN#21079 · TWK AGRI PTY LTD,46762,true
13587,Crd Note,2025-10-01,01/10/2025,-7245,DN#21079,DN#21079 · TWK AGRI PTY LTD,46762,true
13716,Crd Note,2025-10-20,20/10/2025,-16215,DN#20197,DN#20197 · TWK AGRI PTY LTD,47196,true
47196,Invoice,2025-10-20,20/10/2025,36631.64,DN#20197,DN#20197 · TWK AGRI PTY LTD,47196,true
13874,Crd Note,2025-11-17,17/11/2025,-15870,DN#20798 EMPTIES,DN#20798 EMPTIES · TWK AGRI PTY LTD,47714,true
47714,Invoice,2025-11-17,17/11/2025,24390.86,DN#20798,DN#20798 · TWK AGRI PTY LTD,47714,true
48160,Invoice,2025-12-08,08/12/2025,24336.02,DN#20905,DN#20905 · TWK AGRI PTY LTD,48160,true
14034,Crd Note,2025-12-09,09/12/2025,-15180,DN#20905,DN#20905 · TWK AGRI PTY LTD,48160,true
14232,Crd Note,2026-01-09,09/01/2026,-12380.03,DN-20974,DN-20974 · TWK AGRI PTY LTD,48686,true
14237,Crd Note,2026-01-09,09/01/2026,-22770,DN-20975,DN-20975 · TWK AGRI PTY LTD,48687,true
48686,Invoice,2026-01-09,09/01/2026,12380.03,DN-20974,DN-20974 · TWK AGRI PTY LTD,48686,true
48687,Invoice,2026-01-09,09/01/2026,35150.03,DN-20975,DN-20975 · TWK AGRI PTY LTD,48687,true
14414,Crd Note,2026-02-12,12/02/2026,-22195,DN#21535,DN#21535 · TWK AGRI PTY LTD,49208,true
49208,Invoice,2026-02-12,12/02/2026,35663.47,DN#21535,DN#21535 · TWK AGRI PTY LTD,49208,true
49606,Invoice,2026-03-06,06/03/2026,23457.21,DN#21950,DN#21950 · TWK AGRI PTY LTD,49606,true
14554,Crd Note,2026-03-07,07/03/2026,-15180,DN#21950,DN#21950 · TWK AGRI PTY LTD,49606,true
49882,Invoice,2026-03-24,24/03/2026,23348.97,DN-21976,DN-21976 · TWK AGRI PTY LTD,49882,true
14649,Crd Note,2026-03-25,25/03/2026,-14490,DN-21976,DN-21976 · TWK AGRI PTY LTD,49882,true
50099,Invoice,2026-04-06,06/04/2026,22982.66,DN-22046,DN-22046 · TWK AGRI PTY LTD,50099,true
14711,Crd Note,2026-04-07,07/04/2026,-13972.5,DN-22046,DN-22046 · TWK AGRI PTY LTD,50099,true
50439,Invoice,2026-04-29,29/04/2026,5300.12,DN-21880,DN-21880 · TWK AGRI PTY LTD,50439,true
50440,Invoice,2026-04-29,29/04/2026,10350,DN-21880-EMPTY,DN-21880-EMPTY · TWK AGRI PTY LTD,50440,true
14820,Crd Note,2026-04-30,30/04/2026,-10350,DN-21880-EMPTY,DN-21880-EMPTY · TWK AGRI PTY LTD,50440,true
50680,Invoice,2026-05-14,14/05/2026,16387.95,DN#22709,DN#22709 · TWK AGRI PTY LTD,50680,true
14910,Crd Note,2026-05-15,15/05/2026,-9142.5,DN#22709,DN#22709 · TWK AGRI PTY LTD,50680,true
50898,Invoice,2026-05-27,27/05/2026,20332.95,DN#22761,DN#22761 · TWK AGRI PTY LTD,50898,true
14982,Crd Note,2026-05-28,28/05/2026,-11385,DN#22761,DN#22761 · TWK AGRI PTY LTD,50898,true
51180,Invoice,2026-06-12,12/06/2026,29721.98,DN#22798,DN#22798 · TWK AGRI PTY LTD,51180,true
15063,Crd Note,2026-06-15,15/06/2026,-29721.98,DN#22798,DN#22798 · TWK AGRI PTY LTD,51180,true
15070,Crd Note,2026-06-15,15/06/2026,-17250,DN#22904-EMPTY,DN#22904-EMPTY · TWK AGRI PTY LTD,51227,true
51226,Invoice,2026-06-15,15/06/2026,12471.98,DN#22904,DN#22904 · TWK AGRI PTY LTD,51226,true
51227,Invoice,2026-06-15,15/06/2026,17250,DN#22904-EMPTY,DN#22904-EMPTY · TWK AGRI PTY LTD,51227,true
15155,Crd Note,2026-07-01,01/07/2026,-17250,DN#22534,DN#22534 · TWK AGRI PTY LTD,51496,true
51496,Invoice,2026-07-01,01/07/2026,29721.98,DN#22534,DN#22534 · TWK AGRI PTY LTD,51496,true
15262,Crd Note,2026-07-15,15/07/2026,-14835,DN#22576,DN#22576 · TWK AGRI PTY LTD,51841,true
51841,Invoice,2026-07-15,15/07/2026,24442.49,DN#22576,DN#22576 · TWK AGRI PTY LTD,51841,true
52241,Invoice,2026-07-31,31/07/2026,34052.09,DN#24229,DN#24229 · TWK AGRI PTY LTD,52241,true
15370,Crd Note,2026-08-01,01/08/2026,-19665,DN#24229,DN#24229 · TWK AGRI PTY LTD,52241,true
15443,Crd Note,2026-08-12,12/08/2026,-11040,DN#23954,DN#23954 · TWK AGRI PTY LTD,52484,true
52484,Invoice,2026-08-12,12/08/2026,18138.84,DN#23954,DN#23954 · TWK AGRI PTY LTD,52484,true
15553,Crd Note,2026-08-26,26/08/2026,-17077.5,DN#24938,DN#24938 · TWK AGRI PTY LTD,52803,true
52803,Invoice,2026-08-26,26/08/2026,28392.35,DN#24938,DN#24938 · TWK AGRI PTY LTD,52803,true
