year,month,month_year,lpg_invoice_total,lpg_credit_notes,net_lpg_invoiced,payment_refs_allocated,payment_dates,payment_total_allocated,difference,month_status,review_required,notes
2023,November,2023-11,24772.55,0.00,24772.55,"27322,28323","2023-12-22,2024-01-29",24174.55,598.00,PARTIALLY_SETTLED,False,"Underpaid. R598.00 remaining unpaid. Includes a mixed LPG+CYL document split using exact DB debt_group amounts (Supabase MCP), not a heuristic."
2023,December,2023-12,11532.12,-2961.60,8570.52,"28323,29266","2024-01-29,2024-02-28",8570.52,0.00,FULLY_SETTLED,False,"Settled in full."
2024,January,2024-01,14113.83,0.00,14113.83,"29266,36640,38536,41466,42043","2024-02-28,2025-02-05,2025-05-07,2025-09-29,2025-10-31",12238.92,1874.91,PARTIALLY_SETTLED,False,"Underpaid. R1874.91 remaining unpaid."
2024,February,2024-02,14547.08,0.00,14547.08,"30021,36640,42043","2024-03-28,2025-02-05,2025-10-31",14547.08,0.00,FULLY_SETTLED,False,"Settled in full."
2024,March,2024-03,25305.70,-2392.00,22913.70,"30021,30631","2024-03-28,2024-05-09",20945.05,1968.65,PARTIALLY_SETTLED,False,"Underpaid. R1968.65 remaining unpaid."
2024,April,2024-04,11524.30,0.00,11524.30,"30021,31835,31836,32594","2024-03-28,2024-05-31,2024-07-03,2024-07-31",11524.30,0.00,FULLY_SETTLED,False,"Settled in full."
2024,May,2024-05,23840.46,-4695.55,19144.91,"31836,32594,36640","2024-07-03,2024-07-31,2025-02-05",19144.91,0.00,FULLY_SETTLED,False,"Settled in full."
2024,June,2024-06,15830.17,0.00,15830.17,"32594,34567,35266,36197,36640,37406","2024-07-31,2024-10-31,2024-11-29,2024-12-21,2025-02-05,2025-02-28",15830.17,0.00,FULLY_SETTLED,False,"Settled in full."
2024,July,2024-07,20041.90,0.00,20041.90,"33260,36640","2024-09-04,2025-02-05",20041.90,0.00,FULLY_SETTLED,False,"Settled in full."
2024,August,2024-08,16845.36,0.00,16845.36,"33821,36640","2024-09-30,2025-02-05",16845.36,0.00,FULLY_SETTLED,False,"Settled in full."
2024,September,2024-09,19366.88,0.00,19366.88,"30631,35266,38536","2024-05-09,2024-11-29,2025-05-07",18354.35,1012.53,PARTIALLY_SETTLED,False,"Underpaid. R1012.53 remaining unpaid."
2024,October,2024-10,17601.63,0.00,17601.63,"34567,35266,36640","2024-10-31,2024-11-29,2025-02-05",17601.63,0.00,FULLY_SETTLED,False,"Settled in full."
2024,November,2024-11,21094.53,-690.00,20404.53,"30631,34567,36197","2024-05-09,2024-10-31,2024-12-21",20922.03,-517.50,OVERPAID,False,"Overpaid by R517.50. Includes a mixed LPG+CYL document split using exact DB debt_group amounts (Supabase MCP), not a heuristic."
2024,December,2024-12,5474.10,-5175.00,299.10,"30631,34567","2024-05-09,2024-10-31",5474.10,-5175.00,OVERPAID,False,"Overpaid by R5175.00. Includes a mixed LPG+CYL document split using exact DB debt_group amounts (Supabase MCP), not a heuristic."
2025,January,2025-01,10602.94,0.00,10602.94,"37406,38536","2025-02-28,2025-05-07",10602.94,0.00,FULLY_SETTLED,False,"Settled in full."
2025,February,2025-02,16304.00,0.00,16304.00,"38536,41466","2025-05-07,2025-09-29",16304.00,0.00,FULLY_SETTLED,False,"Settled in full."
2025,March,2025-03,24431.31,-5564.87,18866.44,"38536,41466","2025-05-07,2025-09-29",18866.44,0.00,FULLY_SETTLED,False,"Settled in full."
2025,April,2025-04,30256.25,0.00,30256.25,41466,2025-09-29,30256.25,0.00,FULLY_SETTLED,False,"Settled in full."
2025,May,2025-05,13551.87,-2415.00,11136.87,"30631,41466","2024-05-09,2025-09-29",14788.35,-3651.48,OVERPAID,False,"Overpaid by R3651.48."
2025,June,2025-06,19686.41,0.00,19686.41,41466,2025-09-29,19686.41,0.00,FULLY_SETTLED,False,"Settled in full."
2025,July,2025-07,21703.01,-11040.00,10663.01,"38536,41466","2025-05-07,2025-09-29",18080.51,-7417.50,OVERPAID,False,"Overpaid by R7417.50."
2025,August,2025-08,9426.41,0.00,9426.41,38536,2025-05-07,9426.41,0.00,FULLY_SETTLED,False,"Settled in full."
2025,September,2025-09,11894.55,0.00,11894.55,"42043,43472","2025-10-31,2026-02-26",9061.11,2833.44,PARTIALLY_SETTLED,False,"Underpaid. R2833.44 remaining unpaid."
2025,October,2025-10,23228.31,-4250.16,18978.15,"42518,43472","2025-12-01,2026-02-26",13311.27,5666.88,PARTIALLY_SETTLED,False,"Underpaid. R5666.88 remaining unpaid."
2025,November,2025-11,14764.26,-14908.26,-144.00,42697,2025-12-18,8356.32,-8500.32,OVERPAID,False,"Overpaid by R8500.32."
2026,January,2026-01,9557.53,0.00,9557.53,"43235,43472,43872","2026-02-05,2026-02-26,2026-03-31",9557.53,0.00,FULLY_SETTLED,False,"Settled in full."
2026,February,2026-02,8523.16,0.00,8523.16,43872,2026-03-31,8523.16,0.00,FULLY_SETTLED,False,"Settled in full."
2026,March,2026-03,9146.87,0.00,9146.87,—,—,0.00,9146.87,UNPAID,False,"No payment allocated."
2026,April,2026-04,6591.67,-1869.28,4722.39,—,—,0.00,4722.39,UNPAID,False,"No payment allocated."
2026,May,2026-05,5174.09,0.00,5174.09,—,—,0.00,5174.09,UNPAID,False,"No payment allocated."
2026,June,2026-06,10672.72,0.00,10672.72,—,—,0.00,10672.72,UNPAID,False,"No payment allocated."
2026,July,2026-07,10714.04,0.00,10714.04,—,—,0.00,10714.04,UNPAID,False,"No payment allocated."
2026,August,2026-08,15540.32,-5588.17,9952.15,—,—,0.00,9952.15,UNPAID,False,"No payment allocated. Includes a mixed LPG+CYL document split using exact DB debt_group amounts (Supabase MCP), not a heuristic."
2026,September,2026-09,9235.64,0.00,9235.64,—,—,0.00,9235.64,UNPAID,False,"No payment allocated."
